𝠀 Signwriting Hand-Fist Index
𝠁 Signwriting Hand-Circle Index
𝠂 Signwriting Hand-Cup Index
𝠃 Signwriting Hand-Oval Index
𝠄 Signwriting Hand-Hinge Index
𝠅 Signwriting Hand-Angle Index
𝠆 Signwriting Hand-Fist Index Bent
𝠇 Signwriting Hand-Circle Index Bent
𝠈 Signwriting Hand-Fist Thumb Under Index Bent
𝠉 Signwriting Hand-Fist Index Raised Knuckle
𝠊 Signwriting Hand-Fist Index Cupped
𝠋 Signwriting Hand-Fist Index Hinged
𝠌 Signwriting Hand-Fist Index Hinged Low
𝠍 Signwriting Hand-Circle Index Hinge
𝠎 Signwriting Hand-Fist Index Middle
𝠏 Signwriting Hand-Circle Index Middle
𝠐 Signwriting Hand-Fist Index Middle Bent
𝠑 Signwriting Hand-Fist Index Middle Raised Knuckles
𝠒 Signwriting Hand-Fist Index Middle Hinged
𝠓 Signwriting Hand-Fist Index Up Middle Hinged
𝠔 Signwriting Hand-Fist Index Hinged Middle Up
𝠕 Signwriting Hand-Fist Index Middle Conjoined
𝠖 Signwriting Hand-Fist Index Middle Conjoined Index Bent
𝠗 Signwriting Hand-Fist Index Middle Conjoined Middle Bent
𝠘 Signwriting Hand-Fist Index Middle Conjoined Cupped
𝠙 Signwriting Hand-Fist Index Middle Conjoined Hinged
𝠚 Signwriting Hand-Fist Index Middle Crossed
𝠛 Signwriting Hand-Circle Index Middle Crossed
𝠜 Signwriting Hand-Fist Middle Bent Over Index
𝠝 Signwriting Hand-Fist Index Bent Over Middle
𝠞 Signwriting Hand-Fist Index Middle Thumb
𝠟 Signwriting Hand-Circle Index Middle Thumb
𝠠 Signwriting Hand-Fist Index Middle Straight Thumb Bent
𝠡 Signwriting Hand-Fist Index Middle Bent Thumb Straight
𝠢 Signwriting Hand-Fist Index Middle Thumb Bent
𝠣 Signwriting Hand-Fist Index Middle Hinged Spread Thumb Side
𝠤 Signwriting Hand-Fist Index Up Middle Hinged Thumb Side
𝠥 Signwriting Hand-Fist Index Up Middle Hinged Thumb Conjoined
𝠦 Signwriting Hand-Fist Index Hinged Middle Up Thumb Side
𝠧 Signwriting Hand-Fist Index Middle Up Spread Thumb Forward
𝠨 Signwriting Hand-Fist Index Middle Thumb Cupped
𝠩 Signwriting Hand-Fist Index Middle Thumb Circled
𝠪 Signwriting Hand-Fist Index Middle Thumb Hooked
𝠫 Signwriting Hand-Fist Index Middle Thumb Hinged
𝠬 Signwriting Hand-Fist Thumb Between Index Middle Straight
𝠭 Signwriting Hand-Fist Index Middle Conjoined Thumb Side
𝠮 Signwriting Hand-Fist Index Middle Conjoined Thumb Side Conjoined
𝠯 Signwriting Hand-Fist Index Middle Conjoined Thumb Side Bent
𝠰 Signwriting Hand-Fist Middle Thumb Hooked Index Up
