ٌ Arabic Dammatan
ڠ Arabic Letter Ain With Three Dots Above
ۊ Arabic Letter Waw With Two Dots Above
ٍ Arabic Kasratan
ڡ Arabic Letter Dotless Feh
ۋ Arabic Letter Ve
َ Arabic Fatha
ڢ Arabic Letter Feh With Dot Moved Below
ی Arabic Letter Farsi Yeh
ُ Arabic Damma
ڣ Arabic Letter Feh With Dot Below
ۍ Arabic Letter Yeh With Tail
ِ Arabic Kasra
ڤ Arabic Letter Veh
ێ Arabic Letter Yeh With Small V
ّ Arabic Shadda
ڥ Arabic Letter Feh With Three Dots Below
ۏ Arabic Letter Waw With Dot Above
ْ Arabic Sukun
ڦ Arabic Letter Peheh
ې Arabic Letter E
ٓ Arabic Maddah Above
ڧ Arabic Letter Qaf With Dot Above
ۑ Arabic Letter Yeh With Three Dots Below
ٔ Arabic Hamza Above
ڨ Arabic Letter Qaf With Three Dots Above
ے Arabic Letter Yeh Barree
؀ Arabic Number Sign
ٕ Arabic Hamza Below
ک Arabic Letter Keheh
ۓ Arabic Letter Yeh Barree With Hamza Above
؁ Arabic Sign Sanah
ٖ Arabic Subscript Alef
ڪ Arabic Letter Swash Kaf
۔ Arabic Full Stop
؂ Arabic Footnote Marker
ٗ Arabic Inverted Damma
ګ Arabic Letter Kaf With Ring
ە Arabic Letter Ae
؃ Arabic Sign Safha
٘ Arabic Mark Noon Ghunna
ڬ Arabic Letter Kaf With Dot Above
ۖ Arabic Small High Ligature Sad With Lam With Alef Maksura
؄ Arabic Sign Samvat
ٙ Arabic Zwarakay
ڭ Arabic Letter Ng
ۗ Arabic Small High Ligature Qaf With Lam With Alef Maksura
؅ Arabic Number Mark Above
ٚ Arabic Vowel Sign Small V Above
ڮ Arabic Letter Kaf With Three Dots Below
ۘ Arabic Small High Meem Initial Form
؆ Arabic-Indic Cube Root
ٛ Arabic Vowel Sign Inverted Small V Above
گ Arabic Letter Gaf
ۙ Arabic Small High Lam Alef
؇ Arabic-Indic Fourth Root
ٜ Arabic Vowel Sign Dot Below
ڰ Arabic Letter Gaf With Ring
ۚ Arabic Small High Jeem
؈ Arabic Ray
ٝ Arabic Reversed Damma
ڱ Arabic Letter Ngoeh
ۛ Arabic Small High Three Dots
؉ Arabic-Indic Per Mille Sign
ٞ Arabic Fatha With Two Dots
ڟ Arabic Letter Tah With Three Dots Above
ڲ Arabic Letter Gaf With Two Dots Below
ۜ Arabic Small High Seen
؊ Arabic-Indic Per Ten Thousand Sign
ٟ Arabic Wavy Hamza Below
ڳ Arabic Letter Gueh
۝ Arabic End Of Ayah
؋ Afghani Sign
٠ Arabic-Indic Digit Zero
ڴ Arabic Letter Gaf With Three Dots Above
۞ Arabic Start Of Rub El Hizb
، Arabic Comma
١ Arabic-Indic Digit One
ڵ Arabic Letter Lam With Small V
۟ Arabic Small High Rounded Zero
؍ Arabic Date Separator
٢ Arabic-Indic Digit Two
ڶ Arabic Letter Lam With Dot Above
۠ Arabic Small High Upright Rectangular Zero
؎ Arabic Poetic Verse Sign
٣ Arabic-Indic Digit Three
