ᬕ Balinese Letter Ga
ᬿ Balinese Vowel Sign Taling Repa
᭭ Balinese Musical Symbol Combining Kempul
ᬖ Balinese Letter Ga Gora
ᭀ Balinese Vowel Sign Taling Tedung
᭮ Balinese Musical Symbol Combining Kempli
ᬗ Balinese Letter Nga
ᭁ Balinese Vowel Sign Taling Repa Tedung
᭯ Balinese Musical Symbol Combining Jegogan
ᬘ Balinese Letter Ca
ᭂ Balinese Vowel Sign Pepet
᭰ Balinese Musical Symbol Combining Kempul With Jegogan
ᬙ Balinese Letter Ca Laca
ᭃ Balinese Vowel Sign Pepet Tedung
᭱ Balinese Musical Symbol Combining Kempli With Jegogan
ᬚ Balinese Letter Ja
᭄ Balinese Adeg Adeg
᭲ Balinese Musical Symbol Combining Bende
ᬛ Balinese Letter Ja Jera
ᭅ Balinese Letter Kaf Sasak
᭳ Balinese Musical Symbol Combining Gong
ᬜ Balinese Letter Nya
ᭆ Balinese Letter Khot Sasak
᭴ Balinese Musical Symbol Right-Hand Open Dug
ᬝ Balinese Letter Ta Latik
ᭇ Balinese Letter Tzir Sasak
᭵ Balinese Musical Symbol Right-Hand Open Dag
ᬞ Balinese Letter Ta Murda Mahaprana
ᭈ Balinese Letter Ef Sasak
᭶ Balinese Musical Symbol Right-Hand Closed Tuk
ᬟ Balinese Letter Da Murda Alpaprana
ᭉ Balinese Letter Ve Sasak
᭷ Balinese Musical Symbol Right-Hand Closed Tak
ᬠ Balinese Letter Da Murda Mahaprana
ᭊ Balinese Letter Zal Sasak
᭸ Balinese Musical Symbol Left-Hand Open Pang
ᬡ Balinese Letter Na Rambat
ᭋ Balinese Letter Asyura Sasak
᭹ Balinese Musical Symbol Left-Hand Open Pung
ᬢ Balinese Letter Ta
᭐ Balinese Digit Zero
᭺ Balinese Musical Symbol Left-Hand Closed Plak
ᬣ Balinese Letter Ta Tawa
᭑ Balinese Digit One
᭻ Balinese Musical Symbol Left-Hand Closed Pluk
ᬤ Balinese Letter Da
᭒ Balinese Digit Two
᭼ Balinese Musical Symbol Left-Hand Open Ping
ᬥ Balinese Letter Da Madu
᭓ Balinese Digit Three
ᬦ Balinese Letter Na
᭔ Balinese Digit Four
ᬧ Balinese Letter Pa
᭕ Balinese Digit Five
ᬨ Balinese Letter Pa Kapal
᭖ Balinese Digit Six
ᬩ Balinese Letter Ba
᭗ Balinese Digit Seven
ᬪ Balinese Letter Ba Kembang
᭘ Balinese Digit Eight
ᬫ Balinese Letter Ma
᭙ Balinese Digit Nine
ᬬ Balinese Letter Ya
᭚ Balinese Panti
ᬭ Balinese Letter Ra
᭛ Balinese Pamada
ᬮ Balinese Letter La
᭜ Balinese Windu
ᬯ Balinese Letter Wa
᭝ Balinese Carik Pamungkah
ᬰ Balinese Letter Sa Saga
᭞ Balinese Carik Siki
ᬱ Balinese Letter Sa Sapa
᭟ Balinese Carik Pareren
ᬲ Balinese Letter Sa
᭠ Balinese Pameneng
ᬳ Balinese Letter Ha
᭡ Balinese Musical Symbol Dong
᬴ Balinese Sign Rerekan
᭢ Balinese Musical Symbol Deng
ᬵ Balinese Vowel Sign Tedung
᭣ Balinese Musical Symbol Dung
ᬶ Balinese Vowel Sign Ulu
᭤ Balinese Musical Symbol Dang
ᬷ Balinese Vowel Sign Ulu Sari
᭥ Balinese Musical Symbol Dang Surang
ᬸ Balinese Vowel Sign Suku
᭦ Balinese Musical Symbol Ding
ᬹ Balinese Vowel Sign Suku Ilut
᭧ Balinese Musical Symbol Daeng
ᬺ Balinese Vowel Sign Ra Repa
᭨ Balinese Musical Symbol Deung
ᬻ Balinese Vowel Sign Ra Repa Tedung
᭩ Balinese Musical Symbol Daing
ᬼ Balinese Vowel Sign La Lenga
᭪ Balinese Musical Symbol Dang Gede
ᬽ Balinese Vowel Sign La Lenga Tedung
᭫ Balinese Musical Symbol Combining Tegeh
ᬾ Balinese Vowel Sign Taling
᭬ Balinese Musical Symbol Combining Endep
ᬀ Balinese Sign Ulu Ricem
ᬁ Balinese Sign Ulu Candra
ᬂ Balinese Sign Cecek
ᬃ Balinese Sign Surang
ᬄ Balinese Sign Bisah
ᬅ Balinese Letter Akara
ᬆ Balinese Letter Akara Tedung
ᬇ Balinese Letter Ikara
ᬈ Balinese Letter Ikara Tedung
ᬉ Balinese Letter Ukara
ᬊ Balinese Letter Ukara Tedung
ᬋ Balinese Letter Ra Repa
ᬌ Balinese Letter Ra Repa Tedung
ᬍ Balinese Letter La Lenga
ᬎ Balinese Letter La Lenga Tedung
ᬏ Balinese Letter Ekara
ᬐ Balinese Letter Aikara
ᬑ Balinese Letter Okara
ᬒ Balinese Letter Okara Tedung
ᬓ Balinese Letter Ka
ᬔ Balinese Letter Ka Mahaprana
