㌀ Square Apaato
㌁ Square Aruhua
㌂ Square Anpea
㌃ Square Aaru
㌄ Square Iningu
㌅ Square Inti
㌆ Square Uon
㌇ Square Esukuudo
㌈ Square Eekaa
㌉ Square Onsu
㌊ Square Oomu
㌋ Square Kairi
㌌ Square Karatto
㌍ Square Karorii
㌎ Square Garon
㌏ Square Ganma
㌐ Square Giga
㌑ Square Ginii
㌒ Square Kyurii
㌓ Square Girudaa
㌔ Square Kiro
㌕ Square Kiroguramu
㌖ Square Kiromeetoru
㌗ Square Kirowatto
㌘ Square Guramu
㌙ Square Guramuton
㌚ Square Kuruzeiro
㌛ Square Kuroone
㌜ Square Keesu
㌝ Square Koruna
㌞ Square Koopo
㌟ Square Saikuru
㌠ Square Santiimu
㌡ Square Siringu
㌢ Square Senti
㌣ Square Sento
㌤ Square Daasu
㌥ Square Desi
㌦ Square Doru
㌧ Square Ton
㌨ Square Nano
㌩ Square Notto
㌪ Square Haitu
㌫ Square Paasento
㌬ Square Paatu
㌭ Square Baareru
㌮ Square Piasutoru
㌯ Square Pikuru
㌰ Square Piko
㌱ Square Biru
㌲ Square Huaraddo
㌳ Square Huiito
㌴ Square Bussyeru
㌵ Square Huran
㌶ Square Hekutaaru
㌷ Square Peso
㌸ Square Penihi
㌹ Square Herutu
㌺ Square Pensu
㌻ Square Peezi
㌼ Square Beeta
㌽ Square Pointo
㌾ Square Boruto
㌿ Square Hon
㍀ Square Pondo
㍁ Square Hooru
㍂ Square Hoon
㍃ Square Maikuro
㍄ Square Mairu
㍅ Square Mahha
㍆ Square Maruku
㍇ Square Mansyon
㍈ Square Mikuron
㍉ Square Miri
㍊ Square Miribaaru
㍋ Square Mega
㍌ Square Megaton
㍍ Square Meetoru
㍎ Square Yaado
㍏ Square Yaaru
㍐ Square Yuan
㍑ Square Rittoru
㍒ Square Rira
㍓ Square Rupii
㍔ Square Ruuburu
㍕ Square Remu
㍖ Square Rentogen
㍗ Square Watto
㍘ Ideographic Telegraph Symbol For Hour Zero
㍙ Ideographic Telegraph Symbol For Hour One
㍚ Ideographic Telegraph Symbol For Hour Two
㍛ Ideographic Telegraph Symbol For Hour Three
㍜ Ideographic Telegraph Symbol For Hour Four
㍝ Ideographic Telegraph Symbol For Hour Five
㍞ Ideographic Telegraph Symbol For Hour Six
㍟ Ideographic Telegraph Symbol For Hour Seven
㍠ Ideographic Telegraph Symbol For Hour Eight
㍡ Ideographic Telegraph Symbol For Hour Nine
㍢ Ideographic Telegraph Symbol For Hour Ten
㍣ Ideographic Telegraph Symbol For Hour Eleven
㍤ Ideographic Telegraph Symbol For Hour Twelve
㍥ Ideographic Telegraph Symbol For Hour Thirteen
㍦ Ideographic Telegraph Symbol For Hour Fourteen
㍧ Ideographic Telegraph Symbol For Hour Fifteen
㍨ Ideographic Telegraph Symbol For Hour Sixteen
