⬜ White Large Square
⭆ Rightwards Quadruple Arrow
⭰ Leftwards Triangle-Headed Arrow To Bar
⮞ Black Rightwards Equilateral Arrowhead
⯲ Sedna
⬝ Black Very Small Square
⭇ Reverse Tilde Operator Above Rightwards Arrow
⭱ Upwards Triangle-Headed Arrow To Bar
⮟ Black Downwards Equilateral Arrowhead
⯳ Russian Astrological Symbol Vigintile
⬞ White Very Small Square
⭈ Rightwards Arrow Above Reverse Almost Equal To
⭲ Rightwards Triangle-Headed Arrow To Bar
⮠ Downwards Triangle-Headed Arrow With Long Tip Leftwards
⯴ Russian Astrological Symbol Novile
⬟ Black Pentagon
⭉ Tilde Operator Above Leftwards Arrow
⭳ Downwards Triangle-Headed Arrow To Bar
⮡ Downwards Triangle-Headed Arrow With Long Tip Rightwards
⯵ Russian Astrological Symbol Quintile
⬠ White Pentagon
⭊ Leftwards Arrow Above Almost Equal To
⭶ North West Triangle-Headed Arrow To Bar
⮢ Upwards Triangle-Headed Arrow With Long Tip Leftwards
⯶ Russian Astrological Symbol Binovile
⬡ White Hexagon
⭋ Leftwards Arrow Above Reverse Tilde Operator
⭷ North East Triangle-Headed Arrow To Bar
⮣ Upwards Triangle-Headed Arrow With Long Tip Rightwards
⯷ Russian Astrological Symbol Sentagon
⬢ Black Hexagon
⭌ Rightwards Arrow Above Reverse Tilde Operator
⭸ South East Triangle-Headed Arrow To Bar
⮤ Leftwards Triangle-Headed Arrow With Long Tip Upwards
⯸ Russian Astrological Symbol Tredecile
⬣ Horizontal Black Hexagon
⭍ Downwards Triangle-Headed Zigzag Arrow
⭹ South West Triangle-Headed Arrow To Bar
⮥ Rightwards Triangle-Headed Arrow With Long Tip Upwards
⯹ Equals Sign With Infinity Below
⬤ Black Large Circle
⭎ Short Slanted North Arrow
⭺ Leftwards Triangle-Headed Arrow With Double Horizontal Stroke
⮦ Leftwards Triangle-Headed Arrow With Long Tip Downwards
⯺ United Symbol
⬥ Black Medium Diamond
⭏ Short Backslanted South Arrow
⭻ Upwards Triangle-Headed Arrow With Double Horizontal Stroke
⮧ Rightwards Triangle-Headed Arrow With Long Tip Downwards
⯻ Separated Symbol
⬦ White Medium Diamond
⭐ White Medium Star
⭼ Rightwards Triangle-Headed Arrow With Double Horizontal Stroke
⮨ Black Curved Downwards And Leftwards Arrow
⯼ Doubled Symbol
⬧ Black Medium Lozenge
⭑ Black Small Star
⭽ Downwards Triangle-Headed Arrow With Double Horizontal Stroke
⮩ Black Curved Downwards And Rightwards Arrow
⯽ Passed Symbol
⬨ White Medium Lozenge
⭒ White Small Star
⭾ Horizontal Tab Key
⮪ Black Curved Upwards And Leftwards Arrow
⯾ Reversed Right Angle
⬩ Black Small Diamond
⭓ Black Right-Pointing Pentagon
⭿ Vertical Tab Key
⮫ Black Curved Upwards And Rightwards Arrow
⯿ Hellschreiber Pause Symbol
⬀ North East White Arrow
⬪ Black Small Lozenge
⭔ White Right-Pointing Pentagon
⮀ Leftwards Triangle-Headed Arrow Over Rightwards Triangle-Headed Arrow
⮬ Black Curved Leftwards And Upwards Arrow
⬁ North West White Arrow
⬫ White Small Lozenge
⭕ Heavy Large Circle
⮁ Upwards Triangle-Headed Arrow Leftwards Of Downwards Triangle-Headed Arrow
⮭ Black Curved Rightwards And Upwards Arrow
⬂ South East White Arrow
⬬ Black Horizontal Ellipse
⭖ Heavy Oval With Oval Inside
⮂ Rightwards Triangle-Headed Arrow Over Leftwards Triangle-Headed Arrow
⮮ Black Curved Leftwards And Downwards Arrow
⬃ South West White Arrow
⬭ White Horizontal Ellipse
⭗ Heavy Circle With Circle Inside
⮃ Downwards Triangle-Headed Arrow Leftwards Of Upwards Triangle-Headed Arrow
⮯ Black Curved Rightwards And Downwards Arrow
⬄ Left Right White Arrow
⬮ Black Vertical Ellipse
⭘ Heavy Circle
⮄ Leftwards Triangle-Headed Paired Arrows
⮰ Ribbon Arrow Down Left
⬅ Leftwards Black Arrow
⬯ White Vertical Ellipse
⭙ Heavy Circled Saltire
⮅ Upwards Triangle-Headed Paired Arrows
⮱ Ribbon Arrow Down Right
⬰ Left Arrow With Small Circle
⬆ Upwards Black Arrow
⭚ Slanted North Arrow With Hooked Head
⮆ Rightwards Triangle-Headed Paired Arrows
⮲ Ribbon Arrow Up Left
⬇ Downwards Black Arrow
⬱ Three Leftwards Arrows
⭛ Backslanted South Arrow With Hooked Tail
⮇ Downwards Triangle-Headed Paired Arrows
⮳ Ribbon Arrow Up Right
⬈ North East Black Arrow
⬲ Left Arrow With Circled Plus
⭜ Slanted North Arrow With Horizontal Tail
⮈ Leftwards Black Circled White Arrow
⮴ Ribbon Arrow Left Up
⬉ North West Black Arrow
⬳ Long Leftwards Squiggle Arrow
⭝ Backslanted South Arrow With Horizontal Tail
⮉ Upwards Black Circled White Arrow
⮵ Ribbon Arrow Right Up
⬊ South East Black Arrow
⬴ Leftwards Two-Headed Arrow With Vertical Stroke
⭞ Bent Arrow Pointing Downwards Then North East
⮊ Rightwards Black Circled White Arrow
⮶ Ribbon Arrow Left Down
⬋ South West Black Arrow
⬵ Leftwards Two-Headed Arrow With Double Vertical Stroke
⭟ Short Bent Arrow Pointing Downwards Then North East
⮋ Downwards Black Circled White Arrow
⮷ Ribbon Arrow Right Down
⬌ Left Right Black Arrow
⬶ Leftwards Two-Headed Arrow From Bar
⭠ Leftwards Triangle-Headed Arrow
⮌ Anticlockwise Triangle-Headed Right U-Shaped Arrow
⮸ Upwards White Arrow From Bar With Horizontal Bar
⬍ Up Down Black Arrow
⬷ Leftwards Two-Headed Triple Dash Arrow
⭡ Upwards Triangle-Headed Arrow
⮍ Anticlockwise Triangle-Headed Bottom U-Shaped Arrow
⮹ Up Arrowhead In A Rectangle Box
⬎ Rightwards Arrow With Tip Downwards
⬸ Leftwards Arrow With Dotted Stem
⭢ Rightwards Triangle-Headed Arrow
⮎ Anticlockwise Triangle-Headed Left U-Shaped Arrow
⮺ Overlapping White Squares
⬏ Rightwards Arrow With Tip Upwards
⬹ Leftwards Arrow With Tail With Vertical Stroke
⭣ Downwards Triangle-Headed Arrow
⮏ Anticlockwise Triangle-Headed Top U-Shaped Arrow
⮻ Overlapping White And Black Squares
⬐ Leftwards Arrow With Tip Downwards
⬺ Leftwards Arrow With Tail With Double Vertical Stroke
⭤ Left Right Triangle-Headed Arrow
⮐ Return Left
⮼ Overlapping Black Squares
⬑ Leftwards Arrow With Tip Upwards
⬻ Leftwards Two-Headed Arrow With Tail
⭥ Up Down Triangle-Headed Arrow
⮑ Return Right
⮽ Ballot Box With Light X
⬒ Square With Top Half Black
⬼ Leftwards Two-Headed Arrow With Tail With Vertical Stroke
⭦ North West Triangle-Headed Arrow
⮒ Newline Left
⮾ Circled X
⬓ Square With Bottom Half Black
⬽ Leftwards Two-Headed Arrow With Tail With Double Vertical Stroke
⭧ North East Triangle-Headed Arrow
⮓ Newline Right
⮿ Circled Bold X
⬔ Square With Upper Right Diagonal Half Black
⬾ Leftwards Arrow Through X
⭨ South East Triangle-Headed Arrow
⮔ Four Corner Arrows Circling Anticlockwise
⯀ Black Square Centred
⬕ Square With Lower Left Diagonal Half Black
⬿ Wave Arrow Pointing Directly Left
⭩ South West Triangle-Headed Arrow
⮕ Rightwards Black Arrow
⯁ Black Diamond Centred
⬖ Diamond With Left Half Black
⭀ Equals Sign Above Leftwards Arrow
⭪ Leftwards Triangle-Headed Dashed Arrow
⮘ Three-D Top-Lighted Leftwards Equilateral Arrowhead
⯂ Turned Black Pentagon
⬗ Diamond With Right Half Black
⭁ Reverse Tilde Operator Above Leftwards Arrow
⭫ Upwards Triangle-Headed Dashed Arrow
⮙ Three-D Right-Lighted Upwards Equilateral Arrowhead
⯃ Horizontal Black Octagon
⬘ Diamond With Top Half Black
⭂ Leftwards Arrow Above Reverse Almost Equal To
⭬ Rightwards Triangle-Headed Dashed Arrow
⮚ Three-D Top-Lighted Rightwards Equilateral Arrowhead
⯄ Black Octagon
⬙ Diamond With Bottom Half Black
⭃ Rightwards Arrow Through Greater-Than
⭭ Downwards Triangle-Headed Dashed Arrow
⮛ Three-D Left-Lighted Downwards Equilateral Arrowhead
⯅ Black Medium Up-Pointing Triangle Centred
⬚ Dotted Square
⭄ Rightwards Arrow Through Superset
⭮ Clockwise Triangle-Headed Open Circle Arrow
⮜ Black Leftwards Equilateral Arrowhead
⯆ Black Medium Down-Pointing Triangle Centred
⭅ Leftwards Quadruple Arrow
⬛ Black Large Square
⭯ Anticlockwise Triangle-Headed Open Circle Arrow
⮝ Black Upwards Equilateral Arrowhead
⯇ Black Medium Left-Pointing Triangle Centred
⯈ Black Medium Right-Pointing Triangle Centred
⯉ Neptune Form Two
⯊ Top Half Black Circle
⯋ Bottom Half Black Circle
⯌ Light Four Pointed Black Cusp
⯍ Rotated Light Four Pointed Black Cusp
⯎ White Four Pointed Cusp
⯏ Rotated White Four Pointed Cusp
⯐ Square Position Indicator
⯑ Uncertainty Sign
⯒ Group Mark
⯓ Pluto Form Two
