🞢 Light Greek Cross
🞤 Bold Greek Cross
🟎 Medium Eight Pointed Black Star
🞥 Very Bold Greek Cross
🟏 Heavy Eight Pointed Black Star
🞦 Very Heavy Greek Cross
🟐 Very Heavy Eight Pointed Black Star
🞧 Extremely Heavy Greek Cross
🟑 Heavy Eight Pointed Pinwheel Star
🞨 Thin Saltire
🟒 Light Twelve Pointed Black Star
🞩 Light Saltire
🟓 Heavy Twelve Pointed Black Star
🞀 Black Left-Pointing Isosceles Right Triangle
🞪 Medium Saltire
🟔 Heavy Twelve Pointed Pinwheel Star
🞁 Black Up-Pointing Isosceles Right Triangle
🞫 Bold Saltire
🟍 Six Pointed Pinwheel Star
🟕 Circled Triangle
🞂 Black Right-Pointing Isosceles Right Triangle
🞬 Heavy Saltire
🟖 Negative Circled Triangle
🞃 Black Down-Pointing Isosceles Right Triangle
🞭 Very Heavy Saltire
🟗 Circled Square
🞄 Black Slightly Small Circle
🞮 Extremely Heavy Saltire
🟘 Negative Circled Square
🞅 Medium Bold White Circle
🞯 Light Five Spoked Asterisk
🟠 Large Orange Circle
🞆 Bold White Circle
🞰 Medium Five Spoked Asterisk
🟡 Large Yellow Circle
🞇 Heavy White Circle
🞱 Bold Five Spoked Asterisk
🟢 Large Green Circle
🞈 Very Heavy White Circle
🞲 Heavy Five Spoked Asterisk
🟣 Large Purple Circle
🞉 Extremely Heavy White Circle
🞳 Very Heavy Five Spoked Asterisk
🟤 Large Brown Circle
🞊 White Circle Containing Black Small Circle
🞴 Extremely Heavy Five Spoked Asterisk
🟥 Large Red Square
🞋 Round Target
🞵 Light Six Spoked Asterisk
🟦 Large Blue Square
🞌 Black Tiny Square
🞶 Medium Six Spoked Asterisk
🟧 Large Orange Square
🞷 Bold Six Spoked Asterisk
🞍 Black Slightly Small Square
🟨 Large Yellow Square
🞸 Heavy Six Spoked Asterisk
🞎 Light White Square
🟩 Large Green Square
🞏 Medium White Square
🞹 Very Heavy Six Spoked Asterisk
🟪 Large Purple Square
🞐 Bold White Square
🞺 Extremely Heavy Six Spoked Asterisk
🟫 Large Brown Square
🞑 Heavy White Square
🞻 Light Eight Spoked Asterisk
🞒 Very Heavy White Square
🞼 Medium Eight Spoked Asterisk
🞓 Extremely Heavy White Square
🞽 Bold Eight Spoked Asterisk
🞔 White Square Containing Black Very Small Square
🞾 Heavy Eight Spoked Asterisk
🞕 White Square Containing Black Medium Square
🞿 Very Heavy Eight Spoked Asterisk
🞖 Square Target
🟀 Light Three Pointed Black Star
🞗 Black Tiny Diamond
🟁 Medium Three Pointed Black Star
🞘 Black Very Small Diamond
🟂 Three Pointed Black Star
🞙 Black Medium Small Diamond
🟃 Medium Three Pointed Pinwheel Star
🞚 White Diamond Containing Black Very Small Diamond
🟄 Light Four Pointed Black Star
🞛 White Diamond Containing Black Medium Diamond
🟅 Medium Four Pointed Black Star
🞜 Diamond Target
🟆 Four Pointed Black Star
🞝 Black Tiny Lozenge
🟇 Medium Four Pointed Pinwheel Star
🞞 Black Very Small Lozenge
🟈 Reverse Light Four Pointed Pinwheel Star
🞟 Black Medium Small Lozenge
🟉 Light Five Pointed Black Star
🞠 White Lozenge Containing Black Small Lozenge
🟊 Heavy Five Pointed Black Star
🞡 Thin Greek Cross
🟋 Medium Six Pointed Black Star
🟌 Heavy Six Pointed Black Star
🞣 Medium Greek Cross
