က Myanmar Letter Ka
ခ Myanmar Letter Kha
ဂ Myanmar Letter Ga
ဃ Myanmar Letter Gha
င Myanmar Letter Nga
စ Myanmar Letter Ca
ဆ Myanmar Letter Cha
ဇ Myanmar Letter Ja
ဈ Myanmar Letter Jha
ဉ Myanmar Letter Nya
ည Myanmar Letter Nnya
ဋ Myanmar Letter Tta
ဌ Myanmar Letter Ttha
ဍ Myanmar Letter Dda
ဎ Myanmar Letter Ddha
ဏ Myanmar Letter Nna
တ Myanmar Letter Ta
ထ Myanmar Letter Tha
ဒ Myanmar Letter Da
ဓ Myanmar Letter Dha
န Myanmar Letter Na
ပ Myanmar Letter Pa
ဖ Myanmar Letter Pha
ဗ Myanmar Letter Ba
ဘ Myanmar Letter Bha
မ Myanmar Letter Ma
ယ Myanmar Letter Ya
ရ Myanmar Letter Ra
လ Myanmar Letter La
ဝ Myanmar Letter Wa
သ Myanmar Letter Sa
ဟ Myanmar Letter Ha
ဠ Myanmar Letter Lla
အ Myanmar Letter A
ဢ Myanmar Letter Shan A
ဣ Myanmar Letter I
ဤ Myanmar Letter Ii
ဥ Myanmar Letter U
ဦ Myanmar Letter Uu
ဧ Myanmar Letter E
ဨ Myanmar Letter Mon E
ဩ Myanmar Letter O
ဪ Myanmar Letter Au
ါ Myanmar Vowel Sign Tall Aa
ာ Myanmar Vowel Sign Aa
ိ Myanmar Vowel Sign I
ီ Myanmar Vowel Sign Ii
ု Myanmar Vowel Sign U
ူ Myanmar Vowel Sign Uu
ေ Myanmar Vowel Sign E
ဲ Myanmar Vowel Sign Ai
ဳ Myanmar Vowel Sign Mon Ii
ဴ Myanmar Vowel Sign Mon O
ဵ Myanmar Vowel Sign E Above
ံ Myanmar Sign Anusvara
့ Myanmar Sign Dot Below
း Myanmar Sign Visarga
္ Myanmar Sign Virama
် Myanmar Sign Asat
ျ Myanmar Consonant Sign Medial Ya
ြ Myanmar Consonant Sign Medial Ra
ွ Myanmar Consonant Sign Medial Wa
ှ Myanmar Consonant Sign Medial Ha
ဿ Myanmar Letter Great Sa
၀ Myanmar Digit Zero
၁ Myanmar Digit One
၂ Myanmar Digit Two
၃ Myanmar Digit Three
၄ Myanmar Digit Four
၅ Myanmar Digit Five
၆ Myanmar Digit Six
၇ Myanmar Digit Seven
၈ Myanmar Digit Eight
၉ Myanmar Digit Nine
၊ Myanmar Sign Little Section
။ Myanmar Sign Section
၌ Myanmar Symbol Locative
၍ Myanmar Symbol Completed
၎ Myanmar Symbol Aforementioned
၏ Myanmar Symbol Genitive
ၐ Myanmar Letter Sha
ၑ Myanmar Letter Ssa
ၒ Myanmar Letter Vocalic R
ၓ Myanmar Letter Vocalic Rr
ၔ Myanmar Letter Vocalic L
ၕ Myanmar Letter Vocalic Ll
ၖ Myanmar Vowel Sign Vocalic R
ၗ Myanmar Vowel Sign Vocalic Rr
ၘ Myanmar Vowel Sign Vocalic L
ၙ Myanmar Vowel Sign Vocalic Ll
ၚ Myanmar Letter Mon Nga
ၛ Myanmar Letter Mon Jha
ၜ Myanmar Letter Mon Bba
ၝ Myanmar Letter Mon Bbe
ၞ Myanmar Consonant Sign Mon Medial Na
ၟ Myanmar Consonant Sign Mon Medial Ma
ၠ Myanmar Consonant Sign Mon Medial La
ၡ Myanmar Letter Sgaw Karen Sha
ၢ Myanmar Vowel Sign Sgaw Karen Eu
ၣ Myanmar Tone Mark Sgaw Karen Hathi
ၤ Myanmar Tone Mark Sgaw Karen Ke Pho
ၥ Myanmar Letter Western Pwo Karen Tha
ၦ Myanmar Letter Western Pwo Karen Pwa
ၧ Myanmar Vowel Sign Western Pwo Karen Eu
ၨ Myanmar Vowel Sign Western Pwo Karen Ue
ၩ Myanmar Sign Western Pwo Karen Tone-1
ၪ Myanmar Sign Western Pwo Karen Tone-2
ၫ Myanmar Sign Western Pwo Karen Tone-3
ၬ Myanmar Sign Western Pwo Karen Tone-4
ၭ Myanmar Sign Western Pwo Karen Tone-5
ၮ Myanmar Letter Eastern Pwo Karen Nna
ၯ Myanmar Letter Eastern Pwo Karen Ywa
ၰ Myanmar Letter Eastern Pwo Karen Ghwa
ၱ Myanmar Vowel Sign Geba Karen I
ၲ Myanmar Vowel Sign Kayah Oe
ၳ Myanmar Vowel Sign Kayah U
ၴ Myanmar Vowel Sign Kayah Ee
ၵ Myanmar Letter Shan Ka
ၶ Myanmar Letter Shan Kha
ၷ Myanmar Letter Shan Ga
ၸ Myanmar Letter Shan Ca
ၹ Myanmar Letter Shan Za
ၺ Myanmar Letter Shan Nya
ၻ Myanmar Letter Shan Da
ၼ Myanmar Letter Shan Na
ၽ Myanmar Letter Shan Pha
ၾ Myanmar Letter Shan Fa
ၿ Myanmar Letter Shan Ba
ႀ Myanmar Letter Shan Tha
ႁ Myanmar Letter Shan Ha
ႂ Myanmar Consonant Sign Shan Medial Wa
ႃ Myanmar Vowel Sign Shan Aa
ႄ Myanmar Vowel Sign Shan E
ႅ Myanmar Vowel Sign Shan E Above
ႆ Myanmar Vowel Sign Shan Final Y
ႇ Myanmar Sign Shan Tone-2
ႈ Myanmar Sign Shan Tone-3
ႉ Myanmar Sign Shan Tone-5
ႊ Myanmar Sign Shan Tone-6
ႋ Myanmar Sign Shan Council Tone-2
ႌ Myanmar Sign Shan Council Tone-3
ႍ Myanmar Sign Shan Council Emphatic Tone
ႎ Myanmar Letter Rumai Palaung Fa
ႏ Myanmar Sign Rumai Palaung Tone-5
႐ Myanmar Shan Digit Zero
႑ Myanmar Shan Digit One
႒ Myanmar Shan Digit Two
႓ Myanmar Shan Digit Three
႔ Myanmar Shan Digit Four
႕ Myanmar Shan Digit Five
႖ Myanmar Shan Digit Six
႗ Myanmar Shan Digit Seven
႘ Myanmar Shan Digit Eight
႙ Myanmar Shan Digit Nine
ႚ Myanmar Sign Khamti Tone-1
ႛ Myanmar Sign Khamti Tone-3
ႜ Myanmar Vowel Sign Aiton A
ႝ Myanmar Vowel Sign Aiton Ai
႞ Myanmar Symbol Shan One
႟ Myanmar Symbol Shan Exclamation
