ℼ Double-Struck Small Pi
ℽ Double-Struck Small Gamma
ℾ Double-Struck Capital Gamma
ℿ Double-Struck Capital Pi
⅀ Double-Struck N-Ary Summation
⅁ Turned Sans-Serif Capital G
⅂ Turned Sans-Serif Capital L
⅃ Reversed Sans-Serif Capital L
⅄ Turned Sans-Serif Capital Y
ⅅ Double-Struck Italic Capital D
ⅆ Double-Struck Italic Small D
ⅇ Double-Struck Italic Small E
ⅈ Double-Struck Italic Small I
ⅉ Double-Struck Italic Small J
⅊ Property Line
⅋ Turned Ampersand
⅌ Per Sign
⅍ Aktieselskab
ⅎ Turned Small F
⅏ Symbol For Samaritan Source
ℒ Script Capital L
ℓ Script Small L
℔ L B Bar Symbol
ℕ Double-Struck Capital N
№ Numero Sign
℗ Sound Recording Copyright
℘ Script Capital P
ℙ Double-Struck Capital P
ℚ Double-Struck Capital Q
ℛ Script Capital R
ℜ Black-Letter Capital R
ℝ Double-Struck Capital R
℞ Prescription Take
℟ Response
℠ Service Mark
℡ Telephone Sign
ℑ Black-Letter Capital I
™ Trade Mark Sign
℣ Versicle
ℤ Double-Struck Capital Z
℥ Ounce Sign
Ω Ohm Sign
℧ Inverted Ohm Sign
ℨ Black-Letter Capital Z
℩ Turned Greek Small Letter Iota
℀ Account Of
K Kelvin Sign
℁ Addressed To The Subject
Å Angstrom Sign
ℂ Double-Struck Capital C
ℬ Script Capital B
℃ Degree Celsius
ℭ Black-Letter Capital C
℄ Centre Line Symbol
℮ Estimated Symbol
℅ Care Of
ℯ Script Small E
℆ Cada Una
ℰ Script Capital E
ℇ Euler Constant
ℱ Script Capital F
℈ Scruple
Ⅎ Turned Capital F
℉ Degree Fahrenheit
ℳ Script Capital M
ℊ Script Small G
ℴ Script Small O
ℋ Script Capital H
ℵ Alef Symbol
ℌ Black-Letter Capital H
ℶ Bet Symbol
ℍ Double-Struck Capital H
ℷ Gimel Symbol
ℎ Planck Constant
ℸ Dalet Symbol
ℏ Planck Constant Over Two Pi
ℹ Information Source
ℐ Script Capital I
℺ Rotated Capital Q
℻ Facsimile Sign
