⌀ Diameter Sign
⌁ Electric Arrow
⌂ House
⌃ Up Arrowhead
⌄ Down Arrowhead
⌅ Projective
⌆ Perspective
⌇ Wavy Line
⌈ Left Ceiling
⌉ Right Ceiling
⌊ Left Floor
⌋ Right Floor
⌌ Bottom Right Crop
⌍ Bottom Left Crop
⌎ Top Right Crop
⌏ Top Left Crop
⌐ Reversed Not Sign
⌑ Square Lozenge
⌒ Arc
⌓ Segment
⌔ Sector
⌕ Telephone Recorder
⌖ Position Indicator
⌗ Viewdata Square
⌘ Place Of Interest Sign
⌙ Turned Not Sign
⌚ Watch
⌛ Hourglass
⌜ Top Left Corner
⌝ Top Right Corner
⌞ Bottom Left Corner
⌟ Bottom Right Corner
⌠ Top Half Integral
⌡ Bottom Half Integral
⌢ Frown
⌣ Smile
⌤ Up Arrowhead Between Two Horizontal Bars
⌥ Option Key
⌦ Erase To The Right
⌧ X In A Rectangle Box
⌨ Keyboard
〈 Left-Pointing Angle Bracket
〉 Right-Pointing Angle Bracket
⌫ Erase To The Left
⌬ Benzene Ring
⌭ Cylindricity
⌮ All Around-Profile
⌯ Symmetry
⌰ Total Runout
⌱ Dimension Origin
⌲ Conical Taper
⌳ Slope
⌴ Counterbore
⌵ Countersink
⌶ Apl Functional Symbol I-Beam
⌷ Apl Functional Symbol Squish Quad
⌸ Apl Functional Symbol Quad Equal
⌹ Apl Functional Symbol Quad Divide
⌺ Apl Functional Symbol Quad Diamond
⌻ Apl Functional Symbol Quad Jot
⌼ Apl Functional Symbol Quad Circle
⌽ Apl Functional Symbol Circle Stile
⌾ Apl Functional Symbol Circle Jot
⌿ Apl Functional Symbol Slash Bar
⍀ Apl Functional Symbol Backslash Bar
⍁ Apl Functional Symbol Quad Slash
⍂ Apl Functional Symbol Quad Backslash
⍃ Apl Functional Symbol Quad Less-Than
⍄ Apl Functional Symbol Quad Greater-Than
⍅ Apl Functional Symbol Leftwards Vane
⍆ Apl Functional Symbol Rightwards Vane
⍇ Apl Functional Symbol Quad Leftwards Arrow
⍈ Apl Functional Symbol Quad Rightwards Arrow
⍉ Apl Functional Symbol Circle Backslash
⍊ Apl Functional Symbol Down Tack Underbar
⍋ Apl Functional Symbol Delta Stile
⍌ Apl Functional Symbol Quad Down Caret
⍍ Apl Functional Symbol Quad Delta
⍎ Apl Functional Symbol Down Tack Jot
⍏ Apl Functional Symbol Upwards Vane
⍐ Apl Functional Symbol Quad Upwards Arrow
⍑ Apl Functional Symbol Up Tack Overbar
⍒ Apl Functional Symbol Del Stile
⍓ Apl Functional Symbol Quad Up Caret
⍔ Apl Functional Symbol Quad Del
⍕ Apl Functional Symbol Up Tack Jot
⍖ Apl Functional Symbol Downwards Vane
⍗ Apl Functional Symbol Quad Downwards Arrow
⍘ Apl Functional Symbol Quote Underbar
⍙ Apl Functional Symbol Delta Underbar
⍚ Apl Functional Symbol Diamond Underbar
⍛ Apl Functional Symbol Jot Underbar
⍜ Apl Functional Symbol Circle Underbar
⍝ Apl Functional Symbol Up Shoe Jot
⍞ Apl Functional Symbol Quote Quad
⍟ Apl Functional Symbol Circle Star
⍠ Apl Functional Symbol Quad Colon
⍡ Apl Functional Symbol Up Tack Diaeresis
⍢ Apl Functional Symbol Del Diaeresis
⍣ Apl Functional Symbol Star Diaeresis
⍤ Apl Functional Symbol Jot Diaeresis
⍥ Apl Functional Symbol Circle Diaeresis
⍦ Apl Functional Symbol Down Shoe Stile
⍧ Apl Functional Symbol Left Shoe Stile
⍨ Apl Functional Symbol Tilde Diaeresis
⍩ Apl Functional Symbol Greater-Than Diaeresis
⍪ Apl Functional Symbol Comma Bar
⍫ Apl Functional Symbol Del Tilde
⍬ Apl Functional Symbol Zilde
⍭ Apl Functional Symbol Stile Tilde
⍮ Apl Functional Symbol Semicolon Underbar
⍯ Apl Functional Symbol Quad Not Equal
⍰ Apl Functional Symbol Quad Question
⍱ Apl Functional Symbol Down Caret Tilde
