  En Quad
  Em Quad
  En Space
  Em Space
  Three-Per-Em Space
  Four-Per-Em Space
  Six-Per-Em Space
  Figure Space
  Punctuation Space
  Thin Space
  Hair Space
​ Zero Width Space
‌ Zero Width Non-Joiner
‍ Zero Width Joiner
‎ Left-To-Right Mark
‎‏ Right-To-Left Mark
‐ Hyphen
‑ Non-Breaking Hyphen
‒ Figure Dash
– En Dash
— Em Dash
― Horizontal Bar
‖ Double Vertical Line
‗ Double Low Line
‘ Left Single Quotation Mark
’ Right Single Quotation Mark
‚ Single Low-9 Quotation Mark
‛ Single High-Reversed-9 Quotation Mark
“ Left Double Quotation Mark
” Right Double Quotation Mark
„ Double Low-9 Quotation Mark
‟ Double High-Reversed-9 Quotation Mark
† Dagger
‡ Double Dagger
• Bullet
‣ Triangular Bullet
․ One Dot Leader
‥ Two Dot Leader
… Horizontal Ellipsis
‧ Hyphenation Point
  Line Separator
  Paragraph Separator
‪ Left-To-Right Embedding
‎‫ Right-To-Left Embedding
‬ Pop Directional Formatting
‭ Left-To-Right Override
‎‮ Right-To-Left Override
  Narrow No-Break Space
‰ Per Mille Sign
‱ Per Ten Thousand Sign
′ Prime
″ Double Prime
‴ Triple Prime
‵ Reversed Prime
‶ Reversed Double Prime
‷ Reversed Triple Prime
‸ Caret
‹ Single Left-Pointing Angle Quotation Mark
› Single Right-Pointing Angle Quotation Mark
※ Reference Mark
‼ Double Exclamation Mark
‽ Interrobang
‾ Overline
‿ Undertie
⁀ Character Tie
⁁ Caret Insertion Point
⁂ Asterism
⁃ Hyphen Bullet
⁄ Fraction Slash
⁅ Left Square Bracket With Quill
⁆ Right Square Bracket With Quill
⁇ Double Question Mark
⁈ Question Exclamation Mark
⁉ Exclamation Question Mark
⁊ Tironian Sign Et
⁋ Reversed Pilcrow Sign
⁌ Black Leftwards Bullet
⁍ Black Rightwards Bullet
⁎ Low Asterisk
⁏ Reversed Semicolon
⁐ Close Up
⁑ Two Asterisks Aligned Vertically
⁒ Commercial Minus Sign
⁓ Swung Dash
⁔ Inverted Undertie
⁕ Flower Punctuation Mark
⁖ Three Dot Punctuation
⁗ Quadruple Prime
⁘ Four Dot Punctuation
⁙ Five Dot Punctuation
⁚ Two Dot Punctuation
⁛ Four Dot Mark
⁜ Dotted Cross
⁝ Tricolon
⁞ Vertical Four Dots
  Medium Mathematical Space
⁠ Word Joiner
⁡ Function Application
⁢ Invisible Times
⁣ Invisible Separator
⁤ Invisible Plus
⁦ Left-To-Right Isolate
‎⁧ Right-To-Left Isolate
⁨ First Strong Isolate
⁩ Pop Directional Isolate
⁪ Inhibit Symmetric Swapping
⁫ Activate Symmetric Swapping
⁬ Inhibit Arabic Form Shaping
⁭ Activate Arabic Form Shaping
⁮ National Digit Shapes
⁯ Nominal Digit Shapes
