▝ Quadrant Upper Right
█ Full Block
▞ Quadrant Upper Right And Lower Left
▉ Left Seven Eighths Block
▟ Quadrant Upper Right And Lower Left And Lower Right
▊ Left Three Quarters Block
▋ Left Five Eighths Block
▌ Left Half Block
▍ Left Three Eighths Block
▎ Left One Quarter Block
▏ Left One Eighth Block
▐ Right Half Block
░ Light Shade
▒ Medium Shade
▓ Dark Shade
▔ Upper One Eighth Block
▀ Upper Half Block
▕ Right One Eighth Block
▁ Lower One Eighth Block
▖ Quadrant Lower Left
▂ Lower One Quarter Block
▗ Quadrant Lower Right
▃ Lower Three Eighths Block
▘ Quadrant Upper Left
▄ Lower Half Block
▙ Quadrant Upper Left And Lower Left And Lower Right
▅ Lower Five Eighths Block
▚ Quadrant Upper Left And Lower Right
▆ Lower Three Quarters Block
▛ Quadrant Upper Left And Upper Right And Lower Left
▇ Lower Seven Eighths Block
▜ Quadrant Upper Left And Upper Right And Lower Right
