⁰ Superscript Zero
ⁱ Superscript Latin Small Letter I
⁴ Superscript Four
⁵ Superscript Five
⁶ Superscript Six
⁷ Superscript Seven
⁸ Superscript Eight
⁹ Superscript Nine
⁺ Superscript Plus Sign
⁻ Superscript Minus
⁼ Superscript Equals Sign
⁽ Superscript Left Parenthesis
⁾ Superscript Right Parenthesis
ⁿ Superscript Latin Small Letter N
₀ Subscript Zero
₁ Subscript One
₂ Subscript Two
₃ Subscript Three
₄ Subscript Four
₅ Subscript Five
₆ Subscript Six
₇ Subscript Seven
₈ Subscript Eight
₉ Subscript Nine
₊ Subscript Plus Sign
₋ Subscript Minus
₌ Subscript Equals Sign
₍ Subscript Left Parenthesis
₎ Subscript Right Parenthesis
ₐ Latin Subscript Small Letter A
ₑ Latin Subscript Small Letter E
ₒ Latin Subscript Small Letter O
ₓ Latin Subscript Small Letter X
ₔ Latin Subscript Small Letter Schwa
ₕ Latin Subscript Small Letter H
ₖ Latin Subscript Small Letter K
ₗ Latin Subscript Small Letter L
ₘ Latin Subscript Small Letter M
ₙ Latin Subscript Small Letter N
ₚ Latin Subscript Small Letter P
ₛ Latin Subscript Small Letter S
ₜ Latin Subscript Small Letter T
