ᯀ Batak Letter A
ᯁ Batak Letter Simalungun A
ᯂ Batak Letter Ha
ᯃ Batak Letter Simalungun Ha
ᯄ Batak Letter Mandailing Ha
ᯅ Batak Letter Ba
ᯆ Batak Letter Karo Ba
ᯇ Batak Letter Pa
ᯈ Batak Letter Simalungun Pa
ᯉ Batak Letter Na
ᯊ Batak Letter Mandailing Na
ᯋ Batak Letter Wa
ᯌ Batak Letter Simalungun Wa
ᯍ Batak Letter Pakpak Wa
ᯎ Batak Letter Ga
ᯏ Batak Letter Simalungun Ga
ᯐ Batak Letter Ja
ᯑ Batak Letter Da
ᯒ Batak Letter Ra
ᯓ Batak Letter Simalungun Ra
ᯔ Batak Letter Ma
ᯕ Batak Letter Simalungun Ma
ᯖ Batak Letter Southern Ta
ᯗ Batak Letter Northern Ta
ᯘ Batak Letter Sa
ᯙ Batak Letter Simalungun Sa
ᯚ Batak Letter Mandailing Sa
ᯛ Batak Letter Ya
ᯜ Batak Letter Simalungun Ya
ᯝ Batak Letter Nga
ᯞ Batak Letter La
ᯟ Batak Letter Simalungun La
ᯠ Batak Letter Nya
ᯡ Batak Letter Ca
ᯢ Batak Letter Nda
ᯣ Batak Letter Mba
ᯤ Batak Letter I
ᯥ Batak Letter U
᯦ Batak Sign Tompi
ᯧ Batak Vowel Sign E
ᯨ Batak Vowel Sign Pakpak E
ᯩ Batak Vowel Sign Ee
ᯪ Batak Vowel Sign I
ᯫ Batak Vowel Sign Karo I
ᯬ Batak Vowel Sign O
ᯭ Batak Vowel Sign Karo O
ᯮ Batak Vowel Sign U
ᯯ Batak Vowel Sign U For Simalungun Sa
ᯰ Batak Consonant Sign Ng
ᯱ Batak Consonant Sign H
᯲ Batak Pangolat
᯳ Batak Panongonan
᯼ Batak Symbol Bindu Na Metek
᯽ Batak Symbol Bindu Pinarboras
᯾ Batak Symbol Bindu Judul
᯿ Batak Symbol Bindu Pangolat
