🚴 Bicyclist
🚵 Mountain Bicyclist
🚶 Pedestrian
🚷 No Pedestrians
🚸 Children Crossing
🚹 Mens Symbol
🚺 Womens Symbol
🚻 Restroom
🚼 Baby Symbol
🚽 Toilet
🚾 Water Closet
🚿 Shower
🛀 Bath
🛁 Bathtub
🛂 Passport Control
🛃 Customs
🛄 Baggage Claim
🛅 Left Luggage
🛆 Triangle With Rounded Corners
🛇 Prohibited Sign
🛈 Circled Information Source
🛉 Boys Symbol
🛊 Girls Symbol
🛋 Couch And Lamp
🛌 Sleeping Accommodation
🛍 Shopping Bags
🛎 Bellhop Bell
🛏 Bed
🛐 Place Of Worship
🛑 Octagonal Sign
🛒 Shopping Trolley
🛓 Stupa
🚀 Rocket
🛔 Pagoda
🚁 Helicopter
🛕 Hindu Temple
🚂 Steam Locomotive
🛠 Hammer And Wrench
🚃 Railway Car
🛡 Shield
🚄 High-Speed Train
🛢 Oil Drum
🚅 High-Speed Train With Bullet Nose
🛣 Motorway
🚆 Train
🛤 Railway Track
🚇 Metro
🛥 Motor Boat
🚈 Light Rail
🛦 Up-Pointing Military Airplane
🚉 Station
🛧 Up-Pointing Airplane
🚊 Tram
🛨 Up-Pointing Small Airplane
🚋 Tram Car
🛩 Small Airplane
🚌 Bus
🛪 Northeast-Pointing Airplane
🚍 Oncoming Bus
🛫 Airplane Departure
🚎 Trolleybus
🛬 Airplane Arriving
🚏 Bus Stop
🛰 Satellite
🚐 Minibus
🛱 Oncoming Fire Engine
🚑 Ambulance
🛲 Diesel Locomotive
🚒 Fire Engine
🛳 Passenger Ship
🚓 Police Car
🛴 Scooter
🚔 Oncoming Police Car
🛵 Motor Scooter
🚕 Taxi
🛶 Canoe
🚖 Oncoming Taxi
🛷 Sled
🚗 Automobile
🛸 Flying Saucer
🚘 Oncoming Automobile
🛹 Skateboard
🚙 Recreational Vehicle
🛺 Auto Rickshaw
🚚 Delivery Truck
🚛 Articulated Lorry
🚜 Tractor
🚝 Monorail
🚞 Mountain Railway
🚟 Suspension Railway
🚠 Mountain Cableway
🚡 Aerial Tramway
🚢 Ship
🚣 Rowboat
🚤 Speedboat
🚥 Horizontal Traffic Light
🚦 Vertical Traffic Light
🚧 Construction Sign
🚨 Police Cars Revolving Light
🚩 Triangular Flag On Post
🚪 Door
🚫 No Entry Sign
🚬 Smoking Symbol
🚭 No Smoking Symbol
🚮 Put Litter In Its Place Symbol
🚯 Do Not Litter Symbol
🚰 Potable Water Symbol
🚱 Non-Potable Water Symbol
🚲 Bicycle
🚳 No Bicycles
