← Leftwards Arrow
↑ Upwards Arrow
→ Rightwards Arrow
↓ Downwards Arrow
↔ Left Right Arrow
↕ Up Down Arrow
↖ North West Arrow
↗ North East Arrow
↘ South East Arrow
↙ South West Arrow
↚ Leftwards Arrow With Stroke
↛ Rightwards Arrow With Stroke
↜ Leftwards Wave Arrow
↝ Rightwards Wave Arrow
↞ Leftwards Two Headed Arrow
↟ Upwards Two Headed Arrow
↠ Rightwards Two Headed Arrow
↡ Downwards Two Headed Arrow
↢ Leftwards Arrow With Tail
↣ Rightwards Arrow With Tail
↤ Leftwards Arrow From Bar
↥ Upwards Arrow From Bar
↦ Rightwards Arrow From Bar
↧ Downwards Arrow From Bar
↨ Up Down Arrow With Base
↩ Leftwards Arrow With Hook
↪ Rightwards Arrow With Hook
↫ Leftwards Arrow With Loop
↬ Rightwards Arrow With Loop
↭ Left Right Wave Arrow
↮ Left Right Arrow With Stroke
↯ Downwards Zigzag Arrow
↰ Upwards Arrow With Tip Leftwards
↱ Upwards Arrow With Tip Rightwards
↲ Downwards Arrow With Tip Leftwards
↳ Downwards Arrow With Tip Rightwards
↴ Rightwards Arrow With Corner Downwards
↵ Downwards Arrow With Corner Leftwards
↶ Anticlockwise Top Semicircle Arrow
↷ Clockwise Top Semicircle Arrow
↸ North West Arrow To Long Bar
↹ Leftwards Arrow To Bar Over Rightwards Arrow To Bar
↺ Anticlockwise Open Circle Arrow
↻ Clockwise Open Circle Arrow
↼ Leftwards Harpoon With Barb Upwards
↽ Leftwards Harpoon With Barb Downwards
↾ Upwards Harpoon With Barb Rightwards
↿ Upwards Harpoon With Barb Leftwards
⇀ Rightwards Harpoon With Barb Upwards
⇁ Rightwards Harpoon With Barb Downwards
⇂ Downwards Harpoon With Barb Rightwards
⇃ Downwards Harpoon With Barb Leftwards
⇄ Rightwards Arrow Over Leftwards Arrow
⇅ Upwards Arrow Leftwards Of Downwards Arrow
⇆ Leftwards Arrow Over Rightwards Arrow
⇇ Leftwards Paired Arrows
⇈ Upwards Paired Arrows
⇉ Rightwards Paired Arrows
⇊ Downwards Paired Arrows
⇋ Leftwards Harpoon Over Rightwards Harpoon
⇌ Rightwards Harpoon Over Leftwards Harpoon
⇍ Leftwards Double Arrow With Stroke
⇎ Left Right Double Arrow With Stroke
⇏ Rightwards Double Arrow With Stroke
⇐ Leftwards Double Arrow
⇑ Upwards Double Arrow
⇒ Rightwards Double Arrow
⇓ Downwards Double Arrow
⇔ Left Right Double Arrow
⇕ Up Down Double Arrow
⇖ North West Double Arrow
⇗ North East Double Arrow
⇘ South East Double Arrow
⇙ South West Double Arrow
⇚ Leftwards Triple Arrow
⇛ Rightwards Triple Arrow
⇜ Leftwards Squiggle Arrow
⇝ Rightwards Squiggle Arrow
⇞ Upwards Arrow With Double Stroke
⇟ Downwards Arrow With Double Stroke
⇠ Leftwards Dashed Arrow
⇡ Upwards Dashed Arrow
⇢ Rightwards Dashed Arrow
⇣ Downwards Dashed Arrow
⇤ Leftwards Arrow To Bar
⇥ Rightwards Arrow To Bar
⇦ Leftwards White Arrow
⇧ Upwards White Arrow
⇨ Rightwards White Arrow
⇩ Downwards White Arrow
⇪ Upwards White Arrow From Bar
⇫ Upwards White Arrow On Pedestal
⇬ Upwards White Arrow On Pedestal With Horizontal Bar
⇭ Upwards White Arrow On Pedestal With Vertical Bar
⇮ Upwards White Double Arrow
⇯ Upwards White Double Arrow On Pedestal
⇰ Rightwards White Arrow From Wall
⇱ North West Arrow To Corner
⇲ South East Arrow To Corner
⇳ Up Down White Arrow
⇴ Right Arrow With Small Circle
⇵ Downwards Arrow Leftwards Of Upwards Arrow
⇶ Three Rightwards Arrows
⇷ Leftwards Arrow With Vertical Stroke
⇸ Rightwards Arrow With Vertical Stroke
⇹ Left Right Arrow With Vertical Stroke
⇺ Leftwards Arrow With Double Vertical Stroke
⇻ Rightwards Arrow With Double Vertical Stroke
⇼ Left Right Arrow With Double Vertical Stroke
⇽ Leftwards Open-Headed Arrow
⇾ Rightwards Open-Headed Arrow
⇿ Left Right Open-Headed Arrow
