⹉ Double Stacked Comma
⹊ Dotted Solidus
⹋ Triple Dagger
⹌ Medieval Comma
⹍ Paragraphus Mark
⹎ Punctus Elevatus Mark
⹏ Cornish Verse Divider
⸟ Tilde With Dot Below
⸠ Left Vertical Bar With Quill
⸡ Right Vertical Bar With Quill
⸢ Top Left Half Bracket
⸣ Top Right Half Bracket
⸤ Bottom Left Half Bracket
⸥ Bottom Right Half Bracket
⸦ Left Sideways U Bracket
⸧ Right Sideways U Bracket
⸨ Left Double Parenthesis
⸩ Right Double Parenthesis
⸀ Right Angle Substitution Marker
⸪ Two Dots Over One Dot Punctuation
⸁ Right Angle Dotted Substitution Marker
⸫ One Dot Over Two Dots Punctuation
⸂ Left Substitution Bracket
⸬ Squared Four Dot Punctuation
⸃ Right Substitution Bracket
⸭ Five Dot Mark
⸄ Left Dotted Substitution Bracket
⸮ Reversed Question Mark
⸅ Right Dotted Substitution Bracket
ⸯ Vertical Tilde
⸆ Raised Interpolation Marker
⸰ Ring Point
⸇ Raised Dotted Interpolation Marker
⸱ Word Separator Middle Dot
⸈ Dotted Transposition Marker
⸲ Turned Comma
⸳ Raised Dot
⸉ Left Transposition Bracket
⸊ Right Transposition Bracket
⸴ Raised Comma
⸞ Tilde With Dot Above
⸋ Raised Square
⸵ Turned Semicolon
⸌ Left Raised Omission Bracket
⸶ Dagger With Left Guard
⸍ Right Raised Omission Bracket
⸷ Dagger With Right Guard
⸎ Editorial Coronis
⸸ Turned Dagger
⸏ Paragraphos
⸹ Top Half Section Sign
⸐ Forked Paragraphos
⸺ Two-Em Dash
⸑ Reversed Forked Paragraphos
⸻ Three-Em Dash
⸒ Hypodiastole
⸼ Stenographic Full Stop
⸓ Dotted Obelos
⸽ Vertical Six Dots
⸔ Downwards Ancora
⸾ Wiggly Vertical Line
⸕ Upwards Ancora
⸿ Capitulum
⸖ Dotted Right-Pointing Angle
⹀ Double Hyphen
⸗ Double Oblique Hyphen
⹁ Reversed Comma
⸘ Inverted Interrobang
⹂ Double Low-Reversed-9 Quotation Mark
⸙ Palm Branch
⹃ Dash With Left Upturn
⸚ Hyphen With Diaeresis
⹄ Double Suspension Mark
⸛ Tilde With Ring Above
⹅ Inverted Low Kavyka
⸜ Left Low Paraphrase Bracket
⹆ Inverted Low Kavyka With Kavyka Above
⸝ Right Low Paraphrase Bracket
⹇ Low Kavyka
⹈ Low Kavyka With Dot
