〉 Right Angle Bracket
〳 Vertical Kana Repeat Mark Upper Half
〞 Double Prime Quotation Mark
《 Left Double Angle Bracket
〴 Vertical Kana Repeat With Voiced Sound Mark Upper Half
〟 Low Double Prime Quotation Mark
》 Right Double Angle Bracket
〵 Vertical Kana Repeat Mark Lower Half
〠 Postal Mark Face
「 Left Corner Bracket
〶 Circled Postal Mark
〡 Hangzhou Numeral One
」 Right Corner Bracket
〷 Ideographic Telegraph Line Feed Separator Symbol
〢 Hangzhou Numeral Two
『 Left White Corner Bracket
〸 Hangzhou Numeral Ten
〣 Hangzhou Numeral Three
』 Right White Corner Bracket
〹 Hangzhou Numeral Twenty
〤 Hangzhou Numeral Four
【 Left Black Lenticular Bracket
〺 Hangzhou Numeral Thirty
〥 Hangzhou Numeral Five
〲 Vertical Kana Repeat With Voiced Sound Mark
】 Right Black Lenticular Bracket
〻 Vertical Ideographic Iteration Mark
〦 Hangzhou Numeral Six
〒 Postal Mark
〼 Masu Mark
〧 Hangzhou Numeral Seven
〓 Geta Mark
〽 Part Alternation Mark
〨 Hangzhou Numeral Eight
〔 Left Tortoise Shell Bracket
〾 Ideographic Variation Indicator
〩 Hangzhou Numeral Nine
〕 Right Tortoise Shell Bracket
〿 Ideographic Half Fill Space
　 Ideographic Space
〪 Ideographic Level Tone Mark
〖 Left White Lenticular Bracket
、 Ideographic Comma
〫 Ideographic Rising Tone Mark
〗 Right White Lenticular Bracket
。 Ideographic Full Stop
〬 Ideographic Departing Tone Mark
〘 Left White Tortoise Shell Bracket
〃 Ditto Mark
〭 Ideographic Entering Tone Mark
〙 Right White Tortoise Shell Bracket
〄 Japanese Industrial Standard Symbol
〮 Hangul Single Dot Tone Mark
〚 Left White Square Bracket
々 Ideographic Iteration Mark
〯 Hangul Double Dot Tone Mark
〛 Right White Square Bracket
〆 Ideographic Closing Mark
〰 Wavy Dash
〜 Wave Dash
〇 Ideographic Number Zero
〱 Vertical Kana Repeat Mark
〝 Reversed Double Prime Quotation Mark
〈 Left Angle Bracket
