✂ Black Scissors
✬ Black Centre White Star
✃ Lower Blade Scissors
✭ Outlined Black Star
✄ White Scissors
✮ Heavy Outlined Black Star
✅ White Heavy Check Mark
✯ Pinwheel Star
✆ Telephone Location Sign
✰ Shadowed White Star
✇ Tape Drive
✱ Heavy Asterisk
✈ Airplane
✲ Open Centre Asterisk
✉ Envelope
✳ Eight Spoked Asterisk
✊ Raised Fist
✴ Eight Pointed Black Star
✋ Raised Hand
✵ Eight Pointed Pinwheel Star
✌ Victory Hand
✶ Six Pointed Black Star
✍ Writing Hand
✷ Eight Pointed Rectilinear Black Star
✎ Lower Right Pencil
✸ Heavy Eight Pointed Rectilinear Black Star
✏ Pencil
✹ Twelve Pointed Black Star
✐ Upper Right Pencil
✺ Sixteen Pointed Asterisk
✑ White Nib
✻ Teardrop-Spoked Asterisk
✒ Black Nib
✼ Open Centre Teardrop-Spoked Asterisk
✓ Check Mark
✽ Heavy Teardrop-Spoked Asterisk
✔ Heavy Check Mark
✾ Six Petalled Black And White Florette
✕ Multiplication X
✿ Black Florette
❀ White Florette
✖ Heavy Multiplication X
✗ Ballot X
❁ Eight Petalled Outlined Black Florette
✘ Heavy Ballot X
❂ Circled Open Centre Eight Pointed Star
✙ Outlined Greek Cross
❃ Heavy Teardrop-Spoked Pinwheel Asterisk
✚ Heavy Greek Cross
❄ Snowflake
✛ Open Centre Cross
❅ Tight Trifoliate Snowflake
✜ Heavy Open Centre Cross
❆ Heavy Chevron Snowflake
✝ Latin Cross
❇ Sparkle
✞ Shadowed White Latin Cross
❈ Heavy Sparkle
✟ Outlined Latin Cross
❉ Balloon-Spoked Asterisk
✠ Maltese Cross
❊ Eight Teardrop-Spoked Propeller Asterisk
✡ Star Of David
❋ Heavy Eight Teardrop-Spoked Propeller Asterisk
✢ Four Teardrop-Spoked Asterisk
❌ Cross Mark
✣ Four Balloon-Spoked Asterisk
❍ Shadowed White Circle
✤ Heavy Four Balloon-Spoked Asterisk
❎ Negative Squared Cross Mark
✥ Four Club-Spoked Asterisk
❏ Lower Right Drop-Shadowed White Square
✦ Black Four Pointed Star
❐ Upper Right Drop-Shadowed White Square
✧ White Four Pointed Star
❑ Lower Right Shadowed White Square
✨ Sparkles
❒ Upper Right Shadowed White Square
✩ Stress Outlined White Star
❓ Black Question Mark Ornament
✪ Circled White Star
❔ White Question Mark Ornament
✫ Open Centre Black Star
❕ White Exclamation Mark Ornament
❖ Black Diamond Minus White X
➀ Dingbat Circled Sans-Serif Digit One
➪ Left-Shaded White Rightwards Arrow
❗ Heavy Exclamation Mark Symbol
➁ Dingbat Circled Sans-Serif Digit Two
➫ Back-Tilted Shadowed White Rightwards Arrow
❘ Light Vertical Bar
➂ Dingbat Circled Sans-Serif Digit Three
➬ Front-Tilted Shadowed White Rightwards Arrow
❙ Medium Vertical Bar
➃ Dingbat Circled Sans-Serif Digit Four
➭ Heavy Lower Right-Shadowed White Rightwards Arrow
❚ Heavy Vertical Bar
➄ Dingbat Circled Sans-Serif Digit Five
➮ Heavy Upper Right-Shadowed White Rightwards Arrow
❛ Heavy Single Turned Comma Quotation Mark Ornament
➅ Dingbat Circled Sans-Serif Digit Six
➯ Notched Lower Right-Shadowed White Rightwards Arrow
❜ Heavy Single Comma Quotation Mark Ornament
➆ Dingbat Circled Sans-Serif Digit Seven
➰ Curly Loop
❝ Heavy Double Turned Comma Quotation Mark Ornament
➇ Dingbat Circled Sans-Serif Digit Eight
