■ Black Square
□ White Square
▢ White Square With Rounded Corners
▣ White Square Containing Black Small Square
▤ Square With Horizontal Fill
▥ Square With Vertical Fill
▦ Square With Orthogonal Crosshatch Fill
▧ Square With Upper Left To Lower Right Fill
▨ Square With Upper Right To Lower Left Fill
▩ Square With Diagonal Crosshatch Fill
▪ Black Small Square
▫ White Small Square
▬ Black Rectangle
▭ White Rectangle
▮ Black Vertical Rectangle
▯ White Vertical Rectangle
▰ Black Parallelogram
▱ White Parallelogram
▲ Black Up-Pointing Triangle
△ White Up-Pointing Triangle
▴ Black Up-Pointing Small Triangle
▵ White Up-Pointing Small Triangle
▶ Black Right-Pointing Triangle
▷ White Right-Pointing Triangle
▸ Black Right-Pointing Small Triangle
▹ White Right-Pointing Small Triangle
► Black Right-Pointing Pointer
▻ White Right-Pointing Pointer
▼ Black Down-Pointing Triangle
▽ White Down-Pointing Triangle
▾ Black Down-Pointing Small Triangle
▿ White Down-Pointing Small Triangle
◀ Black Left-Pointing Triangle
◁ White Left-Pointing Triangle
◂ Black Left-Pointing Small Triangle
◃ White Left-Pointing Small Triangle
◄ Black Left-Pointing Pointer
◅ White Left-Pointing Pointer
◆ Black Diamond
◇ White Diamond
◈ White Diamond Containing Black Small Diamond
◉ Fisheye
◊ Lozenge
○ White Circle
◌ Dotted Circle
◍ Circle With Vertical Fill
◎ Bullseye
● Black Circle
◐ Circle With Left Half Black
◑ Circle With Right Half Black
◒ Circle With Lower Half Black
◓ Circle With Upper Half Black
◔ Circle With Upper Right Quadrant Black
◕ Circle With All But Upper Left Quadrant Black
◖ Left Half Black Circle
◗ Right Half Black Circle
◘ Inverse Bullet
◙ Inverse White Circle
◚ Upper Half Inverse White Circle
◛ Lower Half Inverse White Circle
◜ Upper Left Quadrant Circular Arc
◝ Upper Right Quadrant Circular Arc
◞ Lower Right Quadrant Circular Arc
◟ Lower Left Quadrant Circular Arc
◠ Upper Half Circle
◡ Lower Half Circle
◢ Black Lower Right Triangle
◣ Black Lower Left Triangle
◤ Black Upper Left Triangle
◥ Black Upper Right Triangle
◦ White Bullet
◧ Square With Left Half Black
◨ Square With Right Half Black
◩ Square With Upper Left Diagonal Half Black
◪ Square With Lower Right Diagonal Half Black
◫ White Square With Vertical Bisecting Line
◬ White Up-Pointing Triangle With Dot
◭ Up-Pointing Triangle With Left Half Black
◮ Up-Pointing Triangle With Right Half Black
◯ Large Circle
◰ White Square With Upper Left Quadrant
◱ White Square With Lower Left Quadrant
◲ White Square With Lower Right Quadrant
◳ White Square With Upper Right Quadrant
◴ White Circle With Upper Left Quadrant
◵ White Circle With Lower Left Quadrant
◶ White Circle With Lower Right Quadrant
◷ White Circle With Upper Right Quadrant
◸ Upper Left Triangle
◹ Upper Right Triangle
◺ Lower Left Triangle
◻ White Medium Square
◼ Black Medium Square
◽ White Medium Small Square
◾ Black Medium Small Square
◿ Lower Right Triangle
