🬀 Block Sextant-1
🬁 Block Sextant-2
🬂 Block Sextant-12
🬃 Block Sextant-3
🬄 Block Sextant-13
🬅 Block Sextant-23
🬆 Block Sextant-123
🬇 Block Sextant-4
🬈 Block Sextant-14
🬉 Block Sextant-24
🬊 Block Sextant-124
🬋 Block Sextant-34
🬌 Block Sextant-134
🬍 Block Sextant-234
🬎 Block Sextant-1234
🬏 Block Sextant-5
🬐 Block Sextant-15
🬑 Block Sextant-25
🬒 Block Sextant-125
🬓 Block Sextant-35
🬔 Block Sextant-235
🬕 Block Sextant-1235
🬖 Block Sextant-45
🬗 Block Sextant-145
🬘 Block Sextant-245
🬙 Block Sextant-1245
🬚 Block Sextant-345
🬛 Block Sextant-1345
🬜 Block Sextant-2345
🬝 Block Sextant-12345
🬞 Block Sextant-6
🬟 Block Sextant-16
🬠 Block Sextant-26
🬡 Block Sextant-126
🬢 Block Sextant-36
🬣 Block Sextant-136
🬤 Block Sextant-236
🬥 Block Sextant-1236
🬦 Block Sextant-46
🬧 Block Sextant-146
🬨 Block Sextant-1246
🬩 Block Sextant-346
🬪 Block Sextant-1346
🬫 Block Sextant-2346
🬬 Block Sextant-12346
🬭 Block Sextant-56
🬮 Block Sextant-156
🬯 Block Sextant-256
🬰 Block Sextant-1256
🬱 Block Sextant-356
🬲 Block Sextant-1356
🬳 Block Sextant-2356
🬴 Block Sextant-12356
🬵 Block Sextant-456
🬶 Block Sextant-1456
🬷 Block Sextant-2456
🬸 Block Sextant-12456
🬹 Block Sextant-3456
🬺 Block Sextant-13456
🬻 Block Sextant-23456
🬼 Lower Left Block Diagonal Lower Middle Left To Lower Centre
🬽 Lower Left Block Diagonal Lower Middle Left To Lower Right
🬾 Lower Left Block Diagonal Upper Middle Left To Lower Centre
🬿 Lower Left Block Diagonal Upper Middle Left To Lower Right
🭀 Lower Left Block Diagonal Upper Left To Lower Centre
🭁 Lower Right Block Diagonal Upper Middle Left To Upper Centre
🭂 Lower Right Block Diagonal Upper Middle Left To Upper Right
🭃 Lower Right Block Diagonal Lower Middle Left To Upper Centre
🭄 Lower Right Block Diagonal Lower Middle Left To Upper Right
🭅 Lower Right Block Diagonal Lower Left To Upper Centre
🭆 Lower Right Block Diagonal Lower Middle Left To Upper Middle Right
🭇 Lower Right Block Diagonal Lower Centre To Lower Middle Right
🭈 Lower Right Block Diagonal Lower Left To Lower Middle Right
🭉 Lower Right Block Diagonal Lower Centre To Upper Middle Right
🭊 Lower Right Block Diagonal Lower Left To Upper Middle Right
🭋 Lower Right Block Diagonal Lower Centre To Upper Right
🭌 Lower Left Block Diagonal Upper Centre To Upper Middle Right
🭍 Lower Left Block Diagonal Upper Left To Upper Middle Right
🭎 Lower Left Block Diagonal Upper Centre To Lower Middle Right
🭏 Lower Left Block Diagonal Upper Left To Lower Middle Right
🭐 Lower Left Block Diagonal Upper Centre To Lower Right
🭑 Lower Left Block Diagonal Upper Middle Left To Lower Middle Right
🭒 Upper Right Block Diagonal Lower Middle Left To Lower Centre
🭓 Upper Right Block Diagonal Lower Middle Left To Lower Right
🭔 Upper Right Block Diagonal Upper Middle Left To Lower Centre
🭕 Upper Right Block Diagonal Upper Middle Left To Lower Right
🭖 Upper Right Block Diagonal Upper Left To Lower Centre
🭗 Upper Left Block Diagonal Upper Middle Left To Upper Centre
🭘 Upper Left Block Diagonal Upper Middle Left To Upper Right
🭙 Upper Left Block Diagonal Lower Middle Left To Upper Centre
🭚 Upper Left Block Diagonal Lower Middle Left To Upper Right
🭛 Upper Left Block Diagonal Lower Left To Upper Centre
🭜 Upper Left Block Diagonal Lower Middle Left To Upper Middle Right
🭝 Upper Left Block Diagonal Lower Centre To Lower Middle Right
🭞 Upper Left Block Diagonal Lower Left To Lower Middle Right
🭟 Upper Left Block Diagonal Lower Centre To Upper Middle Right
🭠 Upper Left Block Diagonal Lower Left To Upper Middle Right
🭡 Upper Left Block Diagonal Lower Centre To Upper Right
🭢 Upper Right Block Diagonal Upper Centre To Upper Middle Right
🭣 Upper Right Block Diagonal Upper Left To Upper Middle Right
🭤 Upper Right Block Diagonal Upper Centre To Lower Middle Right
🭥 Upper Right Block Diagonal Upper Left To Lower Middle Right
🭦 Upper Right Block Diagonal Upper Centre To Lower Right
🭧 Upper Right Block Diagonal Upper Middle Left To Lower Middle Right
🭨 Upper And Right And Lower Triangular Three Quarters Block
🭩 Left And Lower And Right Triangular Three Quarters Block
🭪 Upper And Left And Lower Triangular Three Quarters Block
🭫 Left And Upper And Right Triangular Three Quarters Block
🭬 Left Triangular One Quarter Block
🭭 Upper Triangular One Quarter Block
🭮 Right Triangular One Quarter Block
🭯 Lower Triangular One Quarter Block
🭰 Vertical One Eighth Block-2
🭱 Vertical One Eighth Block-3
🭲 Vertical One Eighth Block-4
🭳 Vertical One Eighth Block-5
🭴 Vertical One Eighth Block-6
🭵 Vertical One Eighth Block-7
🭶 Horizontal One Eighth Block-2
🭷 Horizontal One Eighth Block-3
🭸 Horizontal One Eighth Block-4
🭹 Horizontal One Eighth Block-5
🭺 Horizontal One Eighth Block-6
🭻 Horizontal One Eighth Block-7
🭼 Left And Lower One Eighth Block
🭽 Left And Upper One Eighth Block
🭾 Right And Upper One Eighth Block
🭿 Right And Lower One Eighth Block
🮀 Upper And Lower One Eighth Block
🮁 Horizontal One Eighth Block-1358
🮂 Upper One Quarter Block
