𘬀 Khitan Small Script Character-18B00
𘬁 Khitan Small Script Character-18B01
𘬂 Khitan Small Script Character-18B02
𘬃 Khitan Small Script Character-18B03
𘬄 Khitan Small Script Character-18B04
𘬅 Khitan Small Script Character-18B05
𘬆 Khitan Small Script Character-18B06
𘬇 Khitan Small Script Character-18B07
𘬈 Khitan Small Script Character-18B08
𘬉 Khitan Small Script Character-18B09
𘬊 Khitan Small Script Character-18B0A
𘬋 Khitan Small Script Character-18B0B
𘬌 Khitan Small Script Character-18B0C
𘬍 Khitan Small Script Character-18B0D
𘬎 Khitan Small Script Character-18B0E
𘬏 Khitan Small Script Character-18B0F
𘬐 Khitan Small Script Character-18B10
𘬑 Khitan Small Script Character-18B11
𘬒 Khitan Small Script Character-18B12
𘬓 Khitan Small Script Character-18B13
𘬔 Khitan Small Script Character-18B14
𘬕 Khitan Small Script Character-18B15
𘬖 Khitan Small Script Character-18B16
𘬗 Khitan Small Script Character-18B17
𘬘 Khitan Small Script Character-18B18
𘬙 Khitan Small Script Character-18B19
𘬚 Khitan Small Script Character-18B1A
𘬛 Khitan Small Script Character-18B1B
𘬜 Khitan Small Script Character-18B1C
𘬝 Khitan Small Script Character-18B1D
𘬞 Khitan Small Script Character-18B1E
𘬟 Khitan Small Script Character-18B1F
𘬠 Khitan Small Script Character-18B20
𘬡 Khitan Small Script Character-18B21
𘬢 Khitan Small Script Character-18B22
𘬣 Khitan Small Script Character-18B23
𘬤 Khitan Small Script Character-18B24
𘬥 Khitan Small Script Character-18B25
𘬦 Khitan Small Script Character-18B26
𘬧 Khitan Small Script Character-18B27
𘬨 Khitan Small Script Character-18B28
𘬩 Khitan Small Script Character-18B29
𘬪 Khitan Small Script Character-18B2A
𘬫 Khitan Small Script Character-18B2B
𘬬 Khitan Small Script Character-18B2C
𘬭 Khitan Small Script Character-18B2D
𘬮 Khitan Small Script Character-18B2E
𘬯 Khitan Small Script Character-18B2F
𘬰 Khitan Small Script Character-18B30
𘬱 Khitan Small Script Character-18B31
𘬲 Khitan Small Script Character-18B32
𘬳 Khitan Small Script Character-18B33
𘬴 Khitan Small Script Character-18B34
𘬵 Khitan Small Script Character-18B35
𘬶 Khitan Small Script Character-18B36
𘬷 Khitan Small Script Character-18B37
𘬸 Khitan Small Script Character-18B38
𘬹 Khitan Small Script Character-18B39
𘬺 Khitan Small Script Character-18B3A
𘬻 Khitan Small Script Character-18B3B
𘬼 Khitan Small Script Character-18B3C
𘬽 Khitan Small Script Character-18B3D
𘬾 Khitan Small Script Character-18B3E
𘬿 Khitan Small Script Character-18B3F
𘭀 Khitan Small Script Character-18B40
𘭁 Khitan Small Script Character-18B41
