ༀ Tibetan Syllable Om
༁ Tibetan Mark Gter Yig Mgo Truncated A
༂ Tibetan Mark Gter Yig Mgo -Um Rnam Bcad Ma
༃ Tibetan Mark Gter Yig Mgo -Um Gter Tsheg Ma
༄ Tibetan Mark Initial Yig Mgo Mdun Ma
༅ Tibetan Mark Closing Yig Mgo Sgab Ma
༆ Tibetan Mark Caret Yig Mgo Phur Shad Ma
༇ Tibetan Mark Yig Mgo Tsheg Shad Ma
༈ Tibetan Mark Sbrul Shad
༉ Tibetan Mark Bskur Yig Mgo
༊ Tibetan Mark Bka- Shog Yig Mgo
་ Tibetan Mark Intersyllabic Tsheg
༌ Tibetan Mark Delimiter Tsheg Bstar
། Tibetan Mark Shad
༎ Tibetan Mark Nyis Shad
༏ Tibetan Mark Tsheg Shad
༐ Tibetan Mark Nyis Tsheg Shad
༑ Tibetan Mark Rin Chen Spungs Shad
༒ Tibetan Mark Rgya Gram Shad
༓ Tibetan Mark Caret -Dzud Rtags Me Long Can
༔ Tibetan Mark Gter Tsheg
༕ Tibetan Logotype Sign Chad Rtags
༖ Tibetan Logotype Sign Lhag Rtags
༗ Tibetan Astrological Sign Sgra Gcan -Char Rtags
༘ Tibetan Astrological Sign -Khyud Pa
༙ Tibetan Astrological Sign Sdong Tshugs
༚ Tibetan Sign Rdel Dkar Gcig
༛ Tibetan Sign Rdel Dkar Gnyis
༜ Tibetan Sign Rdel Dkar Gsum
༝ Tibetan Sign Rdel Nag Gcig
༞ Tibetan Sign Rdel Nag Gnyis
༟ Tibetan Sign Rdel Dkar Rdel Nag
༠ Tibetan Digit Zero
༡ Tibetan Digit One
༢ Tibetan Digit Two
༣ Tibetan Digit Three
༤ Tibetan Digit Four
༥ Tibetan Digit Five
༦ Tibetan Digit Six
༧ Tibetan Digit Seven
༨ Tibetan Digit Eight
༩ Tibetan Digit Nine
༪ Tibetan Digit Half One
༫ Tibetan Digit Half Two
༬ Tibetan Digit Half Three
༭ Tibetan Digit Half Four
༮ Tibetan Digit Half Five
༯ Tibetan Digit Half Six
༰ Tibetan Digit Half Seven
༱ Tibetan Digit Half Eight
༲ Tibetan Digit Half Nine
༳ Tibetan Digit Half Zero
༴ Tibetan Mark Bsdus Rtags
༵ Tibetan Mark Ngas Bzung Nyi Zla
༶ Tibetan Mark Caret -Dzud Rtags Bzhi Mig Can
༷ Tibetan Mark Ngas Bzung Sgor Rtags
༸ Tibetan Mark Che Mgo
༹ Tibetan Mark Tsa -Phru
༺ Tibetan Mark Gug Rtags Gyon
༻ Tibetan Mark Gug Rtags Gyas
༼ Tibetan Mark Ang Khang Gyon
༽ Tibetan Mark Ang Khang Gyas
༾ Tibetan Sign Yar Tshes
༿ Tibetan Sign Mar Tshes
ཀ Tibetan Letter Ka
ཁ Tibetan Letter Kha
ག Tibetan Letter Ga
གྷ Tibetan Letter Gha
ང Tibetan Letter Nga
ཅ Tibetan Letter Ca
ཆ Tibetan Letter Cha
ཇ Tibetan Letter Ja
ཉ Tibetan Letter Nya
ཊ Tibetan Letter Tta
ཋ Tibetan Letter Ttha
ཌ Tibetan Letter Dda
ཌྷ Tibetan Letter Ddha
ཎ Tibetan Letter Nna
ཏ Tibetan Letter Ta
ཐ Tibetan Letter Tha
ད Tibetan Letter Da
དྷ Tibetan Letter Dha
ན Tibetan Letter Na
པ Tibetan Letter Pa
ཕ Tibetan Letter Pha
བ Tibetan Letter Ba
བྷ Tibetan Letter Bha
མ Tibetan Letter Ma
ཙ Tibetan Letter Tsa
ཚ Tibetan Letter Tsha
ཛ Tibetan Letter Dza
ཛྷ Tibetan Letter Dzha
ཝ Tibetan Letter Wa
ཞ Tibetan Letter Zha
ཟ Tibetan Letter Za
འ Tibetan Letter -A
ཡ Tibetan Letter Ya
ར Tibetan Letter Ra
ལ Tibetan Letter La
ཤ Tibetan Letter Sha
ཥ Tibetan Letter Ssa
ས Tibetan Letter Sa
ཧ Tibetan Letter Ha
ཨ Tibetan Letter A
ཀྵ Tibetan Letter Kssa
ཪ Tibetan Letter Fixed-Form Ra
ཫ Tibetan Letter Kka
ཬ Tibetan Letter Rra
ཱ Tibetan Vowel Sign Aa
ི Tibetan Vowel Sign I
ཱི Tibetan Vowel Sign Ii
ུ Tibetan Vowel Sign U
ཱུ Tibetan Vowel Sign Uu
ྲྀ Tibetan Vowel Sign Vocalic R
ཷ Tibetan Vowel Sign Vocalic Rr
ླྀ Tibetan Vowel Sign Vocalic L
ཹ Tibetan Vowel Sign Vocalic Ll
ེ Tibetan Vowel Sign E
ཻ Tibetan Vowel Sign Ee
ོ Tibetan Vowel Sign O
ཽ Tibetan Vowel Sign Oo
ཾ Tibetan Sign Rjes Su Nga Ro
ཿ Tibetan Sign Rnam Bcad
ྀ Tibetan Vowel Sign Reversed I
ཱྀ Tibetan Vowel Sign Reversed Ii
ྂ Tibetan Sign Nyi Zla Naa Da
ྃ Tibetan Sign Sna Ldan
྄ Tibetan Mark Halanta
྅ Tibetan Mark Paluta
྆ Tibetan Sign Lci Rtags
྇ Tibetan Sign Yang Rtags
ྈ Tibetan Sign Lce Tsa Can
ྉ Tibetan Sign Mchu Can
ྊ Tibetan Sign Gru Can Rgyings
ྋ Tibetan Sign Gru Med Rgyings
ྌ Tibetan Sign Inverted Mchu Can
ྍ Tibetan Subjoined Sign Lce Tsa Can
ྎ Tibetan Subjoined Sign Mchu Can
ྏ Tibetan Subjoined Sign Inverted Mchu Can
ྐ Tibetan Subjoined Letter Ka
ྑ Tibetan Subjoined Letter Kha
ྒ Tibetan Subjoined Letter Ga
ྒྷ Tibetan Subjoined Letter Gha
ྔ Tibetan Subjoined Letter Nga
ྕ Tibetan Subjoined Letter Ca
ྖ Tibetan Subjoined Letter Cha
ྗ Tibetan Subjoined Letter Ja
ྙ Tibetan Subjoined Letter Nya
ྚ Tibetan Subjoined Letter Tta
ྛ Tibetan Subjoined Letter Ttha
ྜ Tibetan Subjoined Letter Dda
ྜྷ Tibetan Subjoined Letter Ddha
ྞ Tibetan Subjoined Letter Nna
ྟ Tibetan Subjoined Letter Ta
ྠ Tibetan Subjoined Letter Tha
ྡ Tibetan Subjoined Letter Da
ྡྷ Tibetan Subjoined Letter Dha
ྣ Tibetan Subjoined Letter Na
ྤ Tibetan Subjoined Letter Pa
ྥ Tibetan Subjoined Letter Pha
ྦ Tibetan Subjoined Letter Ba
ྦྷ Tibetan Subjoined Letter Bha
ྨ Tibetan Subjoined Letter Ma
ྩ Tibetan Subjoined Letter Tsa
ྪ Tibetan Subjoined Letter Tsha
ྫ Tibetan Subjoined Letter Dza
ྫྷ Tibetan Subjoined Letter Dzha
ྭ Tibetan Subjoined Letter Wa
ྮ Tibetan Subjoined Letter Zha
ྯ Tibetan Subjoined Letter Za
ྰ Tibetan Subjoined Letter -A
ྱ Tibetan Subjoined Letter Ya
ྲ Tibetan Subjoined Letter Ra
ླ Tibetan Subjoined Letter La
ྴ Tibetan Subjoined Letter Sha
ྵ Tibetan Subjoined Letter Ssa
ྶ Tibetan Subjoined Letter Sa
ྷ Tibetan Subjoined Letter Ha
ྸ Tibetan Subjoined Letter A
ྐྵ Tibetan Subjoined Letter Kssa
ྺ Tibetan Subjoined Letter Fixed-Form Wa
ྻ Tibetan Subjoined Letter Fixed-Form Ya
ྼ Tibetan Subjoined Letter Fixed-Form Ra
྾ Tibetan Ku Ru Kha
྿ Tibetan Ku Ru Kha Bzhi Mig Can
࿀ Tibetan Cantillation Sign Heavy Beat
࿁ Tibetan Cantillation Sign Light Beat
࿂ Tibetan Cantillation Sign Cang Te-U
࿃ Tibetan Cantillation Sign Sbub -Chal
࿄ Tibetan Symbol Dril Bu
࿅ Tibetan Symbol Rdo Rje
࿆ Tibetan Symbol Padma Gdan
࿇ Tibetan Symbol Rdo Rje Rgya Gram
࿈ Tibetan Symbol Phur Pa
࿉ Tibetan Symbol Nor Bu
࿊ Tibetan Symbol Nor Bu Nyis -Khyil
࿋ Tibetan Symbol Nor Bu Gsum -Khyil
࿌ Tibetan Symbol Nor Bu Bzhi -Khyil
࿎ Tibetan Sign Rdel Nag Rdel Dkar
࿏ Tibetan Sign Rdel Nag Gsum
࿐ Tibetan Mark Bska- Shog Gi Mgo Rgyan
࿑ Tibetan Mark Mnyam Yig Gi Mgo Rgyan
࿒ Tibetan Mark Nyis Tsheg
࿓ Tibetan Mark Initial Brda Rnying Yig Mgo Mdun Ma
࿔ Tibetan Mark Closing Brda Rnying Yig Mgo Sgab Ma
࿕ Right-Facing Svasti Sign
࿖ Left-Facing Svasti Sign
࿗ Right-Facing Svasti Sign With Dots
࿘ Left-Facing Svasti Sign With Dots
࿙ Tibetan Mark Leading Mchan Rtags
࿚ Tibetan Mark Trailing Mchan Rtags
