⟰ Upwards Quadruple Arrow
⟱ Downwards Quadruple Arrow
⟲ Anticlockwise Gapped Circle Arrow
⟳ Clockwise Gapped Circle Arrow
⟴ Right Arrow With Circled Plus
⟵ Long Leftwards Arrow
⟶ Long Rightwards Arrow
⟷ Long Left Right Arrow
⟸ Long Leftwards Double Arrow
⟹ Long Rightwards Double Arrow
⟺ Long Left Right Double Arrow
⟻ Long Leftwards Arrow From Bar
⟼ Long Rightwards Arrow From Bar
⟽ Long Leftwards Double Arrow From Bar
⟾ Long Rightwards Double Arrow From Bar
⟿ Long Rightwards Squiggle Arrow
