᠈ Mongolian Manchu Comma
ᢔ Mongolian Letter Ali Gali Ssa
᠉ Mongolian Manchu Full Stop
ᢕ Mongolian Letter Ali Gali Zha
᠊ Mongolian Nirugu
ᢖ Mongolian Letter Ali Gali Za
᠋ Mongolian Free Variation Selector One
ᢗ Mongolian Letter Ali Gali Ah
᠌ Mongolian Free Variation Selector Two
ᢘ Mongolian Letter Todo Ali Gali Ta
᠍ Mongolian Free Variation Selector Three
ᢙ Mongolian Letter Todo Ali Gali Zha
᠎ Mongolian Vowel Separator
ᢚ Mongolian Letter Manchu Ali Gali Gha
᠐ Mongolian Digit Zero
ᢛ Mongolian Letter Manchu Ali Gali Nga
᠑ Mongolian Digit One
ᢜ Mongolian Letter Manchu Ali Gali Ca
᠒ Mongolian Digit Two
ᢝ Mongolian Letter Manchu Ali Gali Jha
᠓ Mongolian Digit Three
ᢞ Mongolian Letter Manchu Ali Gali Tta
᠔ Mongolian Digit Four
ᢟ Mongolian Letter Manchu Ali Gali Ddha
᠕ Mongolian Digit Five
ᢠ Mongolian Letter Manchu Ali Gali Ta
᠖ Mongolian Digit Six
ᢡ Mongolian Letter Manchu Ali Gali Dha
᠗ Mongolian Digit Seven
ᢢ Mongolian Letter Manchu Ali Gali Ssa
᠘ Mongolian Digit Eight
ᢣ Mongolian Letter Manchu Ali Gali Cya
ᡢ Mongolian Letter Sibe Ang
᠙ Mongolian Digit Nine
ᢤ Mongolian Letter Manchu Ali Gali Zha
ᠠ Mongolian Letter A
ᢥ Mongolian Letter Manchu Ali Gali Za
ᠡ Mongolian Letter E
ᢦ Mongolian Letter Ali Gali Half U
ᠢ Mongolian Letter I
ᢧ Mongolian Letter Ali Gali Half Ya
ᠣ Mongolian Letter O
ᢨ Mongolian Letter Manchu Ali Gali Bha
ᠤ Mongolian Letter U
ᢓ Mongolian Letter Ali Gali Pha
ᢩ Mongolian Letter Ali Gali Dagalga
ᠥ Mongolian Letter Oe
ᢪ Mongolian Letter Manchu Ali Gali Lha
ᠦ Mongolian Letter Ue
ᠧ Mongolian Letter Ee
ᠨ Mongolian Letter Na
ᠩ Mongolian Letter Ang
ᠪ Mongolian Letter Ba
ᠫ Mongolian Letter Pa
ᠬ Mongolian Letter Qa
ᠭ Mongolian Letter Ga
ᠮ Mongolian Letter Ma
ᠯ Mongolian Letter La
ᠰ Mongolian Letter Sa
ᠱ Mongolian Letter Sha
ᠲ Mongolian Letter Ta
ᠳ Mongolian Letter Da
ᠴ Mongolian Letter Cha
ᠵ Mongolian Letter Ja
ᠶ Mongolian Letter Ya
ᠷ Mongolian Letter Ra
ᠸ Mongolian Letter Wa
ᠹ Mongolian Letter Fa
ᡣ Mongolian Letter Sibe Ka
ᠺ Mongolian Letter Ka
ᡤ Mongolian Letter Sibe Ga
ᠻ Mongolian Letter Kha
ᡥ Mongolian Letter Sibe Ha
ᠼ Mongolian Letter Tsa
ᡦ Mongolian Letter Sibe Pa
ᠽ Mongolian Letter Za
ᡧ Mongolian Letter Sibe Sha
ᠾ Mongolian Letter Haa
ᡨ Mongolian Letter Sibe Ta
ᠿ Mongolian Letter Zra
ᡩ Mongolian Letter Sibe Da
ᡀ Mongolian Letter Lha
ᡪ Mongolian Letter Sibe Ja
ᡁ Mongolian Letter Zhi
ᡫ Mongolian Letter Sibe Fa
ᡂ Mongolian Letter Chi
ᡬ Mongolian Letter Sibe Gaa
ᡃ Mongolian Letter Todo Long Vowel Sign
ᡭ Mongolian Letter Sibe Haa
ᡄ Mongolian Letter Todo E
ᡮ Mongolian Letter Sibe Tsa
ᡅ Mongolian Letter Todo I
ᡯ Mongolian Letter Sibe Za
ᡆ Mongolian Letter Todo O
ᡰ Mongolian Letter Sibe Raa
ᡇ Mongolian Letter Todo U
ᡱ Mongolian Letter Sibe Cha
ᡈ Mongolian Letter Todo Oe
ᡲ Mongolian Letter Sibe Zha
ᡉ Mongolian Letter Todo Ue
ᡳ Mongolian Letter Manchu I
ᡊ Mongolian Letter Todo Ang
ᡴ Mongolian Letter Manchu Ka
ᡋ Mongolian Letter Todo Ba
ᡵ Mongolian Letter Manchu Ra
ᡌ Mongolian Letter Todo Pa
ᡶ Mongolian Letter Manchu Fa
ᡍ Mongolian Letter Todo Qa
ᡷ Mongolian Letter Manchu Zha
ᡎ Mongolian Letter Todo Ga
ᡸ Mongolian Letter Cha With Two Dots
ᡏ Mongolian Letter Todo Ma
ᢀ Mongolian Letter Ali Gali Anusvara One
ᡐ Mongolian Letter Todo Ta
ᢁ Mongolian Letter Ali Gali Visarga One
ᡑ Mongolian Letter Todo Da
ᢂ Mongolian Letter Ali Gali Damaru
ᡒ Mongolian Letter Todo Cha
ᢃ Mongolian Letter Ali Gali Ubadama
ᡓ Mongolian Letter Todo Ja
ᢄ Mongolian Letter Ali Gali Inverted Ubadama
ᡔ Mongolian Letter Todo Tsa
ᢅ Mongolian Letter Ali Gali Baluda
ᡕ Mongolian Letter Todo Ya
ᢆ Mongolian Letter Ali Gali Three Baluda
ᡖ Mongolian Letter Todo Wa
ᢇ Mongolian Letter Ali Gali A
ᡗ Mongolian Letter Todo Ka
ᢈ Mongolian Letter Ali Gali I
ᡘ Mongolian Letter Todo Gaa
ᢉ Mongolian Letter Ali Gali Ka
ᡙ Mongolian Letter Todo Haa
ᢊ Mongolian Letter Ali Gali Nga
ᡚ Mongolian Letter Todo Jia
ᢋ Mongolian Letter Ali Gali Ca
᠀ Mongolian Birga
ᡛ Mongolian Letter Todo Nia
ᢌ Mongolian Letter Ali Gali Tta
᠁ Mongolian Ellipsis
ᡜ Mongolian Letter Todo Dza
ᢍ Mongolian Letter Ali Gali Ttha
᠂ Mongolian Comma
ᡝ Mongolian Letter Sibe E
ᢎ Mongolian Letter Ali Gali Dda
᠃ Mongolian Full Stop
ᡞ Mongolian Letter Sibe I
ᢏ Mongolian Letter Ali Gali Nna
᠄ Mongolian Colon
ᡟ Mongolian Letter Sibe Iy
ᢐ Mongolian Letter Ali Gali Ta
᠅ Mongolian Four Dots
ᡠ Mongolian Letter Sibe Ue
ᢑ Mongolian Letter Ali Gali Da
᠆ Mongolian Todo Soft Hyphen
ᡡ Mongolian Letter Sibe U
ᢒ Mongolian Letter Ali Gali Pa
᠇ Mongolian Sibe Syllable Boundary Marker
