{ ezkerreko giltza, giltza
🏻 1–2. mota, azalaren tonua
🏼 3. mota, azalaren tonua
🏽 azalaren tonua, bitarteko azal-tonua
🏾 5. mota, azalaren tonua
🏿 6. mota, azalaren tonua
‾ gain-marra, goi-marra, vinculum
_ azpimarra, beheko marra, marra
- marra, marratxoa, minus, minus-marra
‐ marra, marratxoa
– labur, marra, marra laburra
— luze, marra, marra luzea
― barra, barra horizontala, lerroa, marra
・ erdiko puntua, katakana, katakanako erdiko puntua, puntuak
, koma
، arabiarra, koma
、 ideografikoa, koma
; puntu eta koma
؛ arabiarra, puntu eta koma, puntu eta koma arabiarra
: bi puntu
! harridura, harridura-marka, kolpea
¡ alderantzikatua, harridura, harridura-marka, kolpea
? galdera, galdera-marka
¿ alderantzikatua, galdera, galdera-marka
؟ arabiarra, galdera, galdera-marka
‽ interabang, interrobang-a
. puntua
… elipsia, puntuak
。 ideografikoa, puntu ideografikoa, puntua
· erdia, erdiko puntu, erdiko puntua, puntu
' apostrofoa, kakotx bakuna, kakotx zuzena, kakotxa
‘ apostrofoa, ezkerreko apostrofoa, kakotx adimenduna, kakotx bakuna, kakotxa
’ apostrofoa, eskuineko apostrofoa, kakotx adimenduna, kakotx bakuna, kakotxa
‚ apostrofoa, beheko eskuineko apostrofoa, beheko komatxoa, komatxoa
“ ezkerreko komatxoa, kakotx bikoitza, kakotxa, komatxo adimenduna, komatxoa
” eskuineko komatxoa, kakotx bikoitza, kakotxa, komatxo adimenduna, komatxoa
„ beheko eskuineko komatxoa, beheko komatxoa, kakotx bikoitza, kakotxa, komatxo adimenduna, komatxoa
« azentu zirkunflexu, ezkerra, ezkerreko komatxo, ezkerreko komatxoak, komatxo, kortxete, xebroi
» azentu zirkunflexu, eskuina, eskuineko komatxo, eskuineko komatxoak, komatxo, kortxete, xebroi
) eskuineko parentesia, parentesia
[ ezkerreko kako zuzena, kako zuzena, kakoa
] eskuineko kako zuzena, kako zuzena, kakoa
} eskuineko giltza, giltza
〈 angelu-parentesia, ezkerreko angelu-parentesia, parentesia
〉 angelu-parentesia, eskuineko angelu-parentesia, parentesia
《 angelu-parentesi bikoitza, ezkerreko angelu-parentesi bikoitza, parentesia
》 angelu-parentesi bikoitza, eskuineko angelu-parentesi bikoitza, parentesia
「 ezkerreko izkinako parentesia, izkinako parentesia, parentesia
」 eskuineko izkinako parentesia, izkinako parentesia, parentesia
『 ezkerreko izkinako parentesi hutsa, izkinako parentesi hutsa, parentesia
』 eskuineko izkinako parentesi hutsa, izkinako parentesi hutsa, parentesia
【 leiar-itxurako ezkerreko parentesi beltza, leiar-itxurako parentesia, parentesia
】 leiar-itxurako eskuineko parentesi beltza, leiar-itxurako parentesia, parentesia
〔 dortoka-oskolaren formako ezkerreko parentesia, dortoka-oskolaren formako parentesia, parentesia
〕 dortoka-oskolaren formako eskuineko parentesia, dortoka-oskolaren formako parentesia, parentesia
〖 leiar-itxurako ezkerreko parentesi hutsa, leiar-itxurako parentesi hutsa, parentesia
〗 leiar-itxurako eskuineko parentesi hutsa, leiar-itxurako parentesi hutsa, parentesia
§ paragrafo, sekzio, sekzioa, zati
¶ paragrafo-marka, paragrafoa
@ a bildua, arroba
* izarra, izartxoa, komodina
/ barra, zeiharra
\ alderantzizko barra, alderantzizko solidus
& eta, eta-ikurra
# hashtaga, traol-hitza, traola
% ehuneko, ehunekoa
‰ milako, milakoa
† gurutze, gurutzea, obelisko
‡ bikoitz, gurutze, gurutze bikoitza, obelisko
• bullet, bulleta, puntu
