{ jepit, jepit kriwil, kurung, kurung kriwil, kurung kriwil mbukak, swiwi manuk
🏻 kulit putih, praupan kulit, tipe 1 - 2
🏼 kulit putih langsep, praupan kulit, tipe 3
🏽 kulit kuning, praupan kulit, tipe 4
🏾 kulit sawo mateng, praupan kulit, tipe 5
🏿 kulit ireng, praupan kulit, tipe 6
_ garis, garis ngisor, tandha garis, tandha pisah, tandha pisah ngisor
- minus, tandha garis, tandha sambung, tandha sambung-minus
‐ tandha garis, tandha sambung
– en, setrip
— em, setrip
― garis, palang, palang mlumah, tandha garis
・ interpunct, katakana, okeh titik, titik tengah, titik tengah katakana
, pada lingsa
، arab, pada lingsa, pada lingsa arab
、 nduweni sifat gambar, pada lingsa, pada lingsa nduweni sifat gambar
; pada lungsi pada lingsa
؛ arab, pada lingsa pada lungsi, pada lingsa pada lungsi arab
: pada lungsi loro
! sero, tandha penthung, tembung sero
¡ kewalik, sero, tandha penthung, tandha sero, tandha sero kewalik, tembung sero
? pitakon, tandha pitakon
¿ kewalik, pitakon, tandha pitakon, tandha pitakon kewalik
؟ arab, pitakon, tandha pitakon, tandha pitakon arab
. bintek, mandhek dek, titik
… klalen, okeh titik, tandha ganti
。 mandhek dek, nduweni sifat gambar, titik, titik nduweni sifat gambar
· mudhuk, tengah, titik, titik cilek
' apostrof, apostrof mesin tik, kutip, kutip siji
‘ apostrof, apostrof kiwa, kutip, kutip pinter, kutip siji
’ apostrof, apostrof tengen, kutip, kutip pinter, kutip siji
‚ apostrof, apostrof tengen ngisor, kutip, kutip ngisor
“ kutip, kutip loro, kutipan, kutipan pinter, tandha kutipan kiwo
” kutip, kutip loro, kutipan, kutipan pinter, tandha kutipan tengen
„ kutip, kutip loro, kutipan, kutipan ngisor, kutipan pinter, tandha kutipan tengen ngisor
« amba, kiwa, kurung, kurung lancip kiwa, nggulung, ngutip, v kualik
» amba, kurung, kurung lancip tengen, nggulung, ngutip, tengen, v kualik
) induk, indukan, kurung, kurung bunder, tandha kurung
[ khayal, kurung, kurung kothak, kurung kothak mbukak
] khayal, kurung, kurung kothak, kurung kothak nutup
} jepit, jepit kriwil, kurung, kurung kriwil, kurung kriwil nutup, swiwi manuk
〈 kurung, kurung panunjuk, kurung permata, kurung sudut, kurung sudut mbukak, tuple, v kewalik
〉 kurung, kurung panunjuk, kurung permata, kurung sudut, kurung sudut nutup, tuple, v kewalik
《 kurung, kurung sudut loro, kurung sudut loro mbukak
》 kurung, kurung sudut loro, kurung sudut loro nutup
「 kurung, kurung panjuru, kurung panjuru mbukak
」 kurung, kurung panjuru, kurung panjuru nutup
