‾ ᱚᱵᱷᱟᱨ ᱞᱟᱹᱭᱤᱱ
‽ ᱤᱱᱴᱟᱨᱚᱵᱮᱝᱜᱽ
‸ ᱠᱮᱨᱮᱴ
⁂ ᱟᱥᱴᱟᱨᱤᱡᱽᱢ
