{ clau, clau d’obertura, clau esquerra, parèntesi
🏻 clara, molt clara, pell, pell molt clara
🏼 bastant clara, pell, pell bastant clara
🏽 morena, pell
🏾 fosca, pell
🏿 fosca, pell, pell molt fosca
‾ sobreratllat
_ caràcter de subratllat, guió, línia, ratlla, ratlla baixa
- guionet, guionet de menys, menys
‐ guió, guionet
– guió, guió mitjà
— guió, guió llarg
― barra, barra horitzontal, guió, línia
・ katakana, punt, punt alçat, punt volat, punt volat katakana
, coma
، àrab, coma
、 coma, ideogràfica
; coma, punt, punt i coma
؛ àrab, punt i coma, punt i coma àrab
: dos punts
! bang, exclamació, signe d’exclamació
¡ bang, exclamació, invertit, obertura, signe d’exclamació, signe d’exclamació d’obertura
? interrogació, interrogant, pregunta, signe d’interrogació
¿ obertura, pregunta, signe d’interrogació, signe d’interrogació d’obertura
؟ àrab, pregunta, signe d’interrogació àrab
‽ signe exclarrogatiu
. punt, punt final
… omissió, punts, punts suspensius
。 ideogràfic, punt
· meitat, punt, punt alçat, punt volat
' apòstrof, apòstrof tipogràfic, cometa, cometa simple
‘ apòstrof, cometa, cometa esquerra, cometa simple
’ apòstrof, cometa, cometa dreta, cometa simple
‚ cometa, cometa baixa, cometa baixa dreta, cometa simple
“ cometa, cometa doble, cometa doble alta esquerra, cometes
” cometa, cometa doble, cometa doble alta dreta, cometes
„ cometa, cometa baixa, cometa doble, cometa doble baixa dreta, cometes
« angle, cometa, cometa llatina esquerra, esquerra, galó, parèntesi, signe d’inserció
» angle, cometa, cometa llatina dreta, dreta, galó, parèntesi, signe d’inserció
) parèntesi, parèntesi de tancament
[ claudàtor, claudàtor d’obertura, claudàtor esquerre
] claudàtor, claudàtor de tancament, claudàtor dret
} clau, clau de tancament, clau dreta, parèntesi
〈 angle agut, obertura, parèntesi, parèntesi angular, parèntesi angular d’obertura
〉 angle agut, parèntesi, parèntesi angular, parèntesi angular de tancament, tancament
《 parèntesi, parèntesi angular doble, parèntesi angular doble d’obertura
》 parèntesi, parèntesi angular doble, parèntesi angular doble de tancament
「 parèntesi, semiclaudàtor, semiclaudàtor alt esquerre
」 parèntesi, semiclaudàtor, semiclaudàtor baix dret
『 claudàtor, semiclaudàtor buit, semiclaudàtor buit d’obertura
』 claudàtor, semiclaudàtor buit, semiclaudàtor buit de tancament
【 claudàtor, claudàtor de lent, claudàtor de lent negre d’obertura, claudàtor lenticular
】 claudàtor, claudàtor de lent, claudàtor lenticular, semiclaudàtor de lent negre de tancament
〔 claudàtor, claudàtor de tortuga, claudàtor de tortuga d’obertura
〕 claudàtor, claudàtor de tortuga, claudàtor de tortuga de tancament
〖 claudàtor, claudàtor de lent buit, claudàtor de lent buit d’obertura, claudàtor lenticular buit
〗 claudàtor, claudàtor de lent buit, claudàtor de lent buit de tancament, claudàtor lenticular buit
§ paràgraf, part, secció
¶ antígraf, calderó, marca de paràgraf, paràgraf, peu de mosca
@ a cuada, a encerclada, arrova, ensaïmada, rova
* asterisc, comodí, estrella
/ barra inclinada, barra obliqua, contrabarra
\ barra inversa, barra obliqua inversa
& et, i, i comercial
# coixinet, lliura, número, quadradet, xifra
% percentatge, tant per cent
‰ per mil
† diesi, obelisc, obelos, signe d’obelisc
‡ diesi, dos, obelisc, obelos, signe d’obelisc de dos braços
• pic, punt, punt de llista
‧ guió, punt, punt de guió
′ prima
″ doble prima, prima
‴ prima, triple prima
‸ circumflex
※ marca de referència
⁂ asterisme
` accent, greu, to
´ accent, agut, to
^ accent, angle, barret, circumflex, control, punter
¨ dièresi
° grau, hora, prova
℗ copyright, enregistrament, enregistrament de so amb copyright, so
← esquerra, fletxa, fletxa que apunta cap a l’esquerra
↚ fletxa cap a l’esquerra amb traç
→ dreta, fletxa, fletxa que apunta cap a la dreta
↛ fletxa cap a la dreta amb barra inclinada
↑ amunt, fletxa, fletxa que apunta cap amunt
↓ avall, fletxa, fletxa que apunta cap avall
↜ fletxa ondulada cap a l’esquerra
↝ fletxa ondulada cap a la dreta
↞ fletxa cap a l’esquerra amb dues puntes
↟ fletxa cap amunt amb dues puntes
↠ fletxa cap a la dreta amb dues puntes
↡ fletxa cap avall amb dues puntes
↢ fletxa cap a l’esquerra amb cua
↣ fletxa cap a la dreta amb cua
↤ fletxa des d’una barra cap a l’esquerra
↥ fletxa des d’una barra cap amunt
↦ fletxa des d’una barra cap a la dreta
↧ fletxa des d’una barra cap avall
↨ fletxa amunt i avall amb una base
↫ fletxa cap a l’esquerra amb bucle
↬ fletxa cap a la dreta amb bucle
↭ fletxa esquerra i dreta ondulada
↯ fletxa cap avall en zig-zag
↰ fletxa cap amunt amb punta cap a l’esquerra
⇅ amunt, avall, fletxa, fletxes que apunten cap amunt i cap avall
⇆ dreta, esquerra, fletxa, fletxa que apunta cap a l’esquerra sobre una fletxa que apunta cap a la dreta, fletxes cap a l’esquerra i la dreta
∆ increment, triangle
∇ nabla, triangle
∈ conjunt, conté, element, element de, pertany a
+ més, signe més, suma
± signe de més o menys
÷ dividir, divisió, divisor, signe de divisió
× multiplicació, multiplicador, multiplicar, signe de multiplicació
< etiqueta, inferior a, menor que, més petit que, obertura
= equival a, igual
≠ desigualtat, inequació, no és igual que
> etiqueta, major que, més gran que, superior a, tancament
¬ negació, no
