{ i-gullwing, ubakaki, ubakaki ogobile, ubakaki ovulekile
🏻 uhlobo 1–2, uhlobo lwesikhumba, uhlobo-1-2
🏼 uhlobo 3, uhlobo lwesikhumba, uhlobo-3
🏽 uhlobo 4, uhlobo lwesikhumba, uhlobo-4
🏾 uhlobo 5, uhlobo lwesikhumba, uhlobo-5
🏿 uhlobo 6, uhlobo lwesikhumba, uhlobo-6
‾ ngaphezu komugqa
_ dwebela, udeshi, udeshi ophansi, umugqa, umugqa ophansi, underdash
- i-hyphen, i-hyphen-minus, susa, udeshi
‐ i-hyphen, udeshi
– en, i-dash, i-en dash
— em, i-dash, i-em dash
― ibha, ibha evundlile, udeshi, ulayini
・ amachashazi, ichashazi lekatakana eliphakathi nendawo, katakana, middot, ukuxhumana
‽ i-interrobang
. ichashazi, isikhathi, ungqi
… amachashazi, i-ellipsis, okusalayo
。 i-ideographic, isikhathi, isikhathi se-ideographic, ungqi
· ichashaza, ichashaza eliphakathi nendawo, interpunct, middot, phakathi nendawo
' i-aphostrofi, i-aphostrofi yokuthayipha, isilinganiso, isilinganiso esisodwa
‘ i-aphostrof, i-aphostrofi yakwesokunxele, isilinganiso, isilinganiso esihlakaniphile, isilinganiso esisodwa
’ i-aphostrofi, i-aphostrofi yakwesokudla, isilinganiso, isilinganiso esihlakaniphile, isilinganiso esisodwa
‚ i-aphostrofi, isicaphuni, isilinganiso esiphansi, umphikisi wesokudla ophansi
“ isicaphuni, isilinganiso kabili, ukucaphuna, ukucaphuna okuhle, uphawu lwesicaphuni lwesobunxele
” isicaphuni, isicaphuni esiphindwe kabili, ukucaphuna, ukucaphuna okuhlakaniphile, uphawu lwesicaphuni lwesokudla
„ isicaphuni, isicaphuni esiphindwe kabili, ukucaphuna, ukucaphuna okuhlakaniphile, uphawu locaphuna oluphansi kwesokudla
« amabrakhethi, carets, chevron, i-angle, i-guillement ekwesobunxele, i-guillment ekwesobunxele, kwesobunxele, ukucaphuna
» amabrakhethi, carets, chevron, i-angle, i-guillement ekwesokudla, kwesokudla, ukucaphuna
) paren, parens, parenthesis, ubakaki, ubakaki oyindilinga, ubuzali obusondelene
[ ikhroshethi, ubakaki, ubakaki oyisikwele, ubakaki wesikwele ovulekile
] ikhroshethi, ubakaki, ubakaki oyisikwele, vala ubakaki oyisikwele
} i-gullwing, ubakaki, ubakaki ogobile, vala ubakaki ogobile
〈 abakaki abayidayimane, i-chevron, i-tuple, ubakaki, ubakaki ocijile, ubakaki oyi-engeli, vula ubakaki oyi-engeli
〉 abakaki abayidayimane, i-chevron, i-tuple, ubakaki, ubakaki ocijile, ubakaki oyi-engeli, vala ubakaki oyi-engeli
