🏻 amọ́lára, amọ́láwọ̀, irú 1–2
🏼 amọ́lára díẹ̀, amọ́láwọ̀, irú 3
🏽 amọ́láwọ̀, amọ́láwọ̀ díẹ̀, irú 4
🏾 adúláwọ̀ díẹ̀, amọ́láwọ̀, irú 5
🏿 adúláwọ̀, amọ́láwọ̀, irú 6
‾ apọju
‸ itọju
😀 fẹyín, ojú, Ojú tó rẹ́rìn
😃 ẹnu, ojú, Ojú tó rẹ́rìn Pẹ̀lú Ẹnu Lílà sílẹ̀, rẹ́rìń músẹ́, ṣí
😄 ẹnu, ẹyinjú, ojú, ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti ẹyinjú tó ń rkrìń músẹ́, rẹ́rìń músẹ́, ṣí
😁 ẹyinjú, fẹyín, ojú, Ojú tó fẹyín pẹ̀lú Ẹyinjú tó rẹ́rìn músẹ́, rẹ́rìn músẹ́
😆 ẹnu, ẹ̀rín, ìtẹ́larùn, ojú, ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù, rẹ́rìń músẹ́
😅 ojú, ojú tó ń rẹ́rìń pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn, òógùn, òtútù, rẹ́rìń músẹ́, ṣí
🤣 ilẹ̀, ojú, rẹ́rìń, yíyí, Yíyí ní ilẹ̀nlẹ̀ tún rẹ́rìn
😂 àyọ̀, ẹkún, ẹ̀rín, ojú, Ojú pẹ̀lú ẹkún ayọ̀
🙂 ojú, Oju Ti O N Rẹrin Muṣẹn, rẹ́rín músẹ́
🙃 dojú kodò, ojú, Oju Ti O Rọ walẹ
😉 ojú, Ojú tó ṣẹ́jù, ṣẹ́jú
😊 ẹyinjú, ojú, Ojú tó rẹ́rìn Músẹ́ Pẹ̀lú Ẹyinjú tó rẹ́rìn Músẹ́, rẹ́rìń ìtìjù, rẹ́rìń músẹ́
😇 àlá, àla fú ọmọdé, aláìṣẹ̀, àńgẹ́lì, báwo, ojú, Oju Ẹrin Ati Bawo, rẹ́rìn músẹ́
😍 ẹyinjú, ìfẹ́, ojú, Oju Ti O N Rẹrin Pẹlu awọn oju Ọkan, rẹ́rìn músẹ́
🤩 ẹyinjú, ìràwọ̀, ojú, Pípa pè̩lú ìràwọ̀, Rẹ́rìn-ín ìyàlé̩nu
😘 ìfẹnukonu, ojú, Oju Ti O N Fẹ Ifẹnuko
😗 ìfẹnukonu, ojú, Ojú tó Fẹnuko ẹnu
☺ ìgbafẹ́, ìlànà, ojú, ojú tó ń rẹ́rìń músẹ́, rẹ́rìń músẹ́
😚 ẹyinjú, ìfẹnukonu, ojú, Oju Ti O N Fẹnuko Pẹlu Awọn Oju didi, ti padé
😙 ẹyinjú, ìfẹnukonu, ojú, Ojú tó Fẹnuko ẹnu Pẹ̀lú Ẹyinjú tọ rẹ́rìn Músẹ́, rẹ́rìń músẹ́
😋 aládídùn, jíjẹ aládídùn, ojú, Oju Ti O N jẹ Ounjẹ Aladidun, rẹ́rìń músẹ́, um, yum
😛 ahọ́n, ojú, Oju Ti Ahọn Ti O Yọ Sita
😜 ahọ́n, ẹyinjú, ojú, ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tí ń ṣẹ́jú, ṣẹ́jú, yẹ̀yẹ́
🤪 kékeré, Nlá, ojú, Ojú aṣiwèrè
😝 ahọ́n, burújù, ẹyinjú, ìtọ́wò, ojú, ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tó padé
🤑 ẹnu, ojú, Oju Ẹnu owo, owó
🤗 fanimọ́ra, ojú, oju Ti O fanimọra
🤭 Ikó̩, Ojú tá fọwọ́ bo ẹnu
🤫 dákẹ́, Ojú tó sùpò̩, panu mọ́
🤐 ẹnu, ojú, Oju Ẹni Ti A Tipa, tìpa
🤨 àìgbàgbọ́, Ìrun ojú ta gbé sókè, Oníyèméjì
😐 àárín, àìpani lẹ́rìń, ojú, Ojú Ìbíìbí
😑 àìfanimọ́ra, àìlè sọ̀rọ̀, àìlèsọ̀rọ̀, ojú, Oju Ti Ko Fanimọra
😶 dáké, ẹnu, ojú, Ojú tí kò ní Ẹnu
😏 ojú, Oju Ẹrin Abosi, rẹ́rín àbòsí
😒 àìdunú, àìfanimọ́ra, ojú, Oju Aifanimọra
🙄 àwọn ẹyinjú, ojú, Ojú Pẹ̀lú Ẹyinjú tó yín, tó yín
🤥 irọ́, ojú, Oju Irọ, onímú gígùn
😔 ìpòruru, jákulẹ̀, ojú, Oju Ironu
🤤 adatọ, ojú, oju adatọ
😷 àárẹ̀, dókítà, ìbòjú, ògùn, ojú, Oju Pẹlu Iboju Iṣoogun, otútù
🤒 àárẹ̀, ìlera, ojú, oju pẹlu oṣuwọn igbona, òṣùwọ̀n ìgbóná
🤕 egbò, farapa, ìdì, ojú, Oju Pẹlu Ori ti a de Lọja
🤮 àìsàn, èébì, Èébì ajẹmọ́jú
🤠 adaran, fìlà, obìnrin ẹlẹ́ṣin, ojú, Oju Fila Adaran
😎 àwọn gílásì, àwọn gílásì òrùn, ẹyinjú, ìbojú, mọ́lẹ̀, ojú, Oju Ti O N Rẹrin Pẹlu Digi Oju, òrùn, rẹ́rìń músẹ́, tutù
🤓 ojú, Oju Ọmọwe Ti Ko Jafafa, ọ̀mọ̀wé, ọ̀mọ̀wé tí kò jáfáfá
🧐 Ojú tó súnkì, Sítọ́fì
🙁 fajúro, ojú, Oju Ifajuro Diẹ
😮 ẹnu, kẹ́dùn, ojú, Oju Pẹlu Ẹnu Lila, ṣí
😯 dákẹ́jẹ́, ìyàlẹ́nu, ojú, Oju Idakẹjẹ
😲 ìpaláyà, ìyàlẹ́nu, ojú, ojú ìyalẹnu, pátápátá
😳 ìdùnú, ojú, Oju Idunnu, yàlẹ́nu
😦 ẹnu, fajúro, ojú, Oju Ti o Faro Pẹlu Ẹnu lila silẹ, ṣí
😨 ìbẹ̀rù, ojú, Oju Ẹru
😰 búlù, ẹnu, ojú, ojú pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù, òógùn, sáré, ṣí, tútù
😥 hmmm, ìjákulẹ̀, ìtura, ojú, Oju Ijakulẹ Ṣugbọn Itura
😢 ẹkún, ìbànújẹ, ojú, Oju Ẹkun
😭 ẹkún, ìbànújẹ, ojú, Oju Ti n Sunkun Gidi, sunkún
😱 bẹ̀rù, han, ìbẹ̀rù, jẹ, ojú, Oju Fifi Ẹru han an
😞 ìjakulẹ, ojú, ojú ìjakulẹ̀
😓 ojú, Oju Pẹlu Ilaagun Tutu, òógùn, òtútù
😩 ojú, Oju Ti o Rẹ̀, rírẹ̀
😫 ojú, Oju Rirẹ, rírẹ̀
😤 ìjagunmólú, ojú, Oju Pẹlu Ikun Nimu, yege
🤬 Àmì ojú tó rékọjá ẹnu, bíbúra
😈 àlá, ìtàn ọmọdé, ìwo, ojú, Oju Ẹrin Pẹlu Awọn Iho, rẹ́rìn músẹ́
👿 àlá, èṣù, ẹṣù, imp, ìtàn ọmọdé, ojú, Oju Ibinu Pẹlu Iho
💀 abàmì, ikú, Ipakọ, ìtán ọmọdé, ojú
