🏻 ithoni yesikhumba, ithoni yesikhumba esikhanyayo, uhlobo 1–2
🏼 ithoni yesikhumba, ithoni yesikhumba esikhanyayo phakathi, uhlobo 3
🏽 ithoni yesikhumba, ithoni yesikhumba esiphakathi, uhlobo 4
🏾 ithoni yesikhumba, ithoni yesikhumba esiphakathi mnyama, uhlobo 5
🏿 ithoni yesikhumba, ithoni yesikhumba emnyama, uhlobo 6
😀 hleka, ubuso, ubuso obuhlekayo
😃 ubuso, ubuso obuncumileyo obunomlomo ovulekileyo, umlomo, uncumo, vulekileyo
😄 iliso, ubuso obuncumileyo obunomlomo ovulekileyo namehlo ancumileyo, umlomo, uncumo, vulekileyo
😁 hleka, iliso, ncuma, ubuso, ubuso obuhlekayo obunamehlo ancumileyo
😆 eyanelisekileyo, hleka, ubuso, ubuso obuncumileyo obunomlomo ovulekileyo namehlo avalekileyo, umlomo, uncumo, vulekileyo
😅 ebandayo, ubuso, ubuso obuncumileyo obunomlomo ovulekileyo nombilo obandayo, umbilo, uncumo, vulekileyo
🤣 hleka, ubuso, ukugigitheka phantsi, ukuqengqeleka, umgangatho
😂 hleka, iinyembezi, ubuso, ubuso obuneenyembezi zovuyo, uvuyo
🙂 ncuma, ubuso, ubuso obuncumileyo kancinane
🙃 ubuso, ubuso obuphethukileyo, ukuphethuka
😉 qoba iliso, ubuso, ubuso obuqoba iliso
😊 iintloni, iliso, ubuso, ubuso obuncumileyo obunamehlo ancumileyo, uncumo
😇 i-halo, ingelosi, intsomi, msulwa, ubuso, ubuso obuncumileyo obunesangqa entloko, uncumo
😍 iliso, ubuso, ubuso obuncumileyo obunamehlo anentliziyo, uncumo, uthando
🤩 amehlo, inkwenkwzi, ubuso, ukothuka, uncumo
😘 ncamisa, ubuso, ubuso obuvuthela umncamiso
😗 ncamisa, ubuso, ubuso obuphuzayo
☺ ibalaseliswe umphandle, ncuma, ubuso, ubuso obuncumileyo, uphumle
😚 ilisi, ncamisa, ubuso, ubuso obuphuzayo obuvale amehlo, valiweyo
😙 iliso, ncamisa, ubuso, ubuso obuphuzayo obunamehlo ancumileyo, uncumo
😋 emnandi, ubuso, ubuso obunandipha ukutya okumnandi, ukunandipha, um, uncumo
😛 ubuso, ubuso obunyonyoza ulwimi, ulwimi
😜 hlekisa, iliso, qwabaza, ubuso, ubuso obunyonyoza ulwimi nobuqwabaza iliso, ulwimi
🤪 encinane, enkulu, iliso, ubuso obugulayo
😝 embi, iliso, incasa, ubuso, ubuso obunyonyoza ulwimi namehlo acimeleyo, ulwimi
🤑 imali, ubuso, ubuso obunemali emlonyeni, umlomo
🤗 mange, ubuso, ubuso obangayo, ukwanga
🤭 ubuso obubekwe isandla emlonyeni, whoops
🤫 cwaka, thula, ubuso obuthulisayo
🤔 ubuso, ubuso obucingayo, ukucinga
🤐 ubuso, ubuso obuvalwe umlomo ngoziphu, umlomo, uziphu
🤨 intandabuzo, ubuso obuneentshiya ezinyusiweyo, ukungathembi
😐 ipani elinzulu, nyutrali, ubuso, ubuso obunyutrali
😑 engena mvakalelo, obungena mvakalelo, obungenamvakalelo, ubuso, ubuso obungena mvakalelo
😶 cwaka, thuleyo, ubuso, ubuso obungenamlomo, umlomo
😏 ubuso, ubuso obusinekileyo, ukusineka
😒 engahlekiyo, ubuso, ubuso obungahlekiyo, ukungonwabi
🙄 amehlo, ubuso, ubuso obunamehlo ajikelezayo, ukujikeleza
😬 ubuso, ubuso obujamileyo, ukujama
🤥 u-pinocchio, ubuso, ubuso obuxokayo, xoka
😌 ubuso, ubuso obuqabukileyo, ukuqabuka
😔 ubuso, ubuso obucamngcayo, ukucamngca, ukukhedama
😪 lala, ubuso, ubuso obozelayo
🤤 ubuso, ubuso obuvuz’ uluchwe, uvuz’ uluchwe
😴 lala, ubuso, ubuso obuleleyo, zzz
😷 amayeza, isigqubuthelo, ubuso, ubuso obunesigqubuthelo sonyango, ugqirha, ukubanda, ukugula
🤒 i-thermometer, ubuso, ubuso obune-thermometer, ukugula
🤕 ibhandeji, ubuhlungu, ubuso, ubuso obunebhandeji elisentloko, umonzakalo
🤢 obunyanyileyo, ubuso, ubuso obonyanyileyo, umgabho
🤮 ubuso obugabhayo, ukugabha, ukugula
🤧 u-gesundheit, ubuso, ubuso obuthimlayo, ukuthimla
😵 isiyezi, ubuso, ubuso obunesiyezi
🤯 intloko edubulayo, wothukile
🤠 i-cowboy, i-cowgirl, ubuso, ubuso bomnqwazi we-cowboy, umnqwazi
😎 ekhanyayo, entle, iiglasi, iindondo, ilanga, iliso, ubuso, ubuso obuncumileyo obuneendondo
🤓 inkcuba-buchopho, ubuso, ubuso benkcuba-buchopho, ungqondongqondo
🧐 ubuso obune-monocle, ukuxinana
😕 ubuso, ubuso obuxakiweyo, xakiweyo
😟 ubuso, ubuso obuxhalabileyo, xhalabile
🙁 ubuso, ubuso obujayileyo kancinane, ukufinga iintshiya
☹ ubuso, ubuso obufinge iintshiya, ukufinga iintshiya
😮 ubuso, ubuso obunomlomo ovulekileyo, umlomo, uvelwano, vulekileyo
😯 thuleyo, ubuso, ubuso obuthuleyo, ukothuka, wothukile
😲 manga, ngokupheleleyo, ubuso, ubuso obuthe manga, ukothuka
😳 iintloni, ubuso, ubuso obuneentloni, ukuncithekisa
😦 finga iintshiya, ivulekile, ubuso, ubuso obufinge iintshiya obuvule umlomo, umlomo
😧 ubuso, ubuso obulusizi, usizi
😨 iyoyikeka, ubuso, ubuso oboyikayo, ukoyika, uloyiko
😰 balekisa, ivulekile, luhlaza, ubuso, ubuso obunomlomo ovulekileyo nombilo obandayo, ukubanda, umbilo, umlomo
😥 danileyo, eshee, ubuso, ubuso obudanileyo kodwa obuqabukileyo, ukuqabuka
😢 dakumba, iinyembezi, lila, ubuso, ubuso obulilayo
😭 befunyeka, dakumba, iinyembezi, lila, ubuso, ubuso obulilayo ngokuvakalayo
😱 fukutha, tswina, ubuso, ubuso obutswinayo luloyiko, ukoyika, ukoyikeka, uloyiko
😖 obubhidekileyo, ubuso
😣 nyamezela, ubuso, ubuso bokunyamezela
😞 phoxekile, ubuso, ubuso obuphoxekileyo
😓 ubuso, ubuso obunombilo obandayo, ukubanda, umbilo
😩 ubuso, ubuso obudiniweyo kakhulu, ukudinwa, ukudinwa kakhulu
😫 ubuso, ubuso obudiniweyo, ukudinwa
😤 phumeleleyo, ubuso, ubuso obunomphunga ophuma empumlweni, uloyiso
😡 bomvu, tsolisa umlomo, ubuso, ubuso obutsolise umlomo, ukubhabhama, ukucaphuka, umsindo
😠 ingqumbo, ubuso, ubuso obunomsindo, umsindo
🤬 ubuso uboneesimboli emlonyeni, ukuthuka
😈 iimpondo, iingcinga, intsomi, ubuso, ubuso obuncumileyo obuneempondo, uncumo
👿 idemoni, iingcinga, intsomi, ubuso, ubuso obunomsindo obuneempondo, umtyholi, usathanyana
💀 intsomi, irhamncwa eloyikekayo, ubuso, ukakayi, ukufa
☠ amathambo anqamlezileyo, irhamncwa eloyikekayo, ubuso, ukakayi, ukakayi namathambo anqamlezileyo, ukufa
💩 ehlekisayo, ilindle, imfumba yelindle, irhamncwa eloyikekayo, ubuso, ulongwe
🤡 ubuso, ubuso bomhlekisi, umhlekisi
👹 iingcinga, intsomi, irhamncwa eloyikekayo, isidalwa, izim, ubuso
👺 iingcinga, intsomi, irhamncwa eloyikekayo, isidalwa, ubuso, uthikoloshe
👻 iingcinga, intsomi, irhamncwa eloyikekayo, isidalwa, isiporho, ubuso
👽 engaqhelekanga, eyeyasehlabathini, i-ufo, iingcinga, intsomi, irhamncwa eloyikekayo, isidalwa, ubuso
👾 engaqhelekanga, eyeyasehlabathini, i-ufo, iingcinga, intsomi, irhamncwa elingaqhelekanga, irhamncwa eloyikekayo, isidalwa, ubuso
🤖 irhamncwa, irobhothi, ubuso, ubuso berobhothi
😺 ikati, ivulekile, ubuso, ubuso bekati encumileyo enamehlo anentliziyo, umlomo, uncumo
😸 hleka, ikati, iliso, ubuso, ubuso bekati obuhlekayo obunamehlo ancumileyo, uncumo
😹 iinyembezi, ikati, ubuso, ubuso bekati obuneenyembezi, uvuyo
😻 ikati, iliso, ubuso, ubuso obuncumileyo bekati obunamehlo anentliziyo, uncumo, uthando
😼 goso, ikati, impoxo, ubuso, ubuso bekati obunoncumo olugoso, uncumo
😽 ikati, iliso, ncamisa, ubuso, ubuso bekati encamisayo evale amehlo
🙀 ikati, o, ubuso, ubuso bekati ediniweyo, ukothuka, ukudinwa kakhulu
😿 iinyembezi, ikati, lila, ubuso, ubuso bekati elilayo, ukudakumba
😾 ikati, ubuso, ubuso bekati etsolise umlomo, ukutsolisa umlomo
🙈 bona, ethintelweyo, eyalelweyo, hayi, inkawu, inkawu evale amehlo, nakanye, ububi, ubuso
🙉 ethintelweyo, eyalelweyo, hayi, inkawu, inkawu evale iindlebe, nakanye, phulaphula, ubusi, ubuso, umjekulo
🙊 ethintelweyo, eyalelweyo, hayi, inkawu, inkawu evale umlomo, nakanye, thetha, ubusi, ubuso, umjekulo
💋 iinyheke, phuza, uphawu lokuphuza
💌 ileta, ileta yothando, intliziyo, iposi, uthando
💘 intliziyo enotolo, u-cupid, utolo
💝 i-valentine, intliziyo eneribhoni, iribhoni
💖 imincili, intliziyo ekhazimlayo, khazimla
💗 imincili, intliziyo ekhulayo, ukhulayo, ukubetha kwentliziyo, ukuphakuzela
💓 intliziyo ebethayo, ukubetha, ukubetha kwentliziyo
💞 ejikelezayo, iintliziyo ejikelezayo
💕 iintliziyo ezimbini, uthando
💟 intliziyo, umhombiso wentliziyo
❣ isikhuzo, isikhuzo sentliziyo enzima, isiphumlisi, uphawu
💔 aphula, intliziyo eyaphukileyo, yaphukile
❤ intliziyo, intliziyo ebomvu
🧡 intliziyo eorenji, orenji
💛 intliziyo emthubi, mthubi
💚 intliziyo eluhlaza, luhlaza
💙 bhlowu, intliziyo ebhlowu
💜 intliziyo emfusa, mfusa
🖤 ekhohlakeleyo, emnyama, intliziyo emnyama, ububi
💯 100, amanqaku alikhulu, igcwele, ikhulu, inqaku
💢 hlekisa, isimboli yomsindo, ukucaphuka, umsindo
💥 hlekisa, ukungqubana, uqhushumbo
💫 hlekisa, inkwenkwezi, isiyezi
💦 amathontsi ombilo, hlekisa, ukutshiza, umbilo
💨 baleka, hlekisa, ukubaleka
🕳 umngxuma
💣 hlekisa, ibhombu
💬 hlekisa, ibhaloni yentetho, ibhaluni, incoko, intetho, iqhamza
