{ llave de apertura
🏻 piel, tipo 1, tipo 2, tono, tono de piel, tono de piel claro
🏼 piel, tipo 3, tono, tono de piel, tono de piel claro medio
🏽 piel, tipo 4, tono, tono de piel, tono de piel medio
🏾 piel, tipo 5, tono, tono de piel, tono de piel oscuro medio
🏿 piel, tipo 6, tono, tono de piel, tono de piel oscuro
‾ vinculum
_ línea baja
- guión-menos
‐ guion
– guión, guión corto
— guión, guión largo
― barra horizontal
・ punto medio japonés
, coma
، árabe, coma
、 coma, ideográfica
; punto y coma
؛ árabe, punto y coma, punto y coma árabe
: dos puntos
! signo exclamación
¡ signo exclamación invertida
? signo interrogación
¿ signo interrogación invertida
؟ signo de interrogación árabe
‽ exclarrogativo
. punto
… elipsis
。 punto ideográfico
· interpunto, medio, punto
' comilla mecanográfica
‘ comilla izquierda
’ comilla derecha
‚ comilla derecha baja
“ comilla doble izquierda
” comilla doble derecha
„ comilla doble baja derecha
« apertura, comillas angulares, comillas de apertura, comillas españolas, comillas francesas, diple de apertura
» cierre, comillas angulares, comillas de cierre, comillas españolas, comillas francesas, diple de cierre
) paréntesis de cierre
[ corchete de apertura
] corchete de cierre
} llave de cierre
〈 comilla angular de apertura
〉 comilla angular de cierre
《 comilla angular doble de apertura
》 comilla angular doble de cierre
「 esquina Quine de apertura
」 esquina Quine de cierre
『 esquina Quine de apertura blanca
』 esquina Quine de cierre blanca
【 corchete lenticular de apertura negro
】 corchete lenticular de cierre negro
〔 corchete de apertura caparazón de tortuga
〕 corchete de cierre caparazón de tortuga
〖 corchete lenticular de apertura blanco
〗 corchete lenticular de cierre blanco
§ párrafo, parte, sección
¶ signo de párrafo
@ @, arroba, correo, Internet, símbolo
* asterisco
/ diagonal
\ diagonal inversa
& ampersand, and, et, y
# signo número
% por cien, por ciento, porcentaje, tanto por ciento
‰ por mil, tanto por mil
† daga, obelisco, obelo, signo obelisco
‡ daga, doble, obelisco, obelo, signo doble obelisco
• punto, viñeta
‧ guión de unión
′ prima
″ doble prima
‴ triple prima
‸ caret
※ signo de referencia
⁂ asterismo
` acento, grave, tono
´ acento, agudo, tono
^ acento circunflexo
¨ diéresis
° grado, o volada, o voladita
℗ copyright, copyright de grabación de sonido, grabación, sonido
← flecha, flecha apuntando hacia la izquierda, izquierda
↚ flecha izquierda y diagonal
→ derecha, flecha, flecha apuntado hacia la derecha, flecha apuntando hacia la derecha
↛ flecha derecha y diagonal
↑ arriba, flecha, flecha apuntando hacia arriba
↓ abajo, flecha, flecha apuntando hacia abajo
↜ flecha izquierda ondulada
↝ flecha derecha ondulada
↞ flecha doble izquierda
↟ flecha doble hacia arriba
↠ felcha derecha doble
↡ flecha doble hacia abajo
↢ flecha izquierda con cola
↣ flecha derecha con cola
↤ flecha izquierda desde barra vertical
↥ flecha hacia arriba desde barra vertical
↦ flecha derecha desde barra vertical
↧ flecha hacia abajo desde barra vertical
↨ flecha hacia arriba y abajo con base
↫ flecha izquierda con bucle
↬ flecha derecha con bucle
↭ flecha ondulada hacia izquierda y derecha
↯ flecha hacia abajo en zigzag
↰ flecha hacia arriba con punta a la izquierda
↱ flecha hacia arriba con punta a la derecha
↲ flecha hacia abajo con punta a la izquierda
↳ flecha hacia abajo con punta a la derecha
⇅ abajo, arriba, flecha, flecha doble hacia arriba y abajo
⇆ derecha, flecha, flecha doble hacia la izquierda y derecha, izquierda
∆ incremento, triángulo
∇ nabla, triángulo
∈ conjunto, contiene, elemento, elemento de, miembro
+ más, signo más, suma, sumar
± mas, menos, signo, signo más/menos
÷ dividir, división, lemnisco, óbelo, signo, signo de división
× multiplicación, multiplicar, signo de multiplicación
< menor que
= igual, igual a
≠ diferente
> mayor que
¬ negación, no
| línea vertical
~ tilde de la eñe, virgulilla
− menos, resta, restar, signo menos
⁻ menos, menos en superíndice, superíndice
√ base, cuadrada, radical, raíz, sordo
∞ infinito, signo de infinito
∩ conjunto, intersección
∪ colección, conjunto, unión
≈ aproximación, aproximado, casi igual, casi igual a
≡ equivalente, equivalente a, exacto, idéntico
≤ menor o igual a
≥ mayor o igual a
⊂ conjunto, subconjunto, subconjunto de
▲ arriba, flecha, hacia arriba, relleno, triángulo, triángulo relleno apuntando hacia arriba
▼ abajo, flecha, hacia abajo, relleno, triángulo, triángulo relleno apuntando hacia abajo
◊ diamante, rombo
○ anillo, círculo, círculo vacío
● círculo, círculo relleno
◯ anillo, círculo, círculo vacío grande
♪ corchea, música, nota
♭ bemol, música, nota
♯ diesis, música, nota, sostenido
😀 cara, cara sonriendo, contento, divertido, sonrisa
😃 boca abierta, cara, cara sonriendo con ojos grandes, divertido, risa, sonrisa, sonrisa con boca abierta
😄 boca abierta, cara sonriendo con ojos sonrientes, divertido, risa, sonrisa
😁 cara, cara radiante con ojos sonrientes, divertido, ojo, sonrisa
😆 boca abierta, cara, cara sonriendo con los ojos cerrados, sonrisa con boca abierta y ojos cerrados
😅 boca abierta, cara, cara sonriendo con sudor frío, sonrisa, sonrisa boca abierta, sonrisa y sudor frío, sudor frío
🤣 cara, cara llorando de risa, carcajada, risa, sonrisa
😂 cara llorando de felicidad
🙂 cara, cara sonriendo levemente, cara sonriendo ligeramente, leve sonrisa, sonrisa
🙃 cara, cara al revés, revés
😉 cara, cara guiñando el ojo, guiño
😊 cara, cara feliz con ojos sonrientes, ojos sonrientes, sonrisa
😇 cara sonriendo con aureola
🥰 adoración, cara sonriente con 3 corazones, cara sonriente con 4 corazones, enamoramiento, flechazo
😍 cara sonriendo con ojos de corazón
🤩 cara, cara sonriendo con estrellas, estrellas, sonrisa
😘 cara lanzando un beso
😗 cara, cara dando un beso
☺ cara, relajado, sonriente, sonrisa
😚 beso, cara, cara besando con los ojos cerrados, cerrados, ojos
😙 cara besando con ojos sonrientes
🥲 agradecido, aliviado, cara sonriente con lágrima, emocionado, lágrima, orgulloso, sonriente
😋 broma, cara saboreando comida, delicioso, rico, sonriente
😛 broma, cara, cara sacando la lengua, divertido, lengua, sacar, sacar la lengua
😜 broma, cara, cara sacando la lengua y guiñando un ojo, divertido, guiño, lengua, sacar lengua y guiñar
🤪 cara de loco
😝 cara con ojos cerrados y sacando la lengua
🤑 cara, cara con lengua de dinero, dinero, lengua, pensando en dinero
🤗 abrazo, cara, cara con manos abrazando
🤭 cara con mano sobre la boca, ups, uy
🤫 callado, cara pidiendo silencio, silencio
🤔 cara, cara pensante, cara pensativa, duda, pensar
🤐 boca, cara, cara con la boca cerrada con cierre, cara con la boca cerrada con cremallera, zipper
🤨 cara con ceja alzada, desconfiado, escéptico
😐 cara, indiferente, neutral, neutro
😑 cara sin expresión
😶 boca, callado, cara, cara sin boca, silencio
😶‍🌫 cara en las nubes
😏 cara sonriendo con superioridad
😒 aburrido, cara, cara de desaprobación, enojado
🙄 cara, cara con ojos en blanco, ojos, volteando, voltear los ojos
😬 cara, cara haciendo una mueca
😮‍💨 cara, cara exhalando, exhalar, resoplido, respirar, silbato, silbido
🤥 cara, cara de mentiroso, mentira, nariz, pinocho
😌 aliviado, alivio, cara, cara de alivio
😔 cara, cara desanimada, cara pensativa, deprimido, pensativo, triste
😪 cara, cara de sueño, gota, sueño
🤤 baba, cara, cara babeando
😴 cara, cara durmiendo, dormir, sueño
😷 cara, cara con mascarilla médica, doctor, enfermo, mascarilla
🤒 cara, cara con termómetro, enfermo, malo, termómetro
🤕 cara, cara con la cabeza vendada, dolor, herido, vendas
🤢 cara, cara de náuseas, náuseas, vómito
🤮 cara vomitando, enfermo, malo, vomitar
🤧 cara, cara estornudando, estornudar, estornudo, resfrío
🥵 cara de calor
🥶 cara azul, cara de frío, congelamiento, frío, helado, tempano
🥴 cara de mareo
😵 cara, cara noqueada, muerto, noqueado
😵‍💫 alucinado, cara con ojos de espiral, desmayado, hipnotizado, locura, mareado, problema
🤯 cabeza, cabeza explotando, explosión
🤠 cara, cara con sombrero de vaquero, sombrero, vaquera, vaquero
🥳 cara de fiesta
🥸 anteojos, cara, cara disfrazada, disfraz, incognito, nariz
😎 cara sonriendo con lentes de sol
🤓 anteojos, cara, cara de nerd, geek, nerd
🧐 aristocrático, cara con monóculo, estirado
😕 cara, cara de confusión, confundido, confusión, triste
😟 cara, cara de preocupación, preocupado
🙁 cara, cara con el ceño ligeramente fruncido, triste
☹ cara, cara con el ceño fruncido, triste
😮 cara con boca abierta, cara con la boca abierta, empatía, sorpresa
😯 cara, cara estupefacta, sorprendido, sorpresa
😲 asombro, cara, cara asombrada, horrorizado, sorprendido
😳 avergonzado, cara sonrojada, sonrojado, sorprendido, sorpresa, vergüenza
🥺 cara de por favor, cara de súplica, implorar, ojos adorables, piedad, por favor
😦 abierta, boca, cara, cara con el ceño fruncido y la boca abierta
😧 cara angustiada
😨 cara, cara de miedo, horror, miedo, temor, terror
😰 cara con ansiedad y sudor
😥 cara triste pero aliviada
😢 cara llorando, llanto, llorar, triste, tristeza
😭 cara, cara llorando fuerte, lágrimas, llorar
😱 cara gritando de miedo, grito, horror, miedo, terror
😖 cara, cara de frustración, enojo, frustración, tristeza
😣 cara perseverante
😞 cara, cara decepcionada, decepción, decepcionado
😓 cara, cara con sudor frío, frío, sudor
😩 cara agotada
😫 cara cansada
🥱 aburrido, bostezo, cansado, cara de bostezo, dormido, sueño
😤 cara resoplando
😡 cara, cara de odio, enojado, enojo, ira, odio, rojo
😠 cara, cara enfadada, enojado, enojo
🤬 cara con boca censurada, cara con símbolos en la boca, maldecir, palabrota
😈 cara malvada sonriendo con cuernos
👿 cara malvada enfadada con cuernos
💀 calavera
☠ calavera, calavera y huesos cruzados, cara, huesos cruzados, monstruo, muerte
💩 caca con ojos, cara, estiércol, monstruo, montaña de caca
🤡 cara, cara de payaso, payaso
👹 demonio japonés oni, fantasía, japonés, ogro, oni
👺 cara, cuento, demonio, japonés, tengu
👻 cuento, fantasía, fantasma, monstruo
👽 alien, cara, cuento, espacial, espacio, extraterrestre, fantasía, OVNI
👾 alien, espacial, espacio, extraterrestre, fantasía, monstruo, OVNI
🤖 cara, cara de robot, monstruo
😺 abierta, boca, cara, gato, gato sonriente
😸 cara, gato, gato sonriendo con ojos sonrientes, sonriente, sonrisa
😹 alegría, cara, gato, gato llorando de risa, lágrimas, llorando
😻 amor, cara, corazones, gato, gato sonriente con corazones
😼 cara, gato, irónico, sarcástico, sonrisa
😽 beso, cara, cerrados, gato, gato mandando un beso, ojos
🙀 asustado, cara, gato, oh, sorpresa
😿 cara, gato, lágrima, llorando, triste
😾 cara, cara de gato enfadado, gato
🙈 cara, mono, mono con ojos tapados, no, ojos, tapados, ver
🙉 cara, mono, mono con orejas tapadas, no, oír, orejas, tapadas
🙊 callado, cara, hablar, mono, mono con boca tapada, secreto, silencio
💋 beso, labios, marca de beso, romance
💌 carta, carta de amor, corazón, romance, sobre con corazón
💘 amor, corazón, corazón con flecha, emoción, flecha
💝 amor, corazón, corazón con moño, emoción, moño
💖 amor, brillante, corazón brillante, emoción
💗 amor, corazón, corazón que crece, emoción, entusiasmado, nervioso
💓 amor, corazón, corazón que palpita, emoción, latidos, palpitar
💞 amor, corazón, corazones que giran, emoción, girar, vueltas
💕 amor, corazón, dos corazones, enamorado
💟 corazón, corazón de decoración
❣ corazón, exclamación, exclamación con forma de corazón
💔 corazón, mal, roto, sufrir, triste
❤‍🔥 amor, corazón, corazón en llamas, fuego, llamas, lujuria, pasión
❤‍🩹 bien, corazón curándose, cura, mejor, mejora, recuperación, salud
❤ corazón, corazón rojo
🧡 anaranjado, corazón anaranjado
💛 amarillo, corazón amarillo
💚 corazón verde, verde
💙 azul, corazón azul
💜 corazón morado, morado
🤎 café, corazón café, marrón
🖤 corazón negro, malo, malvado, negro
🤍 blanco, corazón
💯 100, perfecto, puntaje, puntos, puntuación
💢 comic, enfado, enojado, símbolo de enfado
💥 choque, colisión, comic, explosión
💫 comic, estrella, mareado, símbolo de mareo
💦 comic, gotas de sudor, salpicar, sudor
💨 comic, correr, corriendo, escapar, salir corriendo
🕳 agujero, cómics, pozo
💣 bomba, comic
💬 burbuja, comic, diálogo, globo, globo de diágolo, globo de diálogo
👁‍🗨 ojo en un globo de texto
🗨 diálogo, globo de diálogo izquierdo
🗯 burbuja, enojado, enojo, globo, globo de enojo derecho
💭 burbuja, comic, globo, globo de pensamiento, pensamiento
💤 comic, dormir, símbolo de sueño, sueño, zzz
👋 agitar, mano, mano saludando, saludar, saludo
🤚 dorso de la mano, dorso de la mano levantada, dorso de la mano saludando, levantada
🖐 dedo, dedos, mano, mano abierta, separados
✋ mano, mano levantada
🖖 dedos, mano, saludo, spock, star, trek, vulcano
👌 gesto, mano, ok, señal de OK
🤌 dedos unidos
🤏 mano pellizcando, pellizco, poco, poquito
✌ amor y paz, mano con señal de victoria, tijera, victoria
🤞 dedos cruzados, mano, suerte
🤟 gesto de te quiero, mano, quiero
🤘 cuernos, dedos, mano haciendo los cuernos, rock, roll
🤙 gesto, llamada, mano, mano haciendo el gesto de llamar
👈 apuntar, dedo, dorso de mano con índice a la izquierda, índice, índice hacia la izquierda, izquierda, señalar
👉 apuntar, dedo, dorso, índice, índice hacia la derecha, mano apuntando índice a la derecha, mano con dedo índice hacia la derecha
👆 apuntar, arriba, dedo, dorso de mano con dedo índice hacia arriba, dorso de mano con índice hacia arriba, mano, mano con dedo índice hacia arriba
🖕 dedo, dorso de mano con dedo medio hacia arriba, insulto, mano, medio
👇 abajo, apuntar, dorso de mano con dedo índice hacia abajo, índice, mano, señalar
☝ apuntar, arriba, dedo índice hacia arriba, índice, señalar
👍 +1, arriba, mano, pulgar, pulgar hacia arriba
👎 -1, abajo, mano, pulgar, pulgar hacia abajo
✊ cerrada, mano, piedra, puño, puño levantado
👊 puñetazo, puño, puño cerrado
