{ කැරලි බන්ධනය, කැරලි වරහන, ගොල්වින්, වරහන, විවෘත වකුටු වරහන
🏻 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-1-2, ෆ්ට්ස්පැට්‍රික්
🏼 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-3, ෆ්ට්ස්පැට්‍රික්
🏽 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-4, ෆ්ට්ස්පැට්‍රික්
🏾 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-5, ෆ්ට්ස්පැට්‍රික්
🏿 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-6, ෆ්ට්ස්පැට්‍රික්
‾ උඩ ඉර, උඩින් ඉර, බන්ධන රේඛාව
_ අඩු ඉර, ඉර, පහත් රේඛාව, පේළිය, යටි ඉර, යටි ඉරි ගැසීම
- ඉර, සෘණ, හයිපන-සෘණ, හයිපනය
‐ ඉර, යටි ඉර
– ඉර, එන්
— ඉර, එම්
― ඉර, තිරස් තීරුව, තීරුව, රේඛාව
・ අන්තර්නැවතුම්, කටකනා, කටකනා මැද තිත, තිත්, මැද තිත
, කොමාව
، අරාබි, කොමාව
、 කොමාව, දෘෂ්ටි
; තිත් කොමාව, තිත්-කොමාව
؛ අරාබි, අරාබි තිත් කොමාව, තිත්-කොමාව
: දෙතිත
! විශ්මයාර්ථ, විශ්මයාර්ථ ලකුණ
¡ ප්‍රතිලෝම, ප්‍රතිලෝම විශ්මයාර්ථ ලකුණ, විශ්මයාර්ථ, විශ්මයාර්ථ ලකුණ
? ප්‍රශ්නය, ප්‍රශ්නාර්ථ ලකුණ
¿ ප්‍රතිලෝම, ප්‍රතිලෝම ප්රශ්නාර්ථ ලකුණ, ප්‍රශ්නය, ප්‍රශ්නාර්ථ ලකුණ
؟ අරාබි, අරාබි ප්‍රශ්නාර්ථ ලකුණ, ප්‍රශ්නය, ප්‍රශ්නාර්ථ ලකුණ
‽ ප්‍රශ්න කිරීමේ ලකුණ, ප්‍රශ්න කිරීමේ විශ්මයාර්ථ ලකුණ
. කාල පරිච්ඡේදය, තිත, නැවතීමේ ලකුණ
… තිත්, බැහැර කිරීම, ලෝපය
。 දෘෂ්ටි විද්‍යාත්මක නැවතීම, දෘෂ්ටිවාදී, නැවතුම, සම්පූර්ණ නැවතුම
· අන්තර් විරාමය, තිත, මැද
' උද්ධරණය, තනි උද්ධරණය, යතුරු ලියන සම්බෝධනය, සම්බෝධනය
