🤭 embarrassed, face with hand over mouth, oops, whoops
🤫 quiet, shush, shushing face
🥵 feverish, heat stroke, hot, hot face, red-faced, sweating
😱 face, face screaming in fear, fear, munch, scared, scream
😈 face, fairy tale, fantasy, horns, smile, smiling face with horns
🖖 finger, hand, spock, vulcan, vulcan salute
🤙 call, call-me hand, hand
👦 boy, young
👧 girl, Virgo, young, zodiac
🧑‍🔧 electrician, mechanic, plumber, tradesperson
👨‍💼 architect, business, man, man office worker, manager, white-collar
👩‍💼 architect, business, manager, white-collar, woman, woman office worker
👨‍🎤 actor, entertainer, man, rock, singer, star
👩‍🎤 actor, entertainer, rock, singer, star, woman
👨‍🎨 artist, man, palette
👩‍🎨 artist, palette, woman
👨‍🚒 fire engine, firefighter, fireman, man
👩‍🚒 fire engine, firefighter, firewoman, woman
🕵 detective, sleuth, spy
🕵‍♂ detective, man, sleuth, spy
🕵‍♀ detective, sleuth, spy, woman
🤵‍♂ man, man in tux, man in tuxedo, tuxedo
👰‍♀ veil, woman, woman with veil
🎅 celebration, Christmas, claus, father, Father Christmas, santa, Santa Claus
🤶 celebration, Christmas, claus, mother, Mrs, Mrs Claus
💇‍♂ haircut, man, man getting haircut
💇‍♀ haircut, woman, woman getting haircut
🧑‍🦯 accessibility, blind, person with guide cane
🧑‍🦼 accessibility, person in powered wheelchair, wheelchair
👨‍🦼 accessibility, man, man in powered wheelchair, wheelchair
👩‍🦼 accessibility, wheelchair, woman, woman in powered wheelchair
🧖‍♂ man in steamy room, sauna, steam room
🧖‍♀ sauna, steam room, woman in steamy room
🏌 ball, golf, person golfing
🏌‍♂ golf, man, man golfing
🏌‍♀ golf, woman, woman golfing
🏄 person surfing, surfing
🏄‍♂ man, surfing
🏄‍♀ surfing, woman
🚣 boat, rowboat, rowing boat
🏊 person swimming, swim
🏊‍♂ man, man swimming, swim
🏊‍♀ swim, woman, woman swimming
🚴 bicycle, biking, cyclist, person cycling
🚴‍♂ bicycle, biking, cyclist, man cycling
🚴‍♀ bicycle, biking, cyclist, woman cycling
🤹 balance, juggle, multi-task, multitask, person juggling, skill
🤹‍♂ juggling, man, multi-task, multitask
🤹‍♀ juggling, multi-task, multitask, woman
🛀 bath, bathtub, person taking bath
🛌 hotel, person in bed, sleep
🦌 deer
🦏 rhinoceros
🐭 face, mouse
🐁 mouse
🐀 rat
🐨 bear, koala
🦃 bird, turkey
🐔 bird, chicken
🦅 bird, eagle
🦉 bird, owl, wise
🐬 dolphin, flipper
🐠 fish, tropical
🐌 snail
🦋 butterfly, insect, pretty
🐛 bug, insect
🕷 insect, spider
🦟 disease, fever, malaria, mosquito, pest, virus
🪴 grow, house, nurturing, plant, potted plant
🍊 fruit, orange, tangerine
🌶 chilli, hot, pepper
🥖 baguette, bread, food, french, french stick
🥯 bagel, bakery, breakfast, schmear
🧇 breakfast, indecisive, iron, waffle
🍟 chips, french fries, fries
🥙 falafel, flatbread, food, gyro, kebab, stuffed
🥗 food, green, salad
🍤 fried, prawn, shrimp, tempura
🥟 dumpling, empanada, gyōza, jiaozi, pierogi, potsticker
