{ accolade, accolade ouvrante, accolades
🏻 peau, peau claire, type 1–2
🏼 peau, peau modérément claire, type 3
🏽 peau, peau légèrement mate, type 4
🏾 peau, peau modérément foncée, type 5
🏿 peau, peau foncée, type 6
_ ligne, tiret, tiret bas, trait de soulignement
- moins, tiret, trait d’union, trait d’union-moins
‐ tiret, trait d’union
– demi-cadratin, tiret
— cadratin, tiret
― barre, barre horizontale, ligne, tiret
・ katakana, point médian, point médian katakana, point milieu, points
, virgule
، arabe, virgule
、 idéographique, virgule
; point-virgule
؛ arabe, point-virgule
: deux-points
! exclamation, point d’exclamation
¡ exclamation, inversé, point d’exclamation, point d’exclamation inversé
? point d’interrogation, question
¿ inversé, point d’interrogation, point d’interrogation inversé, question
؟ arabe, point d’interrogation, point d’interrogation arabe, question
. point, point final
… ellipse, points de suspension, suspension
。 idéographique, point, point final
· médian, milieu, point
' apostrophe, apostrophe dactylographique, guillemet, guillemet simple
‘ apostrophe, apostrophe gauche, guillemet, guillemet simple, guillemet typographique
’ apostrophe, apostrophe droite, guillemet, guillemet simple, guillemet typographique
‚ apostrophe, apostrophe droite basse, guillemet, guillemet inférieur
“ guillemet, guillemet double, guillemet droit gauche, guillemets, guillemets doubles
” guillemet, guillemet double, guillemet droit droit, guillemets, guillemets typographiques
„ guillemet, guillemet double, guillemet droit bas, guillemets, guillemets bas, guillemets typographiques
« anti-lambda, chevron, citation, crochet oblique, crochets, gauche, guillemet gauche
» anti-lambda, chevron, citation, crochet oblique, crochets, droit, guillemet droit
) parenthèse, parenthèse fermante, parenthèses
[ crochet, crochet ouvrant, crochets
] crochet, crochet fermant, crochets
} accolade, accolade fermante, accolades
〈 chevron, chevron angulaire, chevron pointu, crochet, crochet oblique ouvrant, crochets obliques, tuple
〉 chevron, chevron angulaire, chevron pointu, crochet, crochet oblique fermant, crochets obliques, uplet
《 crochet, crochet en chevron, crochet en chevron double ouvrant
》 crochet, crochet en chevron double, crochet en chevron double fermant
「 anglet gauche ouvrant, crochet, crochet de partie entière
」 anglet fermant, crochet, crochet de partie entière
『 crochet, crochet de partie entière creux, crochet de partie entière ouvrant creux
』 crochet, crochet de partie entière creux, crochet de partie entière fermant creux
【 crochet, crochet lenticulaire, crochet lenticulaire ouvrant noir
】 crochet, crochet lenticulaire, crochet lenticulaire fermant noir
〔 crochet, crochet en écaille, crochet en écaille ouvrant
〕 crochet, crochet en écaille, crochet en écaille fermant
〖 crochet, crochet lenticulaire creux, crochet lenticulaire ouvrant creux
〗 crochet, crochet lenticulaire creux, crochet lenticulaire fermant creux
§ paragraphe, partie, section, symbole
¶ alinéa, paragraphe, paraphe, pied-de-mouche, symbole du paragraphe
@ a commercial, arobas, arobase, arroba, arrobe
* astérisque, caractère générique, étoile
/ barre de division, barre de fraction, barre oblique, trait oblique
\ barre oblique inverse, barre oblique inversée, oblique
& esperluette, et, perluète, perluette
# croisillon, dièse, lb, livre, numéro
% pour cent, pourcent
‰ par mille, pour mille
† dague, obèle, obélus
‡ dague, double, obèle, obélus
• point, puce
‧ emplacement de coupure de mots, point, tiret, union
′ prime
″ double prime, prime
‴ prime, triple prime
※ appel de note, marque de référence
` accent, grave
´ accent, aigu
^ accent, caret, chapeau, chevron, circonflexe, contrôle, puissance, symbole xor
¨ diérèse, tréma, umlaut
° degré, heure, preuve
℗ copyright, enregistrement, phonographique
← flèche, flèche vers la gauche, gauche
→ droite, flèche, flèche vers la droite
↑ flèche, flèche vers le haut, haut
↓ bas, flèche, flèche vers le bas
⇅ bas, flèche, flèches vers le haut et vers le bas, haut
⇆ droite, flèche, flèche gauche au-dessus de flèche droite, gauche
⇐ double flèche vers la gauche
⇑ double flèche vers le haut
⇒ double flèche vers la droite
⇓ double flèche vers le bas
⇔ double flèche gauche-droite
⇖ double flèche nord-ouest
⇗ double flèche nord-est
⇘ double flèche sud-est
⇙ double flèche sud-ouest
⇚ triple flèche vers la gauche
⇛ triple flèche vers la droite
⇜ flèche vers la gauche en tire-bouchon
⇝ flèche vers la droite en tire-bouchon
⇦ flèche creuse vers la gauche
⇧ flèche creuse vers le haut
⇨ flèche creuse vers la droite
⇩ flèche creuse vers le bas
∆ incrément, triangle
∇ nabla, triangle
∈ appartenance, contient, élément, élément de, ensemble
+ ajouter, plus, signe plus
± plus-moins
÷ diviser, division, obélus, signe de division
× fois, multiplication, multiplier, signe de multiplication
< chevron, chevron ouvrant, inférieur à
= égal, est égal
≠ inégalité, inéquation, pas égal
> chevron, chevron fermant, supérieur à
¬ négation, non
| barre, barre de sheffer, barre verticale, ligne, ligne verticale, trait
~ tilde
− moins, signe moins, soustraire
⁻ exposant, moins
√ base, carrée, nombre sourd, racine, radical
∞ infini, symbole de l’infini
∩ ensemble, intersection
∪ collection, ensemble, union
≅ approximativement égal à
≈ approximation, environ, presque égal
≌ égalité, mathématiques
≖ égalité, mathématiques
≡ exact, identique, identique à, triple
≣ strictement équivalent à
≤ égal, inégalité, inférieur à, plus petit ou égal
≥ égal, inégalité, plus grand ou égal, supérieur à
≦ inférieur à sur égal à
≧ supérieur à sur égal à
≪ très inférieur à
≫ très supérieur à
≬ entre
≳ inégalité, mathématiques
≺ précède
≻ suit
⊁ ne suit pas
⊂ ensemble, sous-ensemble, sous-ensemble de
⊃ sur-ensemble de
⊆ sous-ensemble égal à
⊇ sur-ensemble égal à
⊕ plus cerclé
⊖ moins cerclé
⊗ fois cerclé
▲ flèche, haut, plein, triangle, triangle plein vers le haut
▼ bas, flèche, plein, triangle, triangle plein vers le bas
◊ losange, rhombe
○ anneau, cercle, cercle vide
● cercle, cercle plein
◠ demi-cercle supérieur
◡ demi-cercle inférieur
◢ triangle rectangle inférieur droit plein
◣ triangle rectangle inférieur gauche plein
◤ triangle rectangle supérieur gauche plein
◥ triangle rectangle supérieur droit plein
◦ puce creuse
◯ anneau, cercle, grand cercle vide
◳ carré creux avec quadrant supérieur droit
◷ cercle creux avec quadrant supérieur droit
◿ triangle rectangle inférieur droit
♪ croche, musique, note
⨧ signe plus avec indice deux
⨯ produit vectoriel
⨼ produit intérieur
⩣ ou logique à deux barres souscrites
⩽ inférieur à ou égal à incliné
⪍ inférieur à sur similaire ou égal à
⪚ égal en deux lignes ou supérieur à
⪺ suit sur non presque égal à
♭ bémol, musique, note
♯ dièse, musique, note
😀 grand sourire, large sourire, visage, visage avec large sourire
😃 bouche ouverte, sourire, visage, visage souriant les yeux grands ouverts
😄 bouche ouverte, œil, sourire, visage, visage avec large sourire et yeux rieurs
😁 grand sourire, large sourire, œil, sourire, visage, visage radieux et yeux rieurs
😆 bouche ouverte, rire, satisfait, sourire, visage, visage avec large sourire, les yeux fermés
😅 froide, sourire, sueur, un visage en sueur avec large sourire, visage, visage en sueur avec large sourire
🤣 rire, rire à se rouler par terre, se rouler par terre, visage
😂 joie, larme, rire, visage, visage pleurant de joie
🙂 sourire, visage, visage avec un léger sourire
🙃 à l’envers, renversé, visage, visage à l’envers
😉 clin d’œil, visage, visage clignant d’un œil
😊 œil, rougir, sourire, visage, visage souriant les yeux plissés
😇 ange, auréole, innocent, visage, visage qui sourit avec une auréole
🥰 aimer, amour, amoureuse, amoureux, béguin, cœurs, visage souriant avec cœurs
😍 amour, œil, sourire, visage, visage souriant aux yeux en forme de cœur
🤩 étoile, grand sourire, large sourire, visage, visage aux yeux en forme d’étoiles, yeux
😘 baiser, visage, visage envoyant un baiser
😗 baiser, visage, visage donnant un baiser
☺ détendu, sourire, visage, visage souriant
😚 baiser, visage, visage faisant un baiser les yeux fermés, yeux fermés
😙 baiser, œil, sourire, visage, visage donnant un baiser avec les yeux plissés, visage faisant un baiser les yeux rieurs
🥲 ému, fier, larme, soulagé, souriant, touché, visage souriant avec larme
😋 délicieux, menoum, miam, savourant, sourire, visage
😛 langue, langue sortie, tire la langue, visage, visage qui tire la langue
😜 clin d’œil, langue, tire la langue, visage, visage qui tire la langue et fait un clin d’œil
🤪 amusant, farfelu, idiot, niaiseux, tête de fou, visage
😝 dégoût, horrible, langue, visage, visage qui tire la langue les yeux plissés, yeux plissés
🤑 argent, argent dans les yeux et la bouche, bouche, dollar, visage, yeux
