{ કૌંસ, ખુલ્લો છગડિયો કૌંસ, છગડિયો કૌંસ
🏻 આછો ત્વચાનો રંગ, ચામડીનો આછો રંગ, ત્વચાનો પ્રકાર-1-2, ત્વચાનો રંગ
🏼 ચામડીનો મધ્યમ આછો રંગ, ત્વચાનો પ્રકાર-3, ત્વચાનો રંગ, મધ્યમ આછો ત્વચાનો રંગ
🏽 ત્વચાનો પ્રકાર-4, ત્વચાનો રંગ, મધ્યમ ચામડીનો રંગ, મધ્યમ ત્વચાનો રંગ
🏾 ત્વચાનો પ્રકાર-5, ત્વચાનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ, મધ્યમ ઘેરો ત્વચાનો રંગ
🏿 ઘેરો ચામડીનો રંગ, ઘેરો ત્વચાનો રંગ, ત્વચાનો પ્રકાર-6, ત્વચાનો રંગ
_ અન્ડરલાઇન, નીચે લીટી, લાઇન, લીટી
- ડેશ, બાદબાકી, હાયફન, હાયફન-બાદબાકી
‐ ડેશ, હાયફન
– એન, ડેશ
— એમ, ડેશ
― આડી લીટી, ડેશ, લાઇન, લીટી
・ કટકાના, કટકાના મધ્ય બિંદુ, મધ્ય બિંદુ
, અલ્પવિરામ
، અરબી, અલ્પવિરામ
、 અલ્પવિરામ, વૈચારિક
; અર્ધ-વિરામ, અર્ધવિરામ
؛ અરબી, અરબી અર્ધવિરામ, અર્ધ-વિરામ
: મહાવિરામ
! આશ્ચર્ય, આશ્ચર્ય ચિહ્ન
¡ આશ્ચર્ય, આશ્ચર્ય ચિહ્ન, આશ્ચર્યની નિશાની, ઉલટું, ઉલટું આશ્ચર્ય ચિહ્ન
? પ્રશ્ન, પ્રશ્નાર્થ ચિહ્ન
¿ ઉલટું, ઉલટું પ્રશ્નાર્થ ચિહ્ન, પ્રશ્ન, પ્રશ્નાર્થ ચિહ્ન
؟ અરેબિક, અરેબિક પ્રશ્નાર્થ ચિહ્ન, પ્રશ્ન, પ્રશ્નાર્થ ચિહ્ન
. ટપકું, પૂર્ણવિરામ, બિંદુ
… અધ્યાહાર, પદલોપ, શબ્દ લોપ
。 પૂર્ણવિરામ, પ્રતીતાત્મક
· ઇન્ટરપન્ટ, ડોટ, વચ્ચે, વચ્ચેનો ડોટ
' અવતરણ, એપોસ્ટ્રૉફી, ક્વોટ, ટાઇપરાઇટર એપોસ્ટ્રૉફી, સિંગલ ક્વોટ
‘ અવતરણ, એપોસ્ટ્રૉફી, ડાબું એપોસ્ટ્રૉફી, સિંગલ ક્વોટ, સ્માર્ટ ક્વોટ
’ અવતરણ, એપોસ્ટ્રૉફી, જમણું એપોસ્ટ્રૉફી, સિંગલ ક્વોટ, સ્માર્ટ ક્વોટ
‚ અવતરણ, એપોસ્ટ્રૉફી, નીચલું અવતરણ ચિહ્ન, નીચલું જમણું એપોસ્ટ્રૉફી
“ અવતરણ, અવતરણ ચિહ્ન, ડબલ ક્વોટ, ડાબું અવતરણ ચિહ્ન, સ્માર્ટ ક્વોટેશન
” અવતરણ, અવતરણ ચિહ્ન, જમણું અવતરણ ચિહ્ન, ડબલ ક્વોટ, સ્માર્ટ ક્વોટેશન
„ અવતરણ, ડબલ અવતરણ ચિહ્ન, ડબલ ક્વોટ, નીચલું અવતરણ ચિહ્ન, નીચલું જમણું અવતરણ ચિહ્ન, સ્માર્ટ ક્વોટ
« કેરેટ, કોટ, કોણ, કૌંસ, ડાબું, ડાબું ગ્વીમે, શેવરોન
» કેરેટ, કોટ, કોણ, કૌંસ, જમણું, જમણું ગ્વીમે, શેવરોન
) કૌંસ, ગોળ કૌંસ, નાનો કૌંસ, પૂરો થતો કૌંસ
[ કૌંસ, ચોરસ કૌંસ, મોટો કૌંસ, શરૂ થતો મોટો કૌંસ
] કૌંસ, ચોરસ કૌંસ, પૂરો થતો મોટો કૌંસ, મોટો કૌંસ
} કૌંસ, છગડિયો કૌંસ, પૂરો થતો છગડિયો કૌંસ
〈 કોણ કૌંસ, કૌંસ, ખુલ્લો કોણ કૌંસ, ટપલ, ડાયમંડ કૌંસ, પોઇન્ટી કૌંસ, શેવરન
〉 કોણ કૌંસ, કૌંસ, ટપલ, ડાયમંડ કૌંસ, પૂરો થતો કોણ કૌંસ, પોઇન્ટી કૌંસ, શેવરન
《 કૌંસ, ખુલ્લો ડબલ એંગલ કૌંસ, ડબલ એંગલ કૌંસ
》 કૌંસ, ડબલ એંગલ કૌંસ, પૂરો થતો ડબલ એંગલ કૌંસ
「 કૌંસ, ખુલ્લા ખૂણા કૌંસ, ખૂણા કૌંસ
」 કૌંસ, ખૂણા કૌંસ, પૂરો થતો ખૂણા કૌંસ
『 કૌંસ, ખુલ્લો પોલો ખૂણો કૌંસ, પોલો ખૂણો કૌંસ
』 કૌંસ, પૂરો થતો પોલો ખૂણો કૌંસ, પોલો ખૂણો કૌંસ
【 કૌંસ, ખુલ્લો બ્લેક લેન્સ કૌંસ, લેન્ટિક્યુલર કૌંસ, લેન્સ કૌંસ
】 કૌંસ, પૂરો થતો બ્લેક લેન્સ કૌંસ, લેન્ટિક્યુલર કૌંસ, લેન્સ કૌંસ
〔 કાચબો શેલ કૌંસ, કૌંસ, ખુલ્લો કાચબો શેલ કૌંસ, શેલ કૌંસ
〕 કાચબો શેલ કૌંસ, કૌંસ, પૂરો થતો કાચબો શેલ કૌંસ, શેલ કૌંસ
〖 કૌંસ, ખુલ્લો પોલો લેન્સ કૌંસ, પોલો લેન્ટિક્યુલર કૌંસ, પોલો લેન્સ કૌંસ
〗 કૌંસ, પૂરો થતો પોલો લેન્સ કૌંસ, પોલો લેન્ટિક્યુલર કૌંસ, પોલો લેન્સ કૌંસ
§ ફકરો, ભાગ, સિલ્ક્રો, સેક્શન
¶ પેરેગ્રાફ, ફકરાનું ચિહ્ન, ફકરો
@ એટ ધ રેટ, એટની નિશાની, એટનું ચિહ્ન
* નિર્દેશક, ફૂદડી, વાઇલ્ડકાર્ડ, સ્ટાર
/ ઑબ્લીક, ત્રાંસી લીટી, સ્લેશ
\ ઉલટો સ્લેશ, બેકસ્લેશ
& અને, અનેની નિશાની, અનેનું ચિહ્ન, એમ્પર્સેન્ડ
# પાઉન્ડ, સંખ્યા, હેશ, હેશટેગ, હેશની નિશાની
% ટકા, ટકાવારી
‰ પ્રતિ સહસ્ત્ર, પ્રતિ હજાર, હજાર દીઠ
† ઓબેલસ, કટાર, કટાર ચિન્હ, સ્તંભ-ચિહ્ન
‡ ઓબેલસ, કટાર, બમણું, બમણું કટાર ચિન્હ, સ્તંભ-ચિહ્ન
• ડોટ, બુલેટ
‧ પોઇન્ટ, મધ્ય બિંદુ, હાઇફન, હાઇફનેશન પોઇન્ટ
′ પ્રાઇમ
″ ડબલ પ્રાઇમ, પ્રાઇમ
‴ ત્રિપલ પ્રાઇમ, પ્રાઇમ
※ સંદર્ભ ચિહ્ન
` ગંભીર, સૂર, સ્વર
´ તીવ્ર, સૂર, સ્વર
^ ઉચ્ચાર, કેરેટ, ઘાત, ટોપી, નિર્દેશક, ફાચર, વી આકારની પટ્ટી, શેવરન, સર્કમ્ફ્લૅક્સ, સર્કમ્ફ્લૅક્સ ચિહ્ન, સ્વર
¨ ઊમલાયૂટ, ડાઇયરસિસ
° કલાક, પ્રમાણ, માત્રા
℗ અવાજ, કોપિરાઇટ, રેકોર્ડિંગ
← ડાબું, ડાબું નિર્દેશી તીર, તીર
→ જમણું, જમણું નિર્દેશી તીર, તીર
↑ ઉપર, ઉપર નિર્દેશી તીર, તીર
↓ તીર, નીચે, નીચે નિર્દેશી તીર
⇅ ઉપર, ઉપર નિર્દેશી અને નીચે નિર્દેશી તીરો, તીર, નીચે
⇆ જમણાં નિર્દેશી તીરો ઉપર ડાબા નિર્દેશી તીરો, જમણું, ડાબું, તીર
∆ ત્રિકોણ, વૃદ્ધિ
∇ ત્રિકોણ, નાબલા
∈ આનું તત્વ, તત્વ, સદસ્યતા, સમાવે છે, સેટ
+ ઉમેરો, વત્તા, વત્તાની નિશાની, સરવાળો
± વત્તા-ઓછા, સરવાળો-બાદબાકી
÷ ઓબેલસ, ડિવિઝન ચિહ્ન, વિભાજન, વિભાજન ચિહ્ન
× ગુણાકાર, ગુણાકાર ચિહ્ન, વખત
< -થી નાનું, ટેગ, શરૂ થતો ટેગ
