{ 大括號, 括號, 波形括號, 開波形括號
🏻 淺膚色, 膚色, 類型 1–2
🏼 中淺膚色, 膚色, 類型 3
🏽 中膚色, 膚色, 類型 4
🏾 中深膚色, 膚色, 類型 5
🏿 深膚色, 膚色, 類型 6
_ 底線, 橫線, 線
- 橫線, 減號, 破折號, 破折號-減號
‐ 橫線, 破折號
– en, 短破折號, 破折號
— em, 破折號, 長破折號
― 橫線, 水平線, 破折號, 線
・ 中點, 片假名, 片假名中點, 點, 點間
, 逗號
، 逗號, 阿拉伯, 阿拉伯逗號
、 表意, 逗號, 頓號
; 分號
؛ 分號, 阿拉伯, 阿拉伯分號
: 冒號
! 感嘆, 感嘆號, 爆炸
¡ 倒轉, 倒轉嘅感嘆號, 感嘆, 感嘆號, 爆炸
? 問號, 問題
¿ 倒轉, 倒轉嘅問號, 問號, 問題
؟ 問號, 問題, 阿拉伯, 阿拉伯問號
. 句號, 點
… 省掉, 省略號, 點
。 中文句號, 句號, 表意
· 中間, 中點, 間隔號, 點
' 單引號, 引述, 打字機撇號, 撇
‘ 單引號, 左撇, 引言, 引述, 撇
’ 右撇, 單引號, 引言, 引述, 撇
‚ 下引號, 右下撇, 引號, 撇
“ 左引號, 引號, 引言, 引述, 雙引號
” 右引號, 引號, 引述, 智慧, 雙引號
„ 下右雙引號, 下引號, 引用, 引號, 引言, 雙引號
« 人字形, 向左, 左雙書名號, 引用, 括號, 脫字符, 角
» 人字形, 右雙書名號, 向右, 引用, 括號, 脫字符, 角
) 圓括弧, 括弧, 括號, 閂括弧
[ 括號, 方括號, 開方括號
] 括號, 方括號, 閂方括號
} 大括號, 括號, 波形括號, 閂波形括號
〈 人字形, 元組, 列點括號, 尖括號, 括弧, 菱形括號, 開尖括號
〉 人字形, 元組, 列點括號, 尖括號, 括弧, 菱形括號, 閂尖括號
《 括弧, 開雙尖括號, 雙尖括號
》 括弧, 閂雙尖括號, 雙尖括號
「 引號, 括弧, 開引號
」 引號, 括弧, 閂引號
『 括弧, 開雙引號, 雙引號
』 括弧, 閂雙引號, 雙引號
【 實心括號, 括弧, 透鏡括號, 開實心透鏡括號
】 實心括號, 括弧, 透鏡括號, 閂實心透鏡括號
〔 六角括號, 括弧, 括號, 開六角括號
〕 六角括號, 括弧, 括號, 閂六角括號
〖 中空括號, 括弧, 空心括號, 開中空透鏡括號
〗 中空括號, 括弧, 空心括號, 閂中空透鏡括號
