{ ڏنگي, کليل وچين ڏنگي, گل ونگ, وچين ڏنگي
🏻 رنگ, قسم 1–2, گوري رنگت
🏼 رنگ, قسم 3, وچولي گوري رنگت
🏽 پڪو رنگ, رنگ, قسم 4
🏾 رنگ, قسم 5, وچولو ڪارو رنگ
🏿 رنگ, قسم 6, ڪارو رنگ
‾ اوور اسٽرائڪ, اوور لائن, ونڪولم
_ انڊر ڊيش, انڊر لائن, ڊيش, لائن, لو ڊيش, لو لائن
- ڊيش, مائنس, هائفن, هائفن-مائنس
‐ ڊيش, هائفن
– اي اين, اي اين ڊيش, ڊيش
— اي ايم, اي ايم ڊيش, ڊيش
― افقي بار, بار, ڊيش, لڪير
・ انٽرپنڪٽ, ڊاٽس, ڪاٽا ڪانا, ڪاٽاڪانا مڊل ڊاٽ, مڊ ڊاٽ
, ڪاما
، عربي, ڪاما
、 آڊيو گرافڪ, آڊيو گرافڪ ڪاما, ڪاما
; سيمي ڪولان, سيمي-ڪولان
؛ سيمي-ڪولان, عربي, عربي سيمي ڪولان
: ڪولان
! بينگ, عجب, عجب جي پوائنٽ, عجب جي نشاني
¡ ابتي, ابتي عجب جي نشاني, بينگ, عجب, عجب جي پوائنٽ, عجب جي نشاني
? سوال, سوال جي نشاني
¿ ابتي, ابتي سوال جي نشاني, سوال, سوال جي نشاني
؟ سوال, سوال جي نشاني, عربي, عربي سوالي جي نشاني
‽ انٽرا بينگ, انٽرو بينگ
. ڊاٽ, فل اسٽاپ, مدو
… ايلپسس, ڇڏڻ, ڊاٽس
。 آڊيو گرافڪ, آڊيوگرافڪ مدو, فل اسٽاپ, مدو
· انٽرپنڪٽ, ٽٻڪو, وچ, وچ وارو ٽٻڪو
' اپاسٽرافي, ٽائپ رائيٽر اپاسٽرافي, حوالو, هڪ حوالو
‘ اپاسٽرافي, حوالو, سمارٽ حوالو, کاٻي اپاسٽرافي, هڪ حوالو
’ اپاسٽرافي, حوالو, ساڄي اپاسٽرافي, سمارٽ حوالو, هڪ حوالو
‚ اپاسٽرافي, حوالو, هيٺين ساڄي اپاسٽرافي, هيٺيون حوالو
“ حوالو, ڊبل حوالو, سمارٽ حوالو, کاٻي پاسي حوالي جي نشاني
” حوالو, ڊبل حوالو, ساڄي پاسي حوالي جي نشاني, سمارٽ حوالو
„ حوالو, ڊبل حوالو, سمارٽ حوالو, هيٺين کاڄي پاسي حوالي جي نشاني, هيٺيون حوالو
« اينگل, بريڪيٽ, چيورون, کاٻو, کاٻو گيولمينٽ, ڪوٽ, ڪيريٽس
» اينگل, بريڪيٽ, چيورون, ساڄو, ساڄو گيولمينٽ, ڪوٽ, ڪيريٽس
) بند ننڍي ڏنگي, پئرين, پئرينس, ڏنگي, ڏنگيون ننڍيون, گول ڏنگي
[ ڏنگي, کليل وڏي ڏنگي, ڪراچيٽ, وڏي ڏنگي
] بند وڏي ڏنگي, ڏنگي, ڪراچيٽ, وڏي ڏنگي
} بند وچين ڏنگي, ڏنگي, گل ونگ, وچين ڏنگي
〈 ٽيوپل, ڏنگي, شيوران, ڪنڊ نما ڏنگي, ڪنڊ نما کليل ڏنگي, نوڪيلي ڏنگي, هيري نما ڏنگيون
〉 ٽيوپل, ڏنگي, شيوران, ڪنڊ نما بند ڏنگي, ڪنڊ نما ڏنگي, نوڪيلي ڏنگي, هيري نما ڏنگيون
《 ڏنگي, ڪنڊ نما ڊبل ڏنگي, ڪنڊ نما کليل ڊبل ڏنگي
》 ڏنگي, ڪنڊ نما بند ڊبل ڏنگي, ڪنڊ نما کليل ڊبل ڏنگي
「 ڏنگي, کليل ڪارنر واري ڏنگي, ڪارنر واري ڏنگي
」 بند ڪارنر واري ڏنگي, ڏنگي, ڪارنر واري ڏنگي
『 خالي ڪارنر واري ڏنگي, ڏنگي, کليل خالي ڪارنر واري ڏنگي
』 بند خالي ڪارنر واري ڏنگي, خالي ڪارنر واري ڏنگي, ڏنگي
【 ڏنگي, کليل ڪاري لينس واري ڏنگي, لينٽيڪيولر ڏنگي, لينس واري ڏنگي
】 بند ڪاري لينس واري ڏنگي, ڏنگي, لينٽيڪيولر ڏنگي, لينس واري ڏنگي
