{ briataenn digeriñ
– barrennig verr
— barrennig hir
, skej
; pik-skej
: daoubik
! pik-estlamm
… trifik
' socʼh
“ daouask digeriñ
” daouask serriñ
« daouank digeriñ
» daouank serriñ
) krommell serriñ
[ sonnell digeriñ
] sonnell serriñ
} briataenn serriñ
〈 konkell digeriñ
〉 konkell serriñ
《 divgonkell digeriñ
》 divgonkell serriñ
「 kammell digeriñ
」 gingammell serriñ
§ arouez, rannbenn, rannbennad, rannskrid
* steredennig
/ beskell
\ kilveskell
% dregant
‰ drevil
† kleze
‡ daougleze
′ kent
″ eil
‴ trede
` bout, tired
´ lemm, tired
^ kognek, tired
¨ daouboent
° derez, eur, prouenn
∇ nabla, tricʼhorn
+ arouez mui
÷ arouezenn rannañ
× arouezenn liesaat
√ gwrizienn garrez
∞ arouezenn anfin
◊ diamant, romb
○ kelcʼh, kelcʼh goullo
● kelcʼh, kelcʼh leun
◯ kelcʼh, kelcʼh ledan goullo
💀 euzhvil, klopenn, marv
💩 bern kaocʼh, kaocʼh
🤡 furlukin, penn
👹 euzhvil, roñfl
👺 euzhvil, gobilin
👻 euzhvil, tasmant
👽 euzhvil, ezdouarad
👾 euzhvil, euzhvil an egor
🤖 euzhvil, robot
💕 div galon, kalon, karantez
💔 kalon, kalon rannet
❤ kalon ruz, ruz
🧡 kalon orañjez, orañjez
💛 kalon velen, melen
💚 gwer, kalon wer
💙 glas, kalon cʼhlas
💜 kalon limestra, limestra
🤎 gell, kalon cʼhell
🖤 du, kalon zu
🤍 gwenn, kalon wenn
💯 100, kant, kant poent
💥 tarzhadenn, tresadenn
🕳 toull
💣 bombezenn, tresadenn
💤 kousket, zzz
🤳 emboltred
💪 kigenn, kigenn daoubennek, kigenn daoubennek argrezet
🦾 brecʼh, brecʼh mekanikel
🦿 gar, gar mekanikel
🦵 gar
🦶 troad
👂 skouarn
👃 fri
🧠 empenn
🫀 kalon
🫁 skevent
🦷 dant
🦴 askorn
👀 daoulagad
👁 lagad
👅 teod
👶 babig, yaouank
🧒 bugel, yaouank
👦 paotr, yaouank
👧 placʼh, yaouank
🧑 den deuet
👱 den, melegan
👨 deuet, gwaz
👱‍♂ gwaz, melegan
👩 deuet, maouez
👱‍♀ maouez, meleganez
🧓 den, kozh
👴 gwaz, kozh
👵 kozh, maouez
👨‍🎓 studier
👩‍🎓 studierez
👨‍🏫 kelenner
