🏻 húðlitur, ljós, ljósur húðarlitur
🏼 húðlitur, miðalljós, miðalljósur húðarlitur
🏽 húðlitur, miðal, miðal húðarlitur
🏾 húðlitur, miðalmyrk, miðalmyrkur húðarlitur
🏿 húðlitur, myrk, myrkur húðarlitur
😀 andlit, grín, grínandi andlit
😃 andlit, eygu, grín, grínandi andlit við stórum eygum, munnur, opin, stór
😄 andlit, grín, grínandi andlit við brosandi eygum, munnur, opin
😁 andlit, bros, eyga, grín, smíl, strálandi andlit við brosandi eygum
😆 andlit, eygu, grín, grínandi andlit við krympaðum eygum, krympa
😅 andlit, bros, grín, grínandi andlit við sveitta, smíl, sveitti
🤣 andlit, lofl, tár, tárandi flennandi andlit
😂 andlit, andlit við gleðistárum, gleði, látur, tár
🙂 andlit, andlit ið smílur eitt sindur, bros, smíl
🙃 andlit, andlit ið vendur á høvdinum, upp og niður
😉 andlit, andlit við blunkandi eyga, blunk
😊 andlit, bros, brosandi andlit við brosandi eygum, eyga, rodna
😇 andlit, brosandi andlit við halgiboga, gloria, halgibogi, sakleys
🥰 andlit, elska, hjarta, kærleikur, smílandi andlit við hjørtum
😍 andlit, hjarta, kærleikur, smílandi andlit við hjarta eygum
🤩 andlit, stjørna, stjørnuandlit
😘 andlit, andlit ið sendur hjarta koss, koss, muss
😗 andlit, koss, muss, mussandi andlit
☺ andlit, bros, brosandi andlit
😚 afturlatin, andlit, eygu, koss, muss, mussandi andlit við afturlatnum eygum
😙 andlit, bros, eyga, koss, muss, mussandi andlit við brosandi eygum
🥲 andlit, bros, errin, smílandi andlit ið tárar, stolt, stoltur, takksamur, takksom
😋 andlit, andlit við matarlystið, lekkurt, matarlystur, tunga
😛 andlit, gálva, gálvandi andlit, tunga
😜 andlit, blunka, eyga, gálva, gálvandi andlit við blunkandi eyga, tunga
🤪 andlit, eygu, ørt, svakt
😝 andlit, eygu, gálva, gálvandi andlit við krympaðum eygum, krympa, tunga
🤑 andlit, munn, pengar, peningaandlit
🤗 andlit, klemm, klemmandi andlit
🤭 andlit, andlit við hond yvir munnin, hond, munn, ups
🤫 andlit, hússja, hússjandi andlit
🤔 andlit, hugsandi
🤐 andlit, lýnlás
🤨 andlit, andlit við upplyftum eygnabrúni, eygnabrún, ivi, skeptisk, skeptiskur
😐 andlit, nevtralt, ópartískt
😑 andlit, kensluleyst
😶 andlit, andlit uttan munn, munn
😶‍🌫 andlit í skýggjum, burtur í øðrum heimi, hugspjaddur
😏 andlit, lúrin, lúrt andlit, snildur
😒 andlit, ikki stuttligt, ikki stuttligt andlit
🙄 andlit, andlit við rullandi eygum, eygu, rullandi
😬 andlit, andlit ið vísur tenn, snerkja, tenn
😮‍💨 anda út, andlit andar út, bríksla, floyta, suffa
🤥 andlit, andlit sum lýgur, lygn, pinocchio
😌 andlit, lætna
😔 andlit, dapur, grundandi, kedd, keddur
😪 andlit, grætur, lint
🤤 andlit, slev, slevandi andlit
😴 andlit, sovandi, zzz
😷 andlit, andlit við masku, maska, sjúk
🤒 andlit, andlit við fepurstokkið, fepurstokkur, sjúk
🤕 andlit, andlit við bind um høvdið, bind, sár, skaði
🤢 andlit, andlit ið vil spýggja, sjóverk, spýggj, vaml
🤮 andlit, sjóverk, spýggj, spýggjandi andlit, vaml
🤧 andlit, njós, njósandi andlit
🥵 fepur, heitt, heitt andlit, hitasótt, sveitti
🥶 blátt andlit, frost, kalt, kalt andlit
🥴 í ørviti, í ørviti andlit, kenning, skít, svimbul
😵 andlit, svimbul, svimbult andlit
😵‍💫 andlit við snyril eygum, dulleiða, hypnotisera, í ørvitu
🤯 andlit, andlit í brestur, brestur, skelkur
🤠 andlit, andlit við cowboyhatti, cowboy, hattur, kovboy
🥳 hattur, veitsla, veitslu andlit, veitslu horn
🥸 andlit, brillur, grýla, grýlu andlit, nøs
😎 andlit, smílandi andlit við sólbrillum, sólbrillur
🤓 andlit, nørd
🧐 andlit, andlit við einglesi, einglesi, monokul
😕 andlit, forvirra, ørviti
😟 andlit, bangin, stúrin, stúrt andlit
🙁 andlit, eitt sindur illbrýnt andlit, harmur, illbrýnt, illfýsið, keddur, óglaður, ólukkulig, sorgarbundin
☹ andlit, harmur, illbrýnt, illfýsið, keddur, óglaður, ólukkulig, sorgarbundin
😮 andlit, andlit við opnum munni, munn, opin
😯 andlit, bilsi andlit, ovfari, undrandi
😲 andlit, bilsi, ovfari andlit, undrandi
😳 andlit, rodna
🥺 biðjandi andlit, bønandi, náði
😦 andlit, skelka
😧 andlit, pínt
😨 andlit, bangi, óttafult, óttast
😰 andlit, bangi, bangi andlit við sveitta, óttafult, óttast, sveitti
😥 andlit, dapur, sorgarbundi andlit og tár, sorgarbundin, tár
😢 andlit, andlit ið grætur, grátur, kedd, keddur, tár
😭 andlit, andlit sum grætur nógv, grátur, kedd, keddur, tár
😱 andlit, angist, bangilsi, ótti, ræðsla, skríggjandi
😖 andlit, harmur, illbrýnt, illfýsið, keddur, óglaður, ólukkulig, sera illbrýnt andlit, sorgarbundin
😣 ágrýti andlit, ágrýtin, andlit
😞 andlit, harmur, illbrýnt, illfýsið, keddur, óglaður, ólukkulig, skuffa andlit, sorgarbundin
😓 andlit, niður, sveittandi andlit ið hyggur niðureftir, sveitti
😩 andlit, pøst, troytt, troyttur
