{ خلاص تاو قوس, قوس, کوږ تړلی وزر, کوږ قوس, کوسه, ګولینګ
🏻 پوستکۍ, د روڼ پوستکي ټون, ډول ۲–۱, روښانه پوستکۍ
🏼 پوستکۍ, ډول ۳, غنمی-روښانه پوستکۍ
🏽 پوستکۍ, ډول ۴, غنم رنګه, غنم رنګه پوستکۍ
🏾 پوستکۍ, ډول ۵, غنمی-تورنګه پوستکۍ, منځنۍ-تور غنمی پوستکۍ
🏿 پوستکۍ, تور پوستکۍ, ډول ۶
_ تر خط لاندې, ټیټ پوټکی, ټیټه کرښه, ډش, زیرکی, کرښه
- ډش, منفي, هایفن
‐ ډش, هایفن
– پای, کرښک
— اوږده, کرښک
― افقي پټه, بار, ډش, ليکه
・ انټرپانکټ, کټکانا, کټکانا منځنۍ نقطه, میډوت, نقطې
, ،
، عربي, کوما
、 ایډیولوژیک, کوما
; نیمه کولون
؛ عربي, عربي نیمه کولون, نیم کولون
: کولون
! بنګ, ویاړ, ویاړ ټکی, ویلو نښه
¡ بدل شوی, بدل شوی ویلو نښه, بنګ, ویاړ, ویلو ټکی, ویلو نښه
? پوښتنې, پوښتنې نښه
¿ بدل شوی, بدل شوی پوښتنې نښه, پوښتنې, پوښتنې نښه
؟ پوښتنې, پوښتنې نښه, عربي, عربي پوښتنې نښه
. بشپړ درول, دوره, ډوټ, موده
… بیضوی, غلا کول, نقطې
。 ایډیولوژیک, ایډیولوژیکه دوره, بشپړ درول, دوره
· ټکي, درونی, منځوني, مینځني ټکي
' ټايپ رېټر اسټروپروف, حواله, د اسټروپروف, سمارټ حواله, یوه حواله
‘ اسټروپروف, چپ اسټروپروف, حواله, هوښیاري رایی, یوه برخه
’ حواله, د اسټروپروف, سمارټ حواله, ښیې ایسستروف, یوه حواله
‚ اسټروپروف, ټیټ حواله, ټیټ ښی اسټروپروف, حواله
“ چپ وینالېږد نښه, حواله, دوه حواله, سمارټ وینالېږد, وینالېږد
” حواله, دوه حواله, سمارټ وینالېږد, ښیې وینالېږد نښه, وینالېږد
„ ټیټه وینالېږد, ټیټې ښیې وینالېږد نښه, حواله, دوه حواله, سمارټ وینالېږد
« اخيستنښه, زاویه, ښی وینالېږد نښه, قوسونه, کيڼ وینالېږد نښه, کیڼ, کیڼحولی, هشتکونه
» اخيستنښه, زاویه, ښی, ښی وینالېږد نښه, قوسونه, کیڼحولی, هشتکونه
) پارنز, پیرن, غونډ بند, قوس, قوسونه, نږدى ځاځي
[ بریکٹ, کروک, مربع قوس, مربع قوس خلاص
] کروک, لیندۍ, مربع قوس, مربع قوس بند
} تړل کوږ تړنه, کوږ تړلی کرکیټ, کوسه, ګرګوتي, ګولینګ
〈 د هندی غزو, زاویې بریکس خلاص, زاویې لیندۍ مهم ټکی, شیورون, قوس, کوچنی
〉 د هندی غزو, زاویې لیندۍ مهم ټکی, شیورون, قوس, کوچنی, نږدې زاویې لیندۍ
《 دوه زاویې قوه, دوه ګوني زاویې خلاص کړئ, قوس
》 دوه زاویې قوه, دوه ګوني زاویې وتړئ, قوس
「 قوس, کونج خلاص خط, کونج کونکی
」 قوس, کونج کونکی, نژدې کونج قوس
『 تشه کونج قوس, خالي کونج کونړ خلاص کړئ, قوس
』 تشه کونج قوس, خالي کونج قوس بند کړئ, قوس
【 خلاص تور لینز قوس خلاص, د غاړې کنده, قوس, لینز قوس
】 د تور لینز قوس بند, د لینز قوس, غاړې کنده, قوس
〔 خلاص شمشتې قوس, خولۍ قوس, قوس, کيشپ خولۍ قوس
〕 خولۍ قوس, قوس, کيشپ خولۍ قوس, کيشپ خولۍ قوس بند
〖 تش لینز قوس, تشې لینټیکالر قوس, خلاص تش لینګونه قوس, قوس
〗 تش لینز قوس, تشې لینټیکالر قوس, د تش لاسونو قوس بند کړئ, قوس
§ برخه, پاراګراف, سلکرو
¶ ایلینا, پارا, پاراګراف, پاراګراف نښه, پیلوټ
@ اروبا, اروبیس, امپرات, په نښه, سټودیل, سوداګري په
* ځنګلي کارت, ستوری, سټریک
/ جامد, ريونده, سلیش, وهل, ویرجول
\ پرځای جامع, شالید, وډ
& امپرسند, امپرسنده, او, نور
# lb, پونډ, شمیره, هشتګ, هوس, هوسۍنښه
% سلنه
‰ پر میل, پرامیل, پرمیل
† خنجر, د خنجر نښه, ویش نښه
‡ دوګني ویش نښه, ډیګر, ویش نښه
• ټکي, ګلوله
‧ ټکی, ډش, لوړ ټکی, هایفن
′ لومړی
″ دوه ګونی لومړی, لومړی
‴ درې ګونی لومړی, لومړی
※ حواله نښه
` تلفظ, جدي, لهجه
´ تلفظ, حاد, لهجه
^ پخه, تلفظتلفظ, خولۍ, ځواک, شیورون, کنټرول, کیټ, محور, محور تلفظ, نښې, نښې نښه
¨ املت, ترمه, دیارزیس
° ثبوت, درجه, ساعت
℗ ثبتول, د غږ ثبتولو نسخه حقوق, د نسخه حق, غږ
← غشی, کي- ښکارونکی غشی, کي-- ښکارونکی غشی, کيڼ
→ ښي - ښکارونکی غشی, ښۍ, غشی
↑ بره, غځېدونکې غشی, غشی
↓ ښکته, ښکته-ښکارونکی غشی, غشی
⇅ بره, بره-ښیې او ښکته-ښیې غشی, ښکته, غشی
⇆ ښي, غشی, کيڼ, کيڼ اشاره باندې ښي اشاره غشي
∆ اضافه, مثلث
∇ دریڅنډي, نسکوره دریڅنډي
∈ څخه عنصر, د عنصر, شامل لري, عنصر, غړیتوب, مجموعه
+ جمع, نښه
± جمع منفي
÷ ویش نښه, وېش, وېش کول, وېش نښه
× ځله, ضرب, ضرب نښه, ضرب ورکول, ضرف نښه
< ټاګ, خلاص ټاګ, لږ - څخه
= مساوي
≠ مساوي نه, نابرابري
> ټاګ, لوی - څخه, نږدې نښه
¬ نفي, نه
| vbar, بار, پايپ, پایک, چپک, د شفر ټکان, عمودي پټه, عمودي ليکه, کرښه, وهل
~ ټیلډ
− ماتول, منفي, منفي نښه
⁻ بالانوشت, منفي
√ اصل عدد, افراطي, بنسټ, جذر, غیرناطق, مربع
∞ لامحدود, لامحدود نښهلامحدود نښه
∩ تقاطع, مجموعه
∪ اتحاد, ټولګه, مجموعه
