{ nawias, nawias klamrowy, nawias otwierający, otwierający nawias klamrowy
🏻 karnacja, karnacja jasna, odcień skóry, typ 1–2
🏼 karnacja, karnacja średnio jasna, odcień skóry, typ 3
🏽 karnacja, karnacja średnia, odcień skóry, typ 4
🏾 karnacja, karnacja średnio ciemna, odcień skóry, typ 5
🏿 karnacja, karnacja ciemna, odcień skóry, typ 6
‾ nadkreślenie
_ dolny myślnik, linia, podkreślenie, podkreślnik, znak podkreślenia
- łącznik, łącznik-minus, minus, myślnik, pauza
‐ dywiz, łącznik, myślnik
– myślnik, półpauza, znak półpauzy
— myślnik, pauza, znak pauzy
― kreska, linia, myślnik, pozioma kreska
・ katakana, kropka, kropka środkowa, kropka środkowa katakana
, przecinek
، arabski, przecinek
、 ideograficzny, przecinek
; średnik
؛ arabski, średnik
: dwukropek
! wykrzyknąć, wykrzyknik, znak, znak wykrzyknika
¡ odwrócony, wykrzyknik, znak wykrzyknika
? pytajnik, pytanie, znak zapytania
¿ odwrócony, odwrócony znak zapytania, pytajnik, znak zapytania
؟ arabski, arabski znak zapytania, pytajnik, znak zapytania
‽ interrobang
. kropka, punkt, znak kropki
… trzy kropki, wielokropek, znak wielokropka
。 kropka, kropka chińska, kropka ideograficzna, znak ideograficzny
· kropka, kropka środkowa, punkt, środek
' apostrof, apostrof drukarski, cytat, pojedynczy apostrof
‘ apostrof, cytat, lewy apostrof, pojedynczy apostrof
’ apostrof, cytat, pojedynczy apostrof, prawy apostrof
‚ apostrof, apostrof dolny, cytat, prawy apostrof dolny
“ cudzysłów, cytat, lewy cudzysłów
” cudzysłów, cytat, prawy cudzysłów
„ cudzysłów, cytat, dolny cudzysłów, dolny prawy cudzysłów, prawy cudzysłów
« cudzysłów, daszki, lewy, lewy cudzysłów ostrokątny, nawias ostry, nawiasy, szewron
» cudzysłów, daszki, nawias ostry, nawiasy, prawy, prawy cudzysłów ostrokątny, szewron
) nawias, nawias końcowy, nawias okrągły, nawias zamykający
[ nawias, nawias kwadratowy, otwierający nawias kwadratowy
] nawias, nawias kwadratowy, zamykający nawias kwadratowy
} nawias, nawias klamrowy, nawias zamykający, zamykający nawias klamrowy
〈 nawias, nawias ostrokątny, nawias otwierający, ostry nawias, otwierający nawias ostrokątny
〉 nawias, nawias ostrokątny, nawias zamykający, ostry nawias, zamykający nawias ostrokątny
《 nawias, nawias ostrokątny, podwójny nawias, podwójny otwierający nawias ostrokątny
》 nawias, nawias ostrokątny, podwójny nawias, podwójny zamykający nawias ostrokątny
「 lewy nawias, lewy sufit, nawias, nawias kątowy
」 nawias, nawias kątowy, prawa podłoga, prawy nawias
『 gruby lewy sufit, gruby nawias kątowy, nawias
』 gruba prawa podłoga, gruby nawias kątowy, nawias
【 nawias, nawias soczewkowy, otwierający czarny nawias soczewkowy
】 nawias, nawias soczewkowy, zamykający czarny nawias soczewkowy
〔 nawias, nawias zaokrąglony, otwierający nawias zaokrąglony
〕 nawias, nawias zaokrąglony, zamykający nawias zaokrąglony
〖 gruby nawias soczewkowy, nawias, otwierający gruby nawias soczewkowy
〗 gruby nawias soczewkowy, nawias, zamykający gruby nawias soczewkowy
§ artykuł, paragraf
¶ akapit, znak, znak akapitu
@ małpa, symbol małpy, znak małpy
* gwiazdka, symbol gwiazdki, wieloznacznik
/ slash, solidus, ukośnik, ukośny, znak ukośny
\ backslash, ukośnik, ukośnik wsteczny
& et, i, znak and
# hash, kratka, krzyżyk, numer, płotek
% procent, znak procenta
‰ promil, symbol promila
† crux philologorum, obelisk, obelos, obelus, sztylet, znak sztyletu
‡ obelisk, obelos, obelus, podwójny, sztylet, znak podwójnego sztyletu
• kropka, punktor
‧ kropka, myślnik, podział, punkt, punkt podziału
′ prim
″ bis, prim, symbol bis
‴ prim, ter
‸ kareta
※ odniesienie, znak odniesienia
⁂ asteryzm
` akcent, grawis, znak diakrytyczny
´ akcent, akcent ostry, akcent silny, akut, znak diakrytyczny
