🏻 xeesaayu der, xeesaayu der bu woyof, xeet 1–2
🏼 xeesaayu der, xeesaayu der bu xeereer, xeet 3
🏽 xeesaayu der, xeesaayu der bu yam, xeet 4
🏾 xeesaayu der, xeesaayu der bu xawa ñuul, xeet 5
🏿 xeesaayu der, xeesaayu der bu ñuul, xeet 6
‾ overline
‽ interrobang
‸ caret
⁂ asterism
😀 gaññi, kanam, kanam guy gaññi
😃 gémmiñ, kanam, kanam ak gémmiñ gu ubbeeku di muuñ, muuñ, ubbeeku
😄 bët, gémmiñ, kanam, kanam guy muuñ ak ubbeeku gémmiñ ak muuñ bët, muuñ, ubbeeku
😁 bët, gaññi, kanam, kanam guy gaññi ak bët yuy muuñ, muuñ
😆 gémmiñ, kanam, kanam guy muuñ ak ubbeeku gémmiñ ak buñ tëj bët, muuñ, reetaan, satisfied, ubbeeku
😅 kanam, kanam guy muuñ ak ubbeeku gémmiñ ak ñàqu tiitaange, muuñ, ñàq, sedd, ubbeeku
🤣 kanam, ree ba xalangu ci suuf, reetaan, suuf, xalangu
😂 kanam, kanam gu am rangooñu bànneex, mbegte, rangooñ, reetaan
🙂 kanam, kanam gu muuñ tuuti, muuñ
🙃 buñ juutal, kanam, kanam gu dëppu
😉 kanam, piis, piis benn bët
😊 bët, kanam, kanamu mbegte ak bët yuy muuñ, mbegte, muuñ
😇 feem, kanam, kanam guy muuñ ak serkal ci kawam, léebu fee, malaaka, muuñ, serkal ci kaw, xamul-dara
😍 bët, kanam, mbëggeel, muuñ, muuñ, kanam, xol, bët
🤩 bët, biddeew, dóor-biddeew, gaññi, kanam
😘 fóon, kanam, kanam guy ëf fóon
😗 fóon, kanam, kanam guy fóon
☺ bàyyeeku, fësal, kanam, kanam guy muuñ, muuñ
😚 bët, buñ tëj, fóon, kanam, kanam guy fóon ak bët yu gëmm
😙 bët, fóon, kanam, kanam guy fóon ak bëti muuñ, muuñ
😋 bànneexu, kanam, kanam, bànneexu, ñeex, ñam, melaastiku, muuñ, neex, um
😛 kanam, kanam bu ànd ak làmmiñ wuñ tàllal, làmmiñ
😜 bët, kaf, kanam, kanam ak tàllal làmmiñ ak bët buy piis, làmmiñ, piis
🤪 bët, kanamu dof, ndaw, yaatu
