{ abrir parênteses, chaveta, chaveta esquerda, parêntese, parêntesis
🏻 cor de pele, cor de pele clara, tez clara, tipo de pele 1–2
🏼 cor de pele, cor de pele clara (média), tez clara (média), tipo de pele 3
🏽 cor de pele, cor de pele média, tez média, tipo de pele 4
🏾 cor de pele, cor de pele escura (média), tez escura (média), tipo de pele 5
🏿 cor de pele, cor de pele escura, tez escura, tipo de pele 6
‾ traço subscrito
_ sublinhado, traço baixo, traço inferior
- hífen, hífen-menos, menos, traço
‐ hífen, risca de união, tirete, traço de união
– meia-risca, meio-traço, traço, traço de ligação, traço médio
— traço, travessão
― barra, barra horizontal, linha, travessão
・ katakana, katakana - ponto central, ponto central, ponto mediano
, vírgula
، árabe, vírgula, virgula árabe
、 ideográfica, vírgula
; ponto e vírgula
؛ árabe, ponto e vírgula, ponto e vírgula árabe
: dois pontos
! exclamação, ponto de exclamação
¡ exclamação, invertido, ponto de exclamação, ponto de exclamação invertido
? pergunta, ponto de interrogação
¿ interrogação, invertido, ponto de interrogação, ponto de interrogação invertido
؟ árabe, interrogação, ponto de interrogação, ponto de interrogação árabe
. ponto, ponto final
… pontos de reticência, pontos de suspensão, reticências, três pontos
。 ideograma, ideograma de ponto final, ponto, ponto final
· mediano, ponto, ponto médio
' apóstrofo, aspas, aspas simples, plica
‘ apóstrofo, apóstrofo esquerdo, aspas, aspas curvas
’ apóstrofo, apóstrofo direito, aspas, aspas curvas
‚ apóstrofo, apóstrofo direito inferior, aspas, aspas inferiores
“ aspas, aspas duplas, aspas esquerdas, aspas inteligentes, aspas retas
” aspas, aspas direitas, aspas duplas, aspas inteligentes, aspas retas
„ aspas, aspas direitas inferiores, aspas duplas, aspas inferiores, aspas inteligentes
« ângulo, aspas, aspas em linha esquerdas, aspas francesas, chevron, esquerda
» ângulo, aspas, aspas em linha direitas, aspas francesas, chevron, direita
) fechar parênteses, parêntese, parêntese curvo, parêntese direito, parêntesis
[ abrir parênteses, colchete, parêntese, parêntese reto, parêntese reto esquerdo, parêntesis
] colchete, fechar parênteses, parêntese, parêntese reto, parêntese reto direito, parêntesis
} chaveta, chaveta direita, fechar parênteses, parêntese, parêntesis
〈 abrir parênteses, chevron, parêntese, parêntese angular, parêntese angular esquerdo, parêntese em ângulo, parêntesis
〉 chevron, fechar parênteses, parêntese, parêntese angular, parêntese angular direito, parêntese em ângulo, parêntesis
《 abrir parênteses, parêntese, parêntese angular duplo, parêntese angular duplo esquerdo, parêntesis
》 fechar parênteses, parêntese, parêntese angular duplo, parêntese angular duplo direito, parêntesis
「 abrir parênteses, parêntese, parêntese de canto, parêntese de canto esquerdo
」 fechar parênteses, parêntese, parêntese de canto, parêntese de canto direito
『 parêntese de canto branco esquerdo
』 parêntese de canto branco direito
【 abrir parênteses, parêntese, parêntese lenticular, parêntese lenticular preto esquerdo, parêntesis
】 fechar parênteses, parêntese, parêntese lenticular, parêntese lenticular preto direito, parêntesis
〔 abrir parênteses, parêntese, parêntese de tartaruga, parêntese de tartaruga esquerdo, parêntesis
〕 fechar parênteses, parêntese, parêntese de tartaruga, parêntese de tartaruga direito, parêntesis
〖 parêntese lenticular branco esquerdo
〗 parêntese lenticular branco direito
§ parágrafo, parte, secção, símbolo de parágrafo
¶ alínea, marca de parágrafo, parágrafo, sinal de parágrafo
@ arroba, marca de arroba, sinal de arroba
* asterisco, caráter universal, estrela
/ barra, traço oblíquo
\ barra invertida, traço oblíquo invertido
& e, E comercial, et
# cardinal, cerquilha, hashtag, número
% percentagem, por cento, porcento
‰ permilagem, por mil
† adaga, cruz, obelisco, óbelo
‡ adaga, duplo, obelisco, óbelo
• marca, marca de lista, ponto
‧ hífen, ponto, ponto de hifenização
′ apóstrofo, plica
″ apóstrofo, apóstrofo duplo, aspas, plica dupla
‴ apóstrofo, apóstrofo triplo, plica tripla
※ marca de referência
⁂ asterismo
` acento, grave, tom
´ acento, agudo, tom
^ acento, chapéu, circunflexo, sinal de omissão
¨ ápice, ápices, diérese, trema
° grau, hora, prova
℗ direitos de autor, fonograma, símbolo de direitos de autor de fonograma, som
← esquerda, para a esquerda, seta, seta a apontar para a esquerda
↚ barra com seta para a esquerda
→ direita, para a direita, seta, seta a apontar para a direita
↛ barra com seta para a direita
↑ cima, para cima, seta, seta a apontar para cima
↓ baixo, para baixo, seta, seta a apontar para baixo
↜ seta ondulada para a esquerda
↝ seta ondulada para a direita
↞ seta de duas pontas para a esquerda
↟ seta de duas pontas para cima
↠ seta de duas pontas para a direita
↡ seta de duas pontas para baixo
↢ seta para a esquerda com cauda
↣ seta para a direita com cauda
↤ seta para a esquerda da barra
↥ seta para cima da barra
↦ seta para a direita da barra
↧ seta para baixo da barra
⇅ baixo, cima, para baixo, para cima, seta, setas a apontar para cima e para baixo
⇆ direita, esquerda, para a direita, para a esquerda, seta, setas a apontar para a esquerda e direita, setas a apontar para a esquerda e para a direita
∆ delta, triângulo
∇ nabla, triângulo
∈ conjunto, contém, elemento, elemento de, membro, pertence, pertence a
+ adição, mais, sinal de mais
± mais-menos
÷ dividir, divisão, símbolo de divisão, sinal de divisão
× multiplicação, multiplicar, sinal de multiplicação, vezes
< etiqueta, fechar etiqueta, menor, menor que
= é igual a, igual
≠ desigual, desigualdade, diferente, não igual
> etiqueta, fechar etiqueta, maior, maior que
¬ não, negação
| barra, barra vertical, linha, linha vertical, pipe, traço vertical
~ til
− menos, sinal de menos, subtrair
⁻ menos, sobrescrito
√ base aritmética, quadrada, radical, radiciação, raiz
∞ infinito, símbolo de infinito
∩ conjunto, interseção, intersecção
∪ coleção, conjunto, reunião, união
≈ aproximação, aproximado, quase igual
≡ exato, idêntico, idêntico a, triplo
≤ desigual, desigualdade, igual, igual a, menor ou igual, menor que
≥ desigual, desigualdade, igual, igual a, maior ou igual, maior que
⊂ conjunto, subconjunto, subconjunto de
▲ cima, para cima, preenchido, seta, triângulo, triângulo preenchido a apontar para cima
▼ baixo, para baixo, preenchido, seta, triângulo, triângulo preenchido a apontar para baixo
◊ diamante, losango, rombo
○ anel, círculo, círculo vazio
● círculo, círculo preenchido
◯ anel, círculo, círculo vazio grande
♪ colcheia, música, nota
♭ bemol, música, nota
♯ música, nota, sustenido
😀 cara, cara sorridente, sorriso
😃 aberta, boca, cara, cara sorridente com olhos bem abertos, sorriso
😄 aberta, boca, cara, cara a sorrir com boca aberta e olhos sorridentes, olho, sorriso
😁 cara, cara sorridente com olhos sorridentes, olho, sorriso
😆 aberta, boca, cara, cara a sorrir com boca aberta e olhos bem fechados, riso, satisfação, sorriso
😅 aberta, cara, cara a sorrir com boca aberta e suor, frio, sorriso, suor
🤣 a rebolar no chão a rir, cara, chão, rebolar, rir
😂 cara, cara com lágrimas de felicidade, felicidade, lágrimas, riso, sorriso
🙂 cara, cara a sorrir ligeiramente, sorriso
🙃 ao contrário, cara, cara ao contrário
😉 cara, cara a piscar o olho, piscadela
😊 cara, cara a sorrir com olhos sorridentes, corado, olho, sorriso
😇 anjo, auréola, cara, cara a sorrir com auréola, conto de fadas, fantasia, inocente, sorriso
🥰 amor, apaixonado, cara sorridente com corações, paixão
😍 amor, cara, cara a sorrir com olhos em forma de coração, coração, olho, sorriso
🤩 cara, cara sorridente com estrelas nos olhos, estrela, olhos
😘 beijo, cara, cara a atirar um beijo, coração
😗 beijo, cara, cara a dar um beijo
☺ cara, cara a sorrir, contorno, relaxado, sorriso
😚 beijo, cara, cara a dar um beijo com olhos fechados, fechado, olho
😙 beijo, cara, cara a dar um beijo com olhos sorridentes, olho, sorriso
🥲 aliviado, cara sorridente com lágrima, emocionado, grato, lágrima, orgulhoso, sorridente
😋 apetitoso, cara, cara a saborear uma refeição deliciosa, delicioso, saborear, sorriso
😛 cara, cara com língua de fora, língua
😜 cara, cara com língua de fora e olho a piscar, língua, olho, piada, piscadela
🤪 cara louca, grande, olho, pequeno
😝 cara, cara com língua de fora e olhos bem fechados, horrível, língua, olho, sabor
🤑 boca, cara, cara com cifrões, dinheiro
🤗 abraçar, abraço, cara, cara a dar um abraço
🤭 cara com mão na boca, ups
🤫 cara de segredo, quieto, segredo
🤔 cara, cara a pensar, pensativo
🤐 boca, cara, cara com boca com fecho de correr, fecho de correr
🤨 cara com sobrancelha levantada, cético, desconfiança
😐 cara, inexpressivo, neutra, neutro
😑 cara, cara sem expressão, inexpressivo, sem expressão
😶 boca, calado, cara, cara sem boca, silencioso
😶‍🌫 cabeça nas nuvens, cara nas nuvens, cara no nevoeiro, distraído
😏 cara, cara com sorriso sarcástico, sorriso pretensioso
😒 aborrecido, cara, cara aborrecida, descontente
🙄 cara, cara com olhos revirados, olhos, revirar
😬 cara, cara a fazer caretas, caretas
😮‍💨 alívio, assobio, cara a exalar, choque, exalar
🤥 cara, cara de mentiroso, mentira, pinóquio
😌 aliviado, cara, cara aliviada
😔 cara, cara pensativa, desanimado, melancólico, pensativo
😪 cara, cara sonolenta, sono
🤤 babar, cara, cara a babar-se
😴 cara, cara a dormir, sono, zzz
😷 cara, cara com máscara de médico, constipação, doente, máscara, médico, remédio
🤒 cara, cara com termómetro, doente, termómetro
🤕 cara, cara com ligadura na cabeça, ferimento, ligadura, magoado
🤢 cara, nauseada, vómito
🤮 cara a vomitar, doente, vomitar, vómito
🤧 cara, cara a espirrar, espirro, santinho
🥵 cara com calor, cara vermelha, febril, insolação, quente, transpiração
🥶 cara azul, cara com frio, frieira, frio, gelar, sincelo
🥴 bêbado, boca ondulada, cara embriagada, embriagado, intoxicado, olhos tortos
😵 atordoado, cara, cara atordoada
😵‍💫 cara com olhos em espiral, espirais, hipnotizado, problema, tontura, uau
🤯 cabeça a explodir, chocado
🤠 cara, cara sorridente com chapéu de vaqueiro, caubói, chapéu, cobói, cowboy, vaqueira, vaqueiro
🥳 apito, cara de festa, chapéu, comemoração, festa
🥸 cara, cara disfarçada, disfarce, incógnito, nariz, óculos
😎 cara, cara a sorrir com óculos de sol, fixe, luminoso, óculos, óculos de sol, olho, sol, sorriso, tempo
🤓 cara, cara de cromo, totó
🧐 cara com monóculo, conservador, formal
😕 cara, cara confusa, confuso
😟 cara, cara preocupada, preocupado
🙁 cara, cara ligeiramente franzida, sobrolho menos franzido
☹ cara, cara franzida, sobrolho franzido
😮 aberta, boca, cara, cara com boca aberta, pena
😯 cara, expectante, pasmado, surpreso
😲 cara, cara espantada, chocado, estupefacto, surpreso
😳 aturdido, cara, cara corada, corado
🥺 cara que implora, cara suplicante, implorar, olhar de cachorrinho, perdão
😦 aberta, boca, cara, cara franzida com boca aberta, sobrolho franzido
😧 angustiado, cara, cara angustiada
😨 amedrontado, assustado, cara, cara cheia de medo, medo
😰 aberta, azul, boca, cara, cara com boca aberta e suor frio, com pressa, frio, suor
😥 aliviado, cara, cara triste, mas aliviada, desiludido, ufa
😢 cara, cara a chorar, choro, lágrima, triste
😭 cara, cara a chorar perdidamente, choro, lágrima, soluço, triste
😱 amedrontado, assustado, cara, cara a gritar de medo, grito, medo, munch
😖 baralhado, cara, cara perplexa
😣 cara, perseverante
😞 cara, cara desiludida, desiludido
😓 cara, cara cabisbaixa com gota de suor, frio, suor
😩 cansado, cara, cara fatigada, exausto
😫 cansado, cara, cara cansada
🥱 bocejo, cansado, cara a bocejar, entediado
😤 cara, cara com vapor a sair do nariz, triunfo, vitória
😡 cara, cara amuada, enfurecido, fúria, mal-humorado, vermelho, zangado
😠 cara, cara irritada, irritado, zangado
🤬 cara com símbolos na boca, praguejar
😈 cara, cara a sorrir com cornos, conto de fadas, cornos, fantasia, sorriso
👿 cara, cara zangada com cornos, demónio, diabo, fantasia
💀 cara, caveira, corpo, monstro, morte
