🏻 ibara ry’uruhu, ibara ry’uruhu rwera, ubwoko 1–2
🏼 ibara ry’uruhu rwera gahoro, imiterere y’uruhu, ubwoko 3
🏽 ibara ry’uruhu, ibara ry’uruhu rw’inzobe, ubwoko 4
🏾 ibara ry’uruhu, ibara ry’uruhu rw’inzobe yirabura, ubwoko 5
🏿 ibara ry’uruhu, ibara ry’uruhu rwirabura, ubwoko 6
😀 inseko, isura, isura imwenyura
😃 gufungura, guseka, isura, isura iseka ifite umunwa wasamye, umunwa
😄 gufungura, ijisho, isura, isura iseka n’umunwa wasamye n’amaso afunguye, kumwenyura, umunwa
😁 ijisho, inseko, isura, isura imwenyura n’amaso yuje inseko, kumwenyura
😆 gihagije, gufungura, guseka, isura, isura iseka n’umunwa wasamye n’amaso ahumirije, kumwenyu, umunwa
😅 gikonje, gufungura, guseka, isura, isura iseka n’umunwa wasamye n’ibyuya by’ubwoba, kubira icyuya
🤣 guseka, hasi, isura, kwigaragura, yigaragura ku butaka aseka
😂 guseka, ibyishimo, isura, isura ifite amarira y’ibyishimo, kurira
🙂 inseko, isura, isura iseka gahoro
🙃 icuritse, isura, isura-icuritse
😉 isura, isura yica akajisho, kwica ijisho
😊 ijisho, isura y’amaso yo guseka, kumwenyura, kwijima
😇 amakabyankuru, ikamba, inseko, isura, isura igaragaza inseko na halo, marayika, ntamakemwa
😍 ijisho, inseko, isura, isura iseka n’amaso agaragara mu ishusho y’umutima, urukundo
🤩 amaso, inyenyeri, isura, kumwenyura, umuntu ukunda ibyamamare
😘 gusomana, isura, isura y’umuntu ushaka gusomana
😗 gusomana, isura, isura y’umuntu usomana
☺ idashamaje, Indoro imwenyura, inseko, isura, ituje
😚 gusomana, ijisho, isura, isura y’umuntu usomana unahumirije, rifunze
😙 gusomana, ijisho, isura, isura y’umuntu usomana n’amaso yo guseka, kumwenyura
😋 eh, isura, isura ifitiye amerwe ibiryo biryoshye, kiryohereye, kiryoshye, kumwenyura, yoo
😛 isura, isura igaragaza ururimi rwasohotse, ururimi
😜 gusetsa, ijisho, isura, isura igaragaza ururimi rwasohotse no kwica akajisho, kwica ijisho, ururimi
🤪 amaso, gito, isura y’umuntu ubabaye, kigari
😝 ijisho, isura, isura igaragaza ururimi rwasohotse n’amaso ahumirije, kidashimishije, uburyohe, ururimi
🤑 igaragaza, isura, isura-igaragaza umunwa urimo amafaranga, umunwa urimo amafaranga
🤗 guhobera, guhoberana, isura, isura igaragaza guhoberana
🤭 apu!, isura y’umuntu wifashe ku munwa
🤫 isura y’umuntu utuje, ucecetse, utuje
🤔 isura, isura irimo gutekereza, itekereza
🤐 igaragaza, isura, isura-igaragaza lisani ku munwa, lisani ku munwa
🤨 amakenga, isura ifite ibitsike bihagaze, umuntu ugira amakenga
😐 ikanganye, isura, isura itinjirirwa, ituje
😑 isura, isura nta marangamutima, kidasobanutse, kitagize icyo isobanura
😶 isura, isura idafite umunwa, ucecetse, umunwa
😏 iseka, isura, isura iseka idasetse
😒 idashimishije, isura, isura igaragaza kutishima, itishimye
🙄 amaso, ihindukije, isura, isura ikanuye amaso
😬 gushinyiriza, isura, isura igaragaza amenyo
🤥 isura, isura igaragaza kubeshya, kubeshya, pinokiyo
😌 isura ituje, mu maso hasukuye
😔 isura, isura yibaza, utekereza cyane, uwacitse intege
😪 gusinzira, isura, isura ifite ibitotsi
🤤 guta inkonda, isura igaragaza, isura igaragaza guta inkonda
😴 gusinzira, isura, isura isinzira, zzz
😷 dogiteri, gikonje, imiti, impishasura, isura, isura yambaye masike yo kwa muganga, urwaye
🤒 agapimabushyuhe, isura, isura ifite terimometere, urwaye, urwayel
🤕 igikomere, igipfuko, isura, isura ipfutse ku mutwe, kubabara
🤢 irwaye, isura, isura ifite isesemi, kuruka
🤮 isura y’umuntu uri kuruka, kuruka, kurwara
🤧 isura, kwitsamura, yitsamura
😵 igaragaza isereri, isura, isura igaragaza isereri
🤯 umutwe w’umuntu waturitse, yahungabanye
