🏻 ᎢᏳᏍᏗ 1–2, ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🏼 ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎢᏳᏍᏗ 3, ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏽 ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎢᏳᏍᏗ 4, ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏾 ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎢᏳᏍᏗ 5, ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏿 ᎢᏳᏍᏗ 6, ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
– ᎡᏂ, ᎡᏂ ᏍᏆᎳ ᎠᏍᏓᏅᏅ, ᏍᏆᎳ ᎠᏍᏓᏅᏅ
— ᎡᎻ, ᎡᎻ ᏍᏆᎳ ᎠᏍᏓᏅᏅ, ᏍᏆᎳ ᎠᏍᏓᏅᏅ
· ᎠᏰᏟ, ᎤᏓᏓᎸ, ᎭᏫᏂ ᏗᏜ ᎤᏓᏓᎸ
« ᎠᎦᏍᎦᏂ, ᎠᎦᏍᎦᏂ ᎩᎺ, ᎧᏁᎢᏍᏙᏗ, ᏓᏍᏓᏅᏅ ᏚᎷᏨ, ᏔᎵ ᏗᎭᏰᎳᏍᏗ, ᏕᎦᏂᏴᏛ, ᏤᏫᎳᏂ
» ᎠᎦᏘᏏ, ᎠᎦᏘᏏ ᎩᎺ, ᎧᏁᎢᏍᏙᏗ, ᏓᏍᏓᏅᏅ ᏚᎷᏨ, ᏔᎵ ᏗᎭᏰᎳᏍᏗ, ᏕᎦᏂᏴᏛ, ᏤᏫᎳᏂ
§ ᎢᎦᏓ, ᎾᎿ ᎨᏒ, ᎾᎿ ᎨᏒ ᎪᏪᎶᏗ, ᏗᎧᏁᏍᏗ
† ᎣᏇᎵᏍᎩ, ᎣᏇᎷᏏ, ᎭᏰᎳᏍᏗ, ᎭᏰᎳᏍᏗ ᎪᏪᎶᏗ
‡ ᎣᏇᎵᏍᎩ, ᎣᏇᎷᏏ, ᎭᏰᎳᏍᏗ, ᏔᎵ, ᏔᎵ ᏗᎭᏰᎳᏍᏗ ᎪᏪᎶᏗ
• ᎤᏓᏓᎸ, ᎦᏂ
° ᎢᎦᎢ ᎢᎦᏘ, ᎢᏳᏟᎶᏓ, ᎪᎯᏳᏙᏗ
℗ ᎤᏃᏴᎬ, ᎤᏃᏴᎬ ᎤᏤᎵᎢ ᎤᎯᏴᎢ, ᎤᏤᎵᎢ ᎤᎯᏴᎢ, ᏧᏃᏴᎬ
← ᎠᎦᏍᎦᏂ, ᎠᎦᏍᎦᏂ-ᎦᏝᏗ, ᎦᏝᏗ
→ ᎠᎦᏘᏏ, ᎠᎦᏘᏏ-ᎦᏝᏗ, ᎦᏝᏗ
↑ ᎦᎸᎳᏗ, ᎦᎸᎳᏗ-ᎦᏝᏗ, ᎦᏝᏗ
↓ ᎡᎳᏗ, ᎡᎳᏗ-ᎦᏝᏗ, ᎦᏝᏗ
⇅ ᎡᎳᏗ, ᎦᎸᎳᏗ, ᎦᎸᎳᏗ-ᎦᏝᏗ ᎠᎴ ᎡᎳᏗ-ᎦᏝᏗ, ᎦᏝᏗ
⇆ ᎠᎦᏍᎦᏂ-ᎦᏝᏗ ᎦᎸᎳᏗ ᎠᎦᏘᏏ-ᎦᏝᏗ, ᎠᎦᏍᎦᏄ, ᎠᎦᏘᏏ, ᎦᏝᏗ
∆ ᎤᏁᏉᏍᏗ, ᏦᎢ ᏧᏅᏏᏯ
∇ ᎠᏲᎱᎯᏍᏗ, ᏦᎢ ᏧᏅᏏᏯ
∈ ᎠᏁᎳ ᎤᎾᏓᏡᎬ, ᎢᎦᎢ ᎨᏐ, ᎤᏙᏣᎵ, ᎤᏙᏣᎵ ᎾᎿ, ᏧᏓᏂᏝᏅ
÷ ᎢᎦᏓ, ᎢᎦᏛ ᎪᏪᎶᏗ, ᎢᏓᏛ, ᎣᏇᎷᏏ
× ᎠᏴᎦᎴᏫᏒᎯ, ᎢᏳᏩᎦᏗ, ᎢᏳᏩᎪᏗ, ᎢᏳᏩᎬᏗ, ᎪᏪᎶᏗ
⁻ ᎠᎩᏲᎳᏗᏍᏗ, ᎤᏍᏗ ᎦᎸᎳᏗ, ᎤᏍᏗ ᎦᎸᎳᏗ ᎠᎩᏲᎳᏗᏍᏗ
√ ᎤᎾᏍᏕᎵ, ᏄᎬᏫᏳᏒ, ᏄᎬᏫᏳᏒᏕᎩ, ᏅᎩ ᏧᏅᏏᏯ, ᏅᎩ ᏧᏅᏏᏯ ᎤᎾᏍᏕᎵ, ᏙᏄᏛᎿ
∞ ᎢᎪᎯᏓ ᎨᏒ, ᎢᎪᎯᏓ ᎨᏒ ᎪᏪᎶᏗ
∩ ᏧᏓᏂᏝᏅ, ᏧᏠᎯᏍᏗ
∪ ᎤᏓᏂᏝᏅ, ᏌᏊ ᎤᎾᎵᎪᎯ, ᏧᏓᏂᏝᏅ
≡ ᎤᏠᏱ, ᏦᎢ ᎢᏳᏩᎪᏗ, ᏧᏠᏱ, ᏧᏠᏱ ᎾᎿ
⊂ ᎢᎦᏓᏊ, ᎢᎦᏓᏊ ᎾᎿ, ᏧᏓᏂᏝᏅ
▲ ᎠᎧᎵᎸᎯ, ᎠᎧᎵᎸᎯ ᎦᎸᎳᏗ-ᏦᎢ ᏧᏅᏏᏯ, ᎦᎸᎳᏗ, ᎦᏝᏗ, ᏦᎢ ᏧᏅᏏᏯ
▼ ᎠᎧᎵᎸᎯ, ᎠᎧᎵᎸᎯ ᎡᎳᏗ-ᏦᎢ ᏧᏅᏏᏯ, ᎦᏝᏗ, ᏦᎢ ᏧᏅᏏᏯ
◊ ᎤᏙᏢᏒ, ᎪᏍᏓᏯ, ᎪᏍᏓᏱ
○ ᎠᎵᏰᏑᏍᏔᏬ, ᎤᏒᏙᏂ ᎦᏐᏆᎳ, ᎦᏐᏆᎳ
● ᎠᎧᎵᎸᎯ ᎦᏐᏆᎳ, ᎦᏐᏆᎳ
