{ Brákẹt, Brákẹt Wé Rizẹ́mbúl Gọl Bẹd Im Wing, Bres, Gọ́lwing, Kọ́rlí Brákẹt, Kọ́rlí Bres, Ópún Kọ́rlí Brákẹt
🏻 Laít Skín Ton, Skín Ton, Taip 1–2
🏼 Mídíọ́m-Laít Skín Ton, Skín Ton, Taip 3
🏽 Mídíọ́m Skín Ton, Skín Ton, Taip 4
🏾 Mídíọ́m Dák Skín Ton, Skín Ton, Taip 5
🏿 Dák Skín Ton, Skín Ton, Taip 6
_ Dash, Lain, Ló Dash, Ló Lain, Ọndadash, Ọndalain
- Dash, Haífun, Haífun-Mainọs, Kọmọt, Mainọs, Rimuv
‐ Dash, Haífun
– Dash, Ẹ́n
— Dash, Ẹ́m
― Baa, Dash, Horizóntál Baa, Lain
・ Dọt-dẹm, Dọts, Intapọnkt, Katákána Mídúl Dọt, Míddọt, Mídúl Dọt
, Kọmá
، Arábik, Arábík Kọmá, Kọmá
、 Idiográfik, Idiográfík Kọmá, Kọmá
; Sẹmí-kólọn, Sẹmíkólọn
؛ Arábik, Arábík Sẹmíkólọn, Sẹmí-kólọn
: Kólọn
! Bang, Ẹksklaméshọn, Ẹksklaméshọn Mak, Ẹksklaméshọn Pọint
¡ Bang, Ẹksklaméshọn, Ẹksklaméshọn Mak, Ẹksklaméshọn Pọint, Ọ́psaíd-daun, Ọ́psaíd-daún Ẹksklaméshọn Mak
? Kwẹ́shọn, Kwẹshọn Mak
¿ Kwẹ́shọn, Kwẹ́shọn Mak, Ọ́psaíd-daun, Ọ́psaíd-daún Kwẹ́shọn Mak
؟ Arábik, Arábík Kwẹ́shọn Mak, Kwẹ́shọn, Kwẹ́shọn Mak
. Dọt, Fúl Stọp, Píriọd
… Dọt-dẹm, Dọts, Ẹlípsis, Omíshọn
。 Fúl Stọp, Idiográfík, Píriọd
· Dọt, Intapọnkt, Míddọt, Mídul, Mídúl Dọt
' Apọ́strọ́fi, Kwot, Síngúl Kwot, Taipraítá Apọ́strọ́fi
‘ Apọ́strọ́fi, Kwot, Lẹ́ft Apọ́strọ́fi, Síngúl Kwot, Smát Kwot
’ Apọ́strọ́fi, Kwot, Raít Apọ́strọ́fi, Síngúl Kwot, Smát Kwot
‚ Apọ́strọ́fi, Kwot, Ló Kwot, Ló Raít Apọ́strọ́fi
“ Dọ́búl Kwot, Kwot, Kwotéshọn, Lẹ́ft Kwotéshọn Mak, Smát Kwotéshọn
” Dọ́búl Kwot, Kwot, Kwotéshọn, Raít Kwotéshọn Mak, Smát Kwotéshọn
„ Dọ́búl Kwot, Kwot, Kwotéshọn, Ló Raít Kwotéshọn Mak, Smát Kwotéshọn Ló Kwotéshọn
« Ángul, Brákẹt-dẹm, Gílmẹ́t Mak Wé De Pọínt Lẹft, Kárẹt-dẹm, Kwot, Lẹft, Shẹ́vrọn
» Ángul, Brákẹt-dẹm, Gílmẹ́t Mak Wé De Pọínt Rait, Kárẹt-dẹm, Kwot, Rait, Shẹ́vrọn
) Brákẹt, Klóz Brákẹt, Parẹ́n, Parẹ́ns, Parẹ́ntẹsis, Raúnd Brákẹt
[ Brákẹt, Króchẹt, Ópún Skweá Brákẹt, Skweá Brákẹt
] Brákẹt, Klóz Skweá Brákẹt, Króchẹt, Skweá Brákẹt
} Brákẹt, Brákẹt Wé Rizẹ́mbúl Gọl Bẹd Im Wing, Bres, Gọ́lwing, Klóz Kọ́rlí Brákẹt, Kọ́rlí Brákẹt, Kọ́rlí Bres
〈 Ángúl Brákẹt, Brákẹt, Dáyámọ́nd Brákẹt-dẹm, Ópún Ángúl Brákẹt, Pọíntí Brákẹt, Shẹ́vrọn, Tọ́pul
〉 Ángúl Brákẹt, Brákẹt, Dáyámọ́nd Brákẹt-dẹm, Klóz Ángúl Brákẹt, Pọíntí Brákẹt, Shẹ́vrọn, Tọ́pul
《 Brákẹt, Dọ́búl Ángúl Brákẹt, Ópún Dọ́búl Ángúl Brákẹt
》 Brákẹt, Dọ́búl Ángúl Brákẹt, Klóz Dọ́búl Ángúl Brákẹt
「 Brákẹt, Kọ́ná Brákẹt, Ópún Kọ́ná Brákẹt
」 Brákẹt, Klóz Kọ́ná Brákẹt, Kọ́ná Brákẹt
『 Brákẹt, Brákẹt Wé Gẹ́t Hol, Kọ́ná Brákẹt Wé Gẹ́t Ópún Hol
』 Brákẹt, Kọ́ná Brákẹt Wé Gẹ́t Hol, Kọ́ná Brákẹt Wé Gẹ́t Klóz Hol
【 Brákẹt, Lẹ́ns Brákẹt, Lẹntíkúlá Brákẹt, Ópún Blák Lẹ́ns Brákẹt
】 Brákẹt, Klóz Blák Lẹ́ns Brákẹt, Lẹ́ns Brákẹt, Lẹntíkúlá Brákẹt
〔 Brákẹt, Ópún Tọ́tọis Shẹl Brákẹt, Shẹ́l Brákẹt, Tọ́tọis Shẹl Brákẹt
〕 Brákẹt, Klóz Tọ́tọis Shẹl Brákẹt, Shẹ́l Brákẹt, Tọ́tọis Shẹl Brákẹt
〖 Brákẹt, Hol Lẹntíkúlá Brákẹt, Lẹ́ns Brákẹt Wé Gẹ́t Hol, Lẹ́ns Brákẹt Wé Gẹ́t Ópún Hol
〗 Brákẹt, Hol, Lẹ́ns Brákẹt Wé Gẹ́t Hol, Lẹ́ns Brákẹt Wé Gẹ́t Klóz Hol, Lẹntíkúlá Brákẹt
§ Párágraf, Pat, Sẹ́kshọn, Sílkroo
¶ Alínia, Niú Párágráf Mak, Páraf, Párágraf, Párágráf Mak, Pílkro
@ Ámpasat, Aróba, Árobez, At Mak, At Sain, Át-sain, Kọmáshál At, Strúdẹl
* Astẹ́risk, Sta, Waíldkad
/ Hit Sọ́mbọ́di ọ Sọ́mtin Vẹ́rí Had, Oblik, Slash, Sọ́lídus, Strok, Vẹ́giul, Wak
\ Bákslash, Hit Sọ́mbọ́di ọ Sọ́mtin Vẹ́rí Had, Rivas, Sọ́lídus, Wak
& Ámpásand, Ámpásand Na Dís Sain: &amp;, An, Ẹt
# Hash, Hásh Sain, Háshtag, lb, Nọ́mba, Paund
% Pa Sẹnt, Pa-sẹnt, Pasẹnt, Wọ́n Pat Fọ Ẹ́vrí Wọ́n Họ́ndrẹd
‰ Pa Mil, Pa Wọ́n Taúzan, Pamil, Wọ́n Pat Fọ Ẹ́vrí Wọ́n Taúzan
† Dága, Dága Sain, Óbẹlisk, Óbẹ́lus
‡ Dága, Dọ́búl, Dọ́búl Dága Sain, Óbẹlisk, Óbẹ́lus
• Búlẹt, Dọt
‧ Dash, Haífún, Haífún-Jọín Pọint, Pọint
′ Praim
″ Dọ́búl Praim, Praim
‴ Praim, Tírí Praim
※ Rẹ́frẹ́ns Mak
` Áksẹnt, Grev, Grév Áksẹnt, Ton
´ Ákiut, Ákiút Áksẹnt, Áksẹnt, Ton
^ Áksẹnt, Hat, Kọntrol, Pọínta, Sẹ́kọ́mflẹks, Shẹ́vrọn, Wẹj
¨ Dayẹ́rẹ́sis, Trẹ́ma, Úmlaut
° Áwa, Digrii, Pruv
℗ Kọ́pírait, Kọ́pírait Fọ Rẹ́kọ́dín Saund, Rẹ́kọ́din, Saund
← Áro, Áro Wé De Pọínt Lẹft, Lẹft
→ Áro, Áro Wé De Pọínt Rait, Rait
↑ Áro, Áro Wé De Pọínt Ọp, Ọp
↓ Áro, Áro Wé De Pọínt Daun, Daun
⇅ Áro, Áro Wé De Pọínt Ọp An Áro Wé De Pọínt Daun, Daun, Ọp, Pọínt Ọ́p Áro An Pọínt Daún Áro
⇆ Áro, Áro Wé De Pọínt Lẹft Ọn Tọ́p Áro Wé De Pọínt Rait, Áro Wé De Pọínt Lẹft Ọn Tọ́p Raít Aro, Lẹft, Rait
∆ Ínkrímẹnt, Tráyángul
∇ Nábla, Tráyángul
∈ Ẹ́lẹ́mẹnt, Ẹ́lẹ́mẹ́nt Ọf, Kọnten, Mẹ́mbáship, Sẹt
+ Ad, Plọs, Plọ́s Sain
± Plọs-Maínọs
÷ Divaid, Divaíd Sain, Divíshọn, Divíshọ́n Sain, Ọbẹ́lus
× Mọltiplai, Mọltiplai Sain, Taims
< Ópún Tag, Smọ́l-pas, Tag
= Íkwọl, Íkwọ́ls To
≠ Nọ́ Dé Íkwọl, Nọ́ Dé Íkwọ́ls To
> Bíg-pas, Klóz Tag, Tag
¬ Ẹzáktlí Ópózit, Ẹzáktlí Ópózit Ọf Sọ́mtin, Nọt
| Baa, Lain, Lain Wé Dẹm Drọ́ Frọm Ọ́p To Bọtọm, Shẹ́fá Strok, Stik, Strok, Waíd Lain, Waíd Lain Wé Dẹm Drọ́ Frọm Ọ́p To Bọtọm
~ Tíldẹ
− Kọmọt, Maínọs, Maínọ́s Sain, Rimuv
