{ eckige Klammer
🏻 Hautfarbe, Hauttyp 1–2, helle Hautfarbe
🏼 Hautfarbe, Hauttyp 3, mittelhelle Hautfarbe
🏽 Hautfarbe, Hauttyp 4, mittlere Hautfarbe
🏾 Hautfarbe, Hauttyp 5, mitteldunkle Hautfarbe
🏿 dunkle Hautfarbe, Hautfarbe, Hauttyp 6
‾ Überstrich
_ Unterstrich
- Bindestrich, Bindestrich-Minus, Divis, Minuszeichen, Trennstrich
‐ Bindestrich
– Halbgeviertstrich, Langstrich, N-Dash, Strich
— Geviertstrich, Strich
― Gedankenstrich, Halbgeviertstrich, Strich, waagerechter Strich
・ Katakana, Katakana-Mittelpunkt, Mediopunkt, Mittelpunkt, Punkt auf Mitte
, Beistrich, Komma
، arabisch, arabisches Komma, Komma
、 ideografisch, ideografisches Komma, Komma
; Semikolon, Strichpunkt
؛ arabisches Semikolon, Filament Manque, Semikolon, umgekehrtes Semikolon
: Doppelpunkt
! Ausrufezeichen, Ausrufungszeichen
¡ Ausruf, Ausrufezeichen, spanisch, umgekehrt, umgekehrtes Ausrufezeichen
? Frage, Fragezeichen
¿ Frage, Fragezeichen, spanisch, umgekehrt, umgekehrtes Fragezeichen
؟ arabisch, arabisches Fragezeichen, Frage, Fragezeichen, spiegelverkehrt
‽ Interrobang
. Punkt
… Ellipse
。 ideografischer Punkt, Punkt, Schlusspunkt
· Halbhochpunkt, Mittelpunkt, Punkt
' Anführungszeichen, Apostroph, einfaches Anführungszeichen oben, gerader Apostroph
‘ Anführungszeichen oben, Apostroph, Apostroph links, einfaches Anführungszeichen oben, Hochkomma
’ Anführungszeichen oben, Apostroph, Apostroph rechts, einfaches Anführungszeichen oben, Hochkomma
‚ Anführungszeichen unten, Apostroph, Apostroph rechts unten, einfaches Anführungszeichen unten, Tiefkomma
“ Anführung, doppeltes Anführungszeichen, öffnendes doppeltes Anführungszeichen oben
” schliessendes doppeltes Anführungszeichen
