{ oop-krulhakie
🏻 kleur, ligte velkleur, vel, velkleur, veltipe 1–2
🏼 kleur, medium-ligte velkleur, vel, velkleur, veltipe 3
🏽 kleur, medium velkleur, vel, velkleur, veltipe 4
🏾 kleur, medium-donker velkleur, vel, velkleur, veltipe 5
🏿 donker velkleur, kleur, vel, velkleur, veltipe 6
‾ oorheendruk, oorstreep, vinkulum
_ lyntjie, onder-streep, onderste streep
- koppelteken, koppelteken-minus, minus
‐ koppelteken, leesteken
– en, en-streep, streep
— em, em-streep, streep
― em-streep, horisontale balk, lyn
・ katakana, katakana-middelkol, kol, middelkol
, komma
، arabies, arabiese komma, komma
、 ideografies, ideografiese komma, komma
; kommapunt, leesteken
؛ arabies, arabiese kommapunt, kommapunt
: dubbelpunt, leesteken
! leesteken, uitroep, uitroepteken
¡ hard, omgekeerde uitroepteken, uitroepteken
? leesteken, vraag, vraagteken
¿ omgekeer, omgekeerde vraagteken, vraag
؟ arabies, arabiese vraagteken, leesteken, vraag
‽ kombinasie, uitroepteken, vraag- en uitroepteken, vraagroepteken, vraagteken
. kolletjie, punt
… beletselteken, ellips, kolletjies, weglating
。 ideografies, ideografiese punt, punt
· interpunkt, kol, middel, middelkol
' aanhaling, afkappingsteken, apostroof, enkelaanhaling, tikmasjien-apostroof
‘ aanhaling, apostroof links, begin, enkelaanhaling, slimaanhaling
’ aanhaling, apostroof regs, enkelaanhaling, slimaanhaling, sluit
‚ aanhalingsteken, apostroof, onderste aanhalingsteken, onderste regter-apostroof
“ aanhaling, begin, dubbelaanhaling, linkeraanhalingsteken, slimaanhaling
” aanhaling, dubbelaanhaling, regteraanhalingsteken, slimaanhaling, sluit
„ aanhaling, dubbelaanhaling, onder-aanhaling, onderste regter-enkelaanhaling, slimaanhaling
« chevron, hakes, hoek, inlastekens, links, links-guillemet, quote
» aanhaling, chevron, hakies, hoek, inlastekens, regs, regs-guillemet
) parentese, ronde hakie, sluithakie
[ oop-blokhakie
] blokhakie, hakie, sluit-blokhakie
} krulhakie, sluit, sluit-krulhakie
〈 oop-hoekhakie
〉 sluit-hoekhakie
《 oop-dubbelhoekhakie
》 dubbelhoekhakie, hakies, sluit-dubbelhoekhakie
「 oop-raamhakie
」 hakie, raamhakie, sluit, sluit-raamhakie
『 hol, oop, oop-holraamhakie, raamhakie
』 hol, raamhakie, sluit, sluit-holraamhakie
【 lenshakie, oop, oop-swartlenshakie, swart
】 hakie, lenshakie, sluit, sluit-swartlenshakie, swart
〔 dophakie, hakie, oop-skilpaddophakie, skilpaddophakie
〕 dophakie, hakie, skilpaddophakie, sluit-skilpaddophakie, sluithakie
〖 hol, lenshakie, oop, oop-hollenshakie
〗 hol, lenshakie, sluit, sluit-hollenshakie
§ afdeling, deel, paragraaf, silcrow
¶ alinea, paragraaf, paragraafteken
@ &quot;at&quot;-teken, aapstert, by
* asterisk, sterretjie
/ leesteken, skuins, skuinsstreep, streep, vorentoe, vorentoe-skuinsstreep
\ agtertoe, agtertoe-skuinsstreep, leesteken, skuins, streep
& ampersand, en, et
# huts, hutsmerk, nommer, pond
% persent, persentasie
‰ permil, permille
† dolk, dolkteken, obelisk, obelus
‡ dolk, dubbel, dubbeldolkteken, obelisk, obelus
• kol
‧ koppelteken, koppeltekenpunt, punt, streep
′ priem
″ dubbelpriem, priem
‴ priem, trippelpriem
‸ inlasteken, invoeg, uitlatingsaanwysing
※ verwysing, verwysingsteken
⁂ asteriske, asterisme, drie sterretjies
` aksent, gravis, gravisaksent, toon
´ aksent, akuut, akuutaksent, toon
^ kappie, mag, sirkumfleks, wiggie
¨ deelteken, diërese, leesteken, umlaut
° graad, proef, uur
℗ klank, kopiereg, kopiereg vir klankopname, opname
← links, linkswysende pyltjie, pyltjie
↚ links, pyl, pyl na links met streep, streep
→ pyltjie, regs, regswysende pyltjie
↛ pyl, pyl na regs met streep, regs, streep
↑ op, opwysende pyltjie, pyltjie
↓ af, afwysende pyltjie, pyltjie
↜ golwende, golwende pyl na links, linker, links, pyl
↝ golwende, golwende pyl na regs, pyl, regs, regter
↞ dubbelkop, dubbelkoppyl na links, linker, links, pyl
↟ boontoe, dubbelkop, dubbelkoppyl na bo, op, pyltjie
↠ dubbelkop, dubbelkoppyl na regs, pyltjie, regs, regter
↡ af, dubbelkop, dubbelkoppyl na onder, ondertoe, pyltjie
↢ links, na links, pyl met stert, pyl met stert na links
↣ na regs, pyl met stert, pyl met stert na regs, regs
↤ balk, links, pyl, pyl na links vanaf balk
↥ balk, boontoe, na bo, pyl, pyl na bo vanaf balk
↦ balk, pyl na regs, pyl na regs vanaf balk, regs
↧ af, balk, pyl na onder, pyl na onder vanaf balk
↨ basis, op en af, pyl op en af, pyl op en af met basis
↫ links, lus, na links, pyl, pyl na links met lus
↬ lus, na regs, pyl, pyl na regs met lus, regs
↭ golwende, golwende pyl links en regs, links en regs, pyl
↯ kronkel, sigsag, sigsag pyl na onder
↰ na links, opwaarts, opwaartse pylpunt na links, pylpunt
↱ na regs, opwaarts, opwaartse pylpunt na regs, pylpunt
↲ afwaarts, afwaartse pylpunt na links, na links, pylpunt
↳ afwaarts, afwaartse pylpunt na regs, na regs, pylpunt
↴ ondertoe, pylhoek, pylhoek na regs ondertoe, regs
↵ links, ondertoe, pylhoek, pylhoek na links ondertoe
↶ boonste, halfsirkel, pyl, teenkloksgewyse, teenkloksgewyse boonste halfsirkelpyl
↷ boonste, halfsirkelpyl, kloksgewyse
↸ lang balk, noordwes, noordwes-pyl met lang balk, pyl
↹ bo-op, na links, na regs, pylbalk, pylbalk na links bo-op pylbalk na regs
↺ oopsirkel, pyl, teenkloksgewyse, teenkloksgewyse oopsirkelpyl
↻ kloksgewyse, kloksgewyse oopsirkelpyl, oopsirkel, pyl
↼ hoek, linkswaartse harpoenhoek na bo, stekel, weerhaak
↽ harpoenhoek, linkswaarts, linkswaartse harpoenhoek na onder, na onder, ondertoe
↾ hoek, opwaartse harpoenhoek na regs, stekel, weerhaak
↿ hoek, opwaartse harpoenhoek na links, stekel, weerhaak
⇀ hoek, regswaartse harpoenhoek na bo, stekel, weerhaak
⇁ hoek, regswaartse harpoenhoek na onder, stekel, weerhaak
⇂ afwaartse harpoenhoek na regs, hoek, stekel, weerhaak
⇃ afwaartse harpoenhoek na links, hoek, stekel, weerhaak
⇄ bo-op, na links, na regs, pyl, pyl na regs bo-op pyl na links
⇅ af, op, opwysende en afwysende pyltjies, pyltjie
⇆ links, linkswysende oor regswysende pyltjies, pyltjie, regs
⇇ gepaarde, gepaarde pyle na links, links, na links, pyle
⇈ boontoe, gepaarde, gepaarde pyle na bo, na bo, opwaarts, pyle
⇉ gepaarde, gepaarde pyle na regs, na regs, pyle
⇊ afwaarts, gepaarde, gepaarde pyle na onder, na onder, ondertoe, pyle
⇋ bo-op, harpoen, harpoen na links bo-op harpoen na regs, na links, na regs
⇌ bo-op, harpoen, harpoen na regs bo-op harpoen na links, na links, na regs
⇐ dubbel, dubbelpyl, dubbelpyl na links, na links, pyl
⇍ deurgehaalde, dubbelpyl, dubbelpyl na links met streep, met streep, na links
⇑ boontoe, dubbelpyl, dubbelpyl na bo, na bo, op
⇒ dubbelpyl, dubbelpyl na regs, na regs, regswaarts
⇏ deurgehaalde, dubbelpyl, dubbelpyl na regs met streep, met streep, regswaarts
⇓ afwaarts, dubbelpyl, dubbelpyl na onder, na onder, ondertoe
⇔ dubbel, dubbelpyl, dubbelpyl links en regs, links en regs, pyl
⇎ deurgehaalde, dubbelpyl, dubbelpyl links en regs met streep, links en regs, met streep
⇖ dubbel, dubbelpyl, noordwes, noordwes-dubbelpyl, pyl
⇗ dubbel, dubbelpyl, noordoos, noordoos-dubbelpyl, pyl
⇘ dubbel, dubbelpyl, pyl, suidoos, suidoos-dubbelpyl
⇙ dubbel, dubbelpyl, pyl, suidwes, suidwes-dubbelpyl
⇚ driedubbele, driedubbele pyl na links, linkswaarts, na links, pyl
⇛ driedubbele, driedubbele pyl na regs, na regs, pyl, regswaarts
⇜ na links, opgewende, opgewende pyl na links, pyl
⇝ na regs, opgewende, opgewende pyl na regs, pyl
⇞ met twee strepe, na bo, opwaarts, pyl, pyl na bo met twee strepe
⇟ af, afwaartse, met twee strepe, na onder, pyl, pyl na onder met twee strepe
⇠ gestippelde, gestippelde pyl na links, na links, pyl
⇡ gestippelde, gestippelde pyl na bo, na bo, opwaartse, pyl
⇢ gestippelde, gestippelde pyl na regs, na regs, pyl, regswaartse
⇣ afwaartse, gestippelde, gestippelde pyl na onder, na onder, pyl
⇤ linkswaarts, na links, pylbalk, pylbalk na links
⇥ na regs, pylbalk, pylbalk na regs, regswaartse
⇦ hol, hol pyl na links, linkswaartse, na links, pyl
⇧ hol, hol pyl na bo, na bo, opwaartse, pyl
⇨ hol, hol pyl na regs, na regs, pyl, regswaartse
⇩ afwaartse, hol, hol pyl na onder, na onder, pyl
⇪ hol, hol pyl na bo vanaf balk, na bo, pyl, vanaf balk
⇵ linkswaartse, pyl na bo, pyl na onder, pyl na onder en linkswaartse pyl na bo
∀ alles, enige, universeel, vir alles
∂ differensiaal, gedeeltelik differensiaal
∃ bestaan, daar
∅ leë stel, steloperator, wiskundig
∆ driehoek, vermeerdering
∇ driehoek, nabla
∈ bevat, element, element van, lidmaatskap, stel
∉ element, nie ‘n element nie
∋ bevat as ‘n lid, element
∎ eindbewys, grafsteen, halmos, q.e.d, QED, wat bewys moes word
∏ logika, n-êre produk, produk
∑ n-êre opsomming, opsomming, wiskunde, wiskundige
+ optel, plus, plusteken
± plus-minus
÷ deel, deelteken, deelteken wiskunde, deling, obelus
× maal, vermenigvuldig, vermenigvuldiging, vermenigvuldigteken
< kleiner as, merker, oop merker
≮ nie kleiner-as nie, ongelykheid, wiskunde, wiskundige
= gelyk, gelyk aan
≠ nie gelyk, ongelyk
