{ ਕੁੰਡਲਦਾਰ ਬਰੇਸ, ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ, ਖੁੱਲ੍ਹਾ ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ, ਗੁਲਵਿੰਗ, ਬਰੇਸ, ਬਰੈਕਟ
🏻 جلد دی رنگت, قسم 1–2, ہلکی رنگت آلی جلد
🏼 جلد دی رنگت, قسم 3, ہلکی درمیانی رنگت آلی جلد
🏽 جلد دی رنگت, درمیانی رنگت آلی جلد, قسم 4
🏾 جلد دی رنگت, درمیانی کالی رنگت آلی جلد, قسم 5
🏿 جلد دی رنگت, قسم 6, کالی رنگت آلی جلد
‾ ਪਾਠ ਦੇ ਉੱਤੇ ਖਿੱਚੀ ਰੇਖਾ
_ ਅੰਡਰਡੈਸ਼, ਅੰਡਰਲਾਈਨ, ਹੇਠਲੀ ਲੇਟਵੀਂ ਡੰਡੀ, ਡੈਸ਼, ਨੀਵੀਂ ਲੇਟਵੀਂ ਡੰਡੀ, ਨੀਵੀਂ ਲੇਟਵੀਂ ਰੇਖਾ, ਰੇਖਾ, ਲਾਈਨ
- ਸਮਾਸ ਚਿੰਨ੍ਹ, ਸਮਾਸ ਚਿੰਨ੍ਹ-ਮਨਫ਼ੀ, ਹਾਈਫ਼ਨ, ਘਟਾਅ ਚਿੰਨ੍ਹ, ਡੈਸ਼, ਮਨਫ਼ੀ, ਮਾਈਨਸ
‐ ਸਮਾਸ ਚਿੰਨ੍ਹ, ਹਾਈਫ਼ਨ, ਜੋੜਨੀ, ਡੈਸ਼
– ਐੰਨ, ਐੰਨ-ਡੈਸ਼, ਡੈਸ਼
— ਐਮ, ਡੈਸ਼
― ਡੰਡੀ, ਡੈਸ਼, ਰੇਖਾ, ਲਾਈਨ, ਲੇਟਵੀਂ ਡੰਡੀ
・ ਅੰਤਰ, ਕਾਟਾਕਾਨਾ, ਕਾਟਾਕਾਨਾ ਮੱਧ ਬਿੰਦੀ, ਬਿੰਦੀਆਂ, ਮੱਧ ਬਿੰਦੀ
, ਅਰਧ-ਵਿਸ਼ਰਾਮ ਚਿੰਨ੍ਹ, ਕਾਮਾ
، ਅਰਬੀ, ਕਾਮਾ
、 ਆਇਡੀਓਗ੍ਰਾਫ਼ਿਕ, ਕਾਮਾ, ਭਾਵ-ਲਿੱਪੀ, ਵਿਚਾਰ-ਲਿੱਪੀ
; ਸੈਮੀ-ਕਾਲਨ, ਸੈਮੀਕਾਲਨ
؛ ਅਰਬੀ, ਅਰਬੀ ਸੈਮੀਕਾਲਨ, ਸੈਮੀ-ਕਾਲਨ
: ਕਾਲਨ
! ਹੈਰਾਨੀ, ਹੈਰਾਨੀਵਾਚਕ ਚਿੰਨ੍ਹ, ਹੈਰਾਨੀਵਾਚਕ ਨਿਸ਼ਾਨ, ਹੈਰਾਨੀਵਾਚਕ ਨੁਕਤਾ, ਬੈਂਗ, ਵਿਸਮਕ ਚਿੰਨ੍ਹ
