{ ကွင်း, တွန့်ကွင်း, တွန့်ကွင်း အဖွင့်, တွန့်ကွင်းကောက်, ဘရေ့စ်
🏻 အမျိုးအစား ၁–၂, အသားဖြူရောင်, အသားအရေ
🏼 အမျိုးအစား ၃, အသားနုရောင်, အသားလတ်ရောင်, အသားအရေ
🏽 အမျိုးအစား ၄, အသားလတ်ရောင်, အသားအရေ
🏾 အမျိုးအစား ၅, အသားညိုရောင်, အသားလတ်ရောင်, အသားအရေ
🏿 အမျိုးအစား ၆, အသားမည်းရောင်, အသားမဲရောင်, အသားအရေ
_ တုံးရှည်, မျဉ်း, အောက်မျဉ်း
- တုံးတို, တုံးတို-အနှုတ်, အနှုတ်
‐ ဒက်ရှ်, မျဉ်းတို, မျဉ်းတို သင်္ကေတ
– မျဉ်း, မျဉ်းတို
— မျဉ်း, မျဉ်းရှည်
― တုံးရှည်, ဘား, မျဉ်း, ရေညီမျဉ်း
・ ခတခန, ခတခန အလယ် အစက်, အစက်များ, အလယ်ပုဒ်ဖြတ်, အလယ်အစက်
, ကော်မာ, ဗဟုဝုစ်ကိန်းပြ သင်္ကေတ
، ကော်မာ, အာရေဗျ
、 ကော်မာ, အရုပ်စာ, အရုပ်စာ ပုဒ်ဖြတ်
; ဆီမီး-ကော်လံ, ဆီမီးကော်လံ
؛ ဆီမီး-ကော်လံ, အာရေဗျ, အာရေဗျ ဆီမီးကော်လံ
: ကော်လံ
! ဘင်းဂ်, အာမေဍိတ်, အာမေဍိတ် သင်္ကေတ, အာမေဍိတ် အမှတ်အသား
¡ ပြောင်းပြန်, ဘင်းဂ်, အာမေဍိတ်, အာမေဍိတ် သင်္ကေတ, အာမေဍိတ်ပြောင်းပြန် သင်္ကေတ
? မေးခွန်း, မေးခွန်း အမှတ်အသား
¿ ပြောင်းပြန်, မေးခွန်း, မေးခွန်း အမှတ်အသား, မေးခွန်းပြောင်းပြန် အမှတ်အသား
؟ မေးခွန်း, မေးခွန်း အမှတ်အသား, အာရေဗျ, အာရေဗျ မေးခွန်း အမှတ်အသား
. ပုဒ်ထီး, အင်္ဂလိပ် ပုဒ်ထီး သင်္ကေတ, အစက်
… ချန်လှပ်ခြင်း, စာချန်ပြ သင်္ကေတ, စာချန်ပြ အမှတ်အသား, အစက်များ
。 ပုဒ်ထီး, အင်္ဂလိပ် ပုဒ်ထီး သင်္ကေတ, အရုပ်စာ ပုဒ်ထီး သင်္ကေတ
· အစက်, အလယ်, အလယ်စက်
' ဗဟုဝုစ်ကိန်း သင်္ကေတ, မျက်တောင်တစ်ထပ် သင်္ကေတ, မျက်တောင်ဖွင့်ပြ သင်္ကေတ, လက်နှိပ်စက် မျက်တောင်ဖွင့်ပြ သင်္ကေတ
‘ ကိုးကားချက်ပြ သင်္ကေတ, စမတ် မျက်တောင်ဖွင့် သင်္ကေတ, ဘယ်စောင်း ဗဟုဝုစ်ကိန်းပြ သင်္ကေတ, မျက်တောင်တစ်ထပ် သင်္ကေတ
’ စမတ် မျက်တောင်ဖွင့် သင်္ကေတ, ညာစောင်း ဗဟုဝုစ်ကိန်းပြ သင်္ကေတ, မျက်တောင်တစ်ထပ် သင်္ကေတ, မျက်တောင်ဖွင့်ပြ သင်္ကေတ
‚ ညာဘက်အောက် ဗဟုဝုစ်ကိန်း သင်္ကေတ, ဗဟုဝုစ်ကိန်းပြ သင်္ကေတ, မျက်တောင်ဖွင့်ပြ သင်္ကေတ, အောက်ဘက်ရှိ မျက်တောင်ဖွင့် သင်္ကေတ
