🏻 kiri āhua, kiri āhua māmā, momo 1–2
🏼 kiri āhua, kiri āhua māmā-waenga, momo 3
🏽 kiri āhua, kiri āhua waenga, momo 4
🏾 kiri āhua, kiri āhua waenga-parauri, momo 5
🏿 kiri āhua, kiri āhua parauri, momo 6
‾ tapae
‽ interrobang
‸ kātete
⁂ hakiraki
😀 kanohi, pakiri
😃 kanohi, menemene, tuwhera, waha
😄 kanohi, kanohi menemene waha tuwhera me ngā karu menemene, karu, menemene, tuwhera, waha
😁 kanohi, karu, menemene, pakiri
😆 kanohi, kanohi menemene waha tuwhera me ngā karu kopi, kata, menemene, ngata, tuwhera, waha
😅 kanohi, kanohi menemene waha tuwhera me te werawera mātao, mātao, menemene, tuwhera, werawera
🤣 kanohi, katakata, papa, takaoriori, takaoriori ana i te papa me te katakata
😂 harikoa, kanohi, kata, roimata
🙂 kanohi, kanohi menemene iti, menemene
🙃 huripoki, kanohi
😉 kanohi, kanohi kimokimo, kimo
😊 kanohi, karu, menemene, mumura
😇 anahera, āwheo, hēkore, kanohi, kanohi menemene whai āwheo, kōrero pakiwaitara, menemene, moemoeā
😍 aroha, kanohi, kanohi menemene karu-manawa, karu, menemene
🤩 kanohi, karu, pakiri, tino mīharotia, whetū
😘 kanohi, kanohi pupuhi kihi, kihi
😗 kanohi, kanohi kihikihi, kihi
☺ kanohi, menemene, pārohe, whakahuahua
😚 kanohi, kanohi kihikihi karu kopi, karu, kihi, kopi
😙 kanohi, kanohi kihikihi karu menemene, karu, kihi, menemene
😋 ā, kanohi, kanohi tāwara kai reka, menemene, reka, tāwara, um
😛 arero, kanohi, kanohi whātero
😜 arero, hangarau, kanohi, kanohi whātero karu kimokimo, karu, kimo
🤪 iti, kanohi pōrangi, karu, rahi
😝 arero, kanohi, kanohi whātero karu kopi, karu, tāwara, weriweri
🤑 kanohi, kanohi waha-moni, moni, waha
🤗 awhi, awhiawhi, kanohi
🤭 aue, kanohi ringa runga waha
🤫 hū, kanohi whakahū, turituri
🤔 kanohi, whakaaroaro
🤐 kanohi, kanohi waha-kōtui, kōtui, waha
🤨 kaitaunu, kanohi tukemata rewa, matakana
😐 kanohi, kūpapa, whakaririka
😑 kanohi, kore ngangahau, whakaririka
😶 hū, kanohi, kanohi kore waha, ngū, waha
😏 kanohi, tāpahi
😒 kanohi, katakore, pōuri
🙄 kanohi, karu, takahuri
😬 kanohi, whāita
🤥 kanohi, pinōkio, teka
😌 kanohi, whakaoraora
😔 kanohi, kanohi whakaaro, pāpōuri, whakaaroaro
😪 kanohi, kanohi hiamoe, moe
🤤 hāware, kanohi
😴 kanohi, moe, zzz
😷 ārai, kanohi, kanohi mau ārai rongoā, mātao, mate, rata, rongoā
🤒 inemahana, kanohi, kanohi whai inemahana, mate, māuiui
🤕 kanohi, kanohi mau takai-upoko, mamae, takai, whara
🤢 kanekane, kanohi, ruaki
🤮 kanohi ruaki, mate, ruaki
🤧 kanohi, matihe, ngā manaaki
😵 kanohi, takaanini
🤯 māhunga pahū, oho
🤠 kanohi, kauhine, kaupoi, pōtae
😎 kanapa, kanohi, kanohi menemene mau mōhitirā, karu, menemene, mōhiti, mōhitirā, rā, rawe
🤓 kanohi, kīki, nere
🧐 kanohi mau mōhititahi, māuiui
😕 kanohi, pōraru
😟 āwangawanga, kanohi
🙁 kanohi, kanohi āhua poururu, poururu
☹ kanohi, poururu
😮 aroha, kanohi, tuwhera, waha
😯 hanea, kanohi, mae, ohorere
😲 kanohi, katoa, oho, ohorere
😳 kanohi, pōro, werawera
😦 kanohi, poururu, tuwhera, waha
😧 aurere, kanohi
😨 kanohi, mataku, wehi, wewehi
😰 kanohi, kanohi waha tuwhera me te werawera mātao, kikorangi, mātao, tuwhera, waha, werawera, whāwhai
😥 kanohi, kanohi pāpouri engari whakaoraora, pāpōuri, whakaoraora, whiu
😢 kanohi, kanohi tatangi, pōuri, roimata, tangi
😭 hotu, kanohi, kanohi tangi reonui, pōuri, roimata, tangi
😱 kanohi, kanohi ūmere i te wehi, mataku, ngangau, ūmere, wehi, wewehi
😖 kanohi, whakahēhē
😣 kanohi, pāuaua
😞 kanohi, pāpōuri
😓 kanohi, mātao, werawera
😩 kanohi, ngenge, ruha
😫 kanohi, ngenge
😤 kanohi, kanohi ihu korohū, toa, wini
😡 kanohi, nguha, pōrangi, riri, tupere, whero
😠 kanohi, pōrangi, riri
🤬 kanga ana, kanohi tohu runga waha
😈 kanohi, kanohi menemene whai pihi, kōrero pakiwaitara, menemene, moemoeā, pihi
👿 kanohi, kanohi riri whai pihi, kōrero pakiwaitara, moemoeā, patupaiarehe, rēwera, tēmoni
💀 angaanga, kanohi, kōrero pakiwaitara, mate, taniwha
☠ angaanga, angaanga me ngā kōiwi-whiri, kanohi, kōiwi-whiri, mate, taniwha
💩 kanohi, putunga tiko, tae, taniwha, tiko, tūtae, whakakata
🤡 hangareka, kanohi
👹 kanohi, kaurehe, kīrehe, kōrero pakiwaitara, moemoeā, taniwha
👺 kanohi, kīrehe, kōrero pakiwaitara, moemoeā, taipō, taniwha
👻 kanohi, kēhua, kīrehe, kōrero pakiwaitara, moemoeā, taniwha
