{ ដង្កៀបអង្កាញ់, បើក, បើកដង្កៀបអង្កាញ់
🏻 ប្រភេទទី 1–2, សម្បុរ, សម្បុរស
🏼 ប្រភេទទី 3, សម្បុរ, សម្បុរសល្មម
🏽 ប្រភេទទី 4, សម្បុរ, សម្បុរស្រអែម
🏾 ប្រភេទទី 5, សម្បុរ, សម្បុរខ្មៅល្មម
🏿 ប្រភេទទី 6, សម្បុរ, សម្បុរខ្មៅ
‾ បន្ទាត់គូសពីលើ, សញ្ញាបន្ទាត់គូសពីលើ
_ បន្ទាត់ខាងក្រោម, សញ្ញាគូសក្រោម
- ដក, សហសញ្ញា, សហសញ្ញា-ដក
‐ សញ្ញាដកឃ្លា, សហសញ្ញា
– តូច, សញ្ញាដក, សញ្ញាដកតូច
— ធំ, សញ្ញាដក, សញ្ញាដកធំ
― បន្ទាត់, ផ្ដេក, របារ, របារផ្ដេក
・ ចុចកណ្ដាល, សញ្ញាចុចកណ្ដាល
, ក្បឿស, ក្បៀស, សញ្ញាក្បៀស
، ក្បៀស, ក្បៀសអារ៉ាប់, អារ៉ាប់
、 ក្បៀស, ក្បៀសតាង, សញ្ញាតាង
; ក្បៀស, ចំណុច, ចំណុចក្បៀស
؛ ចំណុចក្បៀស, ចំណុចក្បៀសអារ៉ាប់, អារ៉ាប់
: ចុចពីរ
! ឧទាន, ឧទានសញ្ញា
¡ ឧទានបញ្ច្រាស់, ឧទានសញ្ញាបញ្ច្រាស់
? សញ្ញាសួរ, សួរ
¿ បញ្ច្រាស់, សញ្ញាសួរ, សញ្ញាសួរបញ្ច្រាស់
؟ សញ្ញាសួរ, សញ្ញាសួរអារ៉ាប់, អារ៉ាប់
‽ សញ្ញាអាំងទែរ៉ូបាំង, អាំងទែរ៉ូបាំង
. សញ្ញាខណ្ឌ, សញ្ញាចុច
… ចុចបី, សញ្ញា, សញ្ញាចុចបី
。 សញ្ញាខណ្ឌ, សញ្ញាខណ្ឌតាង, សញ្ញាតាង
· កណ្ដាល, ចុចកណ្ដាល, សញ្ញាចុច, សញ្ញាចុចកណ្ដាល
' អាប៉ូស្ត្រូបទោល, អាប៉ូស្ត្រូបអង្គុលីលេខ
