{ дужка, пачатковая, фігурная
🏻 колер скуры, светлы тон скуры, тып 1–2
🏼 колер скуры, сярэднясветлы тон скуры, тып 3
🏽 колер скуры, сярэдні тон скуры, тып 4
🏾 колер скуры, сярэдняцёмны тон скуры, тып 5
🏿 колер скуры, тып 6, цёмны тон скуры
‾ верхняя рыса
_ лінія, ніжняе, падкрэсліванне, рыса
- дэфіс, злучок, злучок-мінус, мінус
‐ дэфіс, злучок
– кароткі, працяжнік
— доўгі, працяжнік
― гарызантальная, лінія, працяжнік
・ катакана, кропка, сярэдняя, сярэдняя кропка катаканы
, коска
، арабская, коска
、 ідэаграфічная, коска
; з, коскай, кропка
؛ арабская, з, коскай, кропка
: двукроп’е
! вокліч, знак, клічнік
¡ вокліч, знак, клічнік, перавернуты
? знак пытальніка, пытальнік
¿ перавернуты, пытальнік, пытанне
؟ арабскі, пытальнік, пытанне
‽ інтэрабанг, лігатура клічніка і пытальніка
. кропка
… кропкі, шматкроп’е
。 ідэаграфічная, кропка
· інтэрпункт, кропка, сярэдняя
' аднакоссе, апостраф, машынапісны
‘ аднакоссе, апостраф, левы, пачатковае
’ аднакоссе, апостраф, канцавое, правы
‚ аднакоссе, апостраф, левае, левы, ніжні
“ двукоссе, левае
” двукоссе, правае
„ двукоссе, ніжняе, правае
« вугалкі, вуглавое, двукоссе, елачка, левае двукоссе, левае французскае двукоссе, улева, французскае, шаўрон, ялінка
» вугалкі, вуглавое, двукоссе, елачка, правае двукоссе, правае французскае двукоссе, управа, французскае, шаўрон, ялінка
) дужка, канцавая, круглая
[ дужка, квадратная, пачатковая
] дужка, канцавая, квадратная
} дужка, канцавая, фігурная
〈 вуглавая, дужка, пачатковая
〉 вуглавая, дужка, канцавая
《 вуглавая, двайная, дужка, пачатковая
》 вуглавая, двайная, дужка, канцавая
「 вертыкальная, дужка, пачатковая
」 вертыкальная, дужка, канцавая
『 вертыкальная, дужка, незафарбаваная, пачатковая
』 вертыкальная, дужка, канцавая, незафарбаваная
【 дужка, зафарбаваная, лінзападобная, пачатковая
】 дужка, зафарбаваная, канцавая, лінзападобная
〔 дужка, панцыр чарапахі, пачатковая, чарапашая
〕 дужка, канцавая, панцыр чарапахі, чарапашая
〖 дужка, лінзападобная, незафарбаваная, пачатковая
〗 дужка, канцавая, лінзападобная, незафарбаваная
§ глава, параграф, раздзел, частка
¶ абзац, знак, знак параграфа, параграф
@ камерцыйнае at, камерцыйнае эт, сабака, слімак
* астэрыск, зорачка, спецыяльны сімвал
/ касая, нахіленая, рыса, слэш
\ адваротная, бэкслэш, касая, нахіленая, рыса
& амперсанд, ды, і
# актаторп, нумар, рашотка, фунт, хэш
% адсотак, працэнт
‰ праміле, тысячная доля
† абеліск, друкарскі крыжык, кінжал, крыжык
‡ абеліск, двайны, двайны друкарскі крыжык, кінжал, крыжык
• кропка, маркер
‧ злучок, кропка, кропка пераносу, перанос
′ штрых
″ двайны штрых, штрых
‴ трайны штрых, штрых
‸ стрэшка
※ знак, знак зноскі, зноска
⁂ астэрызм, тры зоркі
` гравіс, націск, тон
´ акут, націск, тон
^ клін, націск, стрэшка, цыркумфлекс, шаўрон
¨ трэма, умляўт
° вугал, градус, мацунак
℗ аўдыя, аўтарскае права, аўтарскае права на аўдыязапіс, гук, запіс
← стрэлка, стрэлка, скіраваная ўлева, улева
↚ стрэлка ўлева з рысай
→ стрэлка, стрэлка, скіраваная ўправа, управа
↛ стрэлка ўправа з рысай
↑ стрэлка, стрэлка, скіраваная ўверх, уверх
↓ стрэлка, стрэлка, скіраваная ўніз, уніз
↜ хвалістая стрэлка ўлева
↝ хвалістая стрэлка ўправа
↞ стрэлка ўлева з двума канцамі
