{ कोष्ठक, खुला धनुकोष्ठक, गुलविंग, घुमाउरो ब्रेस, धनुकोष्ठक, ब्रेस
🏻 इमोजी परिमार्जक, छाला, छालाको प्रकार-१-२, टोन, फिटपाट्रिक
🏼 इमोजी परिमार्जक, छाला, छालाको प्रकार-३, टोन, फिटपाट्रिक
🏽 इमोजी परिमार्जक, छाला, छालाको प्रकार-४, टोन, फिटपाट्रिक
🏾 इमोजी परिमार्जक, छाला, छालाको प्रकार-५, टोन, फिटपाट्रिक
🏿 इमोजी परिमार्जक, छाला, छालाको प्रकार-६, टोन, फिटपाट्रिक
‾ माथितिरको धर्का, माथितिरको रेखा, रेखा
_ अन्डरड्याश, अन्डरलाइन, ड्याश, तल्लो भागको ड्याश, तल्लो भागको रेखा, रेखा
- घटाउ, ड्याश, हाइफन, हाइफन-घटाउ चिन्ह
‐ ड्याश, योजक चिन्ह
– एन, ड्याश
— एप ड्याश, एम ड्याश, ड्याश
― ड्याश, तेर्सो पट्टी, पट्ट‍‍ी, रेखा
・ इन्टरपंक्ट, काताकाना, काताकानाको मध्य बिन्दु, बिन्‍दुहरू, मध्यबिन्दु
, अल्पविराम
، अरबी, अरबी अल्पविराम, अल्पविराम चिन्ह
、 अल्पविराम, आइडियोग्राफिक
; अर्धविराम चिन्ह
؛ अरबी, अरबी अर्ध विराम चिन्ह, अर्ध विराम चिन्ह
: अपूर्ण विराम चिन्ह
! ब्याङ, विस्मयादिबोधक, विस्मयादिबोधक बिन्दु, विस्मयादिवोधक चिन्ह
¡ उल्ट्याइएको, उल्ट्याइएको विस्मयादिबोधक चिन्ह, ब्याङ, विस्मयादिबोधक, विस्मयादिबोधक चिन्ह, विस्मयादिबोधक बिन्दु
? प्रश्न, प्रश्नवाचक चिन्ह
¿ उल्ट्याइएको, उल्ट्याइएको प्रश्नवाचक चिन्ह, प्रश्न, प्रश्नवाचक चिन्ह
؟ अरबी, अरबी प्रश्नवाचक चिन्ह, प्रश्न, प्रश्नवाचक चिन्ह
‽ विस्मयादिबोधक र प्रश्नवाचक चिन्हको मिश्रण
. पूर्ण विराम, बिन्दु, विराम चिन्ह
… इलिप्सिस, बिन्दुहरू, वर्ण लोप
。 आइडियोग्राफिक, आइडियोग्राफिक विराम चिन्ह, पूर्ण विराम, विराम चिन्ह
· इन्टरपंक्ट, बिन्दु, मध्य, मध्यबिन्दु
' उद्धरण, एकल उद्धरण, एपोस्ट्रोफी, टाइपराइटर एपोस्ट्रोफी
‘ उद्धरण, एकल उद्धरण, एपोस्ट्रोफी, बायाँ एपोस्ट्रोफी, स्मार्ट उद्धरण
’ उद्धरण, एकल उद्धरण, एपोस्ट्रोफी, दायाँ एपोस्ट्रोफी, स्मार्ट उद्धरण
‚ उद्धरण, एपोस्ट्रोफी, तल्‍लो भागको उद्धरण, तल्‍लो भागको एपोस्ट्रोफी
“ उद्धरण, उद्धरण चिन्ह, दोहोरो उद्धरण, बायाँ उद्धरण चिन्‍ह, स्मार्ट उद्धरण
” उद्धरण, उद्धरण चिन्ह, दायाँ उद्धरण चिन्‍ह, दोहोरो उद्धरण, स्मार्ट उद्धरण
„ उद्धरण, उद्धरण चिन्ह, तल्‍लो भागको उद्धरण चिन्ह, तल्‍लो भागको दायाँ उद्धरण चिन्ह, दोहोरो उद्धरण, स्मार्ट उद्धरण
« उद्धरण, कोण, कोष्ठक, क्यारेट, बायाँ, बायाँ गिलिमिट, बायाँ गिलिमेट, शेव्रन
» उद्धरण, कोण, कोष्ठक, क्यारेट, दायाँ, दायाँ गिलिमेट, शेव्रन
) कोष्ठ, कोष्ठक, गोलो कोष्ठक, प्यारेन, प्यारेन्स, बन्द गर्ने कोष्ठक
[ कोष्ठक, क्रचेट, खुला ठुलो कोष्ठक, ठुलो कोष्ठक
] कोष्ठक, क्रचेट, ठुलो कोष्ठक, बन्द गर्ने ठुलो कोष्ठक
} कोष्ठक, गुलविंग, घुमाउरो ब्रेस, धनुकोष्ठक, बन्द गर्ने धनुकोष्ठक, ब्रेस
〈 कोण कोष्ठक, कोष्ठक, खुला कोण कोष्ठक, चुच्चे कोष्ठक, टपल, शेभ्रन, हिरा जस्ता कोष्ठक
〉 कोण कोष्ठक, कोष्ठक, चुच्चे कोष्ठक, टपल, बन्द गर्ने कोण कोष्ठक, शेभ्रन, हिरा जस्ता कोष्ठक
《 कोष्‍ठक, खुला दोहोरो कोण कोष्‍ठक, दोहोरो कोण कोष्‍ठक
》 कोष्‍ठक, दोहोरो कोण कोष्‍ठक, बन्‍द गर्ने दोहोरो कोण कोष्‍ठक
「 कर्नर कोष्ठक, कोष्ठक, खुला कर्नर कोष्ठक
」 कर्नर कोष्ठक, कोष्ठक, बन्‍द गर्ने कर्नर कोष्ठक
『 कोष्ठक, खुला हलो कर्नर कोष्ठक, हलो कर्नर कोष्ठक
』 कोष्ठक, बन्‍द गर्ने हलो कर्नर कोष्ठक, हलो कर्नर कोष्ठक
【 कोष्ठक, खुला कालो लेन्‍स कोष्ठक, लेन्टिकुलर कोष्ठक, लेन्‍स कोष्ठक
】 कोष्ठक, बन्‍द गर्ने कालो लेन्‍स कोष्ठक, लेन्टिकुलर कोष्ठक, लेन्‍स कोष्ठक
〔 कछुवाको खोल जस्तो कोष्ठक, कछुवाको खोल जस्तो खुला कोष्ठक, कोष्ठक, खोल जस्तो कोष्ठक‍
〕 कछुवाको खोल जस्तो कोष्ठक, कछुवाको खोल जस्तो बन्द कोष्ठक, कोष्ठक, खोल जस्तो कोष्ठक‍
〖 कोष्ठक, खुला हलो लेन्‍स कोष्ठक, हलो लेन्टिकुलर कोष्ठक, हलो लेन्‍स कोष्ठक
