🏻 jidh, jidh fudud, nooc 1–2
🏼 jidh, jidh fudud oo dhexe, nooc 3
🏽 jidh, jidh nooc dhexe, nooc 4
🏾 jidh, jidh nooc madaw oo dhexe, nooc 5
🏿 jidh, jidh madaw, nooc 6
_ daash, daash hoose, dhaash hoose, xariiq, xariiq hoose
- dhaash, jiitin-gaaban, jiitin-ka jarid, maynas
‐ dhaash, jiitin gaaban
– isbeeys tiriye, xarakada erayga, xarakayn
— cutub cabir, laynka astaameeynta, xarakayn
― dhaash, jiitin dheer, layn
, hakad
، carabi, hakad, hakad ka carabida
; joogsi dhiman, joogsi-dhiman
؛ carabi, joogsi dhiman carabi, joogsi-dhiman
: kolmo
! astaan dhawaaq, barta dhawaaqa, la yaab, qarax
¡ astaan la yaab, astaan la yaab rogan, barta la yaabka, la yaab, qarax, rogan
? astaan su’aaleed, su’aal
¿ astaan su’aaleed, astaan su’aaleed rogan, rogan, su’aal
؟ astaan su’aaleed, astaan su’aaleeda carabida, carabi, su’aal
. dhibic, joogsi, joogsi buuxa
· dhexda, dhibic, dhibic dhexaad, dhibicda dhexdeeda, kala go ‘
« bidix, calaamad hoosaad, gulimeetka bidix, layn, soodin, xagal, xigasho
» calaamad hoosaad, gulimeetka midig, layn, midig, soodin, xagal, xigasho, xuquuqda guillemetka
§ baaragraaf, qayb, qaybta, silkroow
¶ astaan sadar, barkin, lineeya, sadar
@ ampersat, arobase, arroba, astaanta at, at, calamada at, calamada-at, strudel
* astaanta xiddigta, boos-haye, calaamada xiddigta, xiddig
/ islaash, jiitin, qalooca, solidus, virgule, xariiq
\ islaash dib u jeeda, jiitin, solidus rogan
& ampersand, calamada ampersand, et, iyo
# afar-gees, haash, hashtag, lambar, lb
% boqol kiiba, boqol-kiiba, boqolkiiba
‰ toban kii kunba, tobankii kunba
† calaamad isdultaala, calaamada toorida
‡ calaamada isdultaal, calaamada toorid, calaamada toorida oo labajibaaran, labajibaaran, toori
• dhibic, rasaas
′ hamse
″ labo hamse
※ astaan tixraac
° cadeeyn, degree ga, saacada
℗ cod, duubis, xuquuqda daabacaad, xuquuqda duubista codka
← bidix, fallaar, fallaar bidixda ku aadan, fallaar ku aadan bidix
→ fallaa, fallaarta midigta ku aadan, midig
↑ fallaar, fallaar kor ku aadan, kor
↓ fallaar, fallaar hoos ku aadan, hoos
⇅ fallaar, fallaaro kor iyo hoos ku aadan, fallaaro koro iyo hoos ku aadan, hoos, kor
⇆ bidix, fallaar, fallaaro bidix ku aadan oo ka sareeya kuwa midig ku aadan, midig
∆ kordhin, sadex geesood
∇ nabla, sadex geesood
∈ curiyaha, curiye, isku hagaajin, ka kooban, xubinimada
+ balaas, calamada balaas, isku dar
± balaas-maynas
÷ calaamada qaladka, calaamada qaybta, qayb, qaybi
× isku dhufasho, isku dhufo, mar, xalaamada isku dhufashada
< ka yar, tag, tag furan
= la mida, la midtahay
≠ aan la mid ahayn, la mid ahayn, la sinayn, u dhignayn
> ka wayn, tag, tag xidhan
¬ diidmo, maya
| jeex, layn, pike, tuunbo, ul, vbar, xariiq, xariiq qotonta, xariiq taagan
~ tilda
− calamada maynas, ka jar, maynas
⁻ calaamad, calaamada kajar, kajar
√ aasaasi ah, afar geesood, lambarka laba jibaarma, lambarka surd, radikis, xidid
∞ aan dhamaad lahayn, calaamada infinity
∩ is goys, isku hagaajin
∪ isku hagaajin, isu gayn, midow
≈ ku dhawaad, ku dhawaad la mida, qiyaas
≡ ay mataano yihiin, lamid ah, mataano, sadex
≤ aan u dhigmin, ka yar ama la mid ah, kayar, la mida, la midda
≥ aan u dhigmin, ka wayn, ka wayn ama leeg, leeg, leegtay
⊂ hoosaadka, hooseed, hooseedka, isku hagaajin
▲ allaar, ka buuxda, kor, saddex xagal, saddex xagal buuxda oo kor u taagan
▼ allaar, hoos, ka buuxda, saddex xagal, saddex xagal hoos-loo fiiqay, saddex xagal hoos-u-fiiqan
◊ dheeman, qaab dheeman, rhombus
○ duleelka goobada, faraanti, goobad
