㔩 Qop
㙐 Njiuɛn
㟼 Ngɑu
㣐 Bhæng
㩳 Siǒng
㫃 *Qiu Qo
㲚 Shra
㴾 Bhət
㸌 Hok Huɑk
㺄 Iǒ
㺑 Sɑu
䄍 Jrhà
䆽 Kèu
䍦 Liɛ
䏑 Jiɛk
䙰 Liɛ
䣛 Sit
䧺 Qiòng
一 *Qit Qit
丁 *Deng Deng
七 *Tsit Tsit
丈 *Djhiɑ̌Ng Djhiɑ̌Ng
三 *Sɑm Sɑm
上 *Zhiɑ̀Ng Zhiɑ̀Ng Zhiɑ̌Ng
下 Hà Hǎ
不 *Biət Biət
且 *Tsiǎ Tsiǎ
丕 Pyi
世 *Shiɛì Shiɛì
丘 *Kiou Kiou
丞 *Zhiəng Zhiəng
丠 Kiou
並 Bhěng
中 *Djiùng Djiung
丱 Guàn
丸 Huɑn
丹 *Dɑn Dɑn
主 *Jiǒ Jiǒ
乃 *Nəǐ Nəǐ
久 *Gioǔ Gioǔ
乆 Gioǔ
么 Qeu
之 *Jiə Jiə
乍 Jrhà
乎 Ho
乏 Bhiæp
乖 Guæi
乗 Jhiəng
乘 Jhiəng Jhiə̀Ng
乙 Qyit
九 *Gioǔ Gioǔ
乞 Kiət
也 Iǎ
乳 Njiǒ
乾 *Ghyɛn Ghyɛn Gɑn
亂 *Luɑ̀N Luɑ̀N
了 *Leǔ Leǔ
予 *Iu Iu
事 *Jrhiə̀ Jrhiə̀
二 *Njì Njì
于 *Hio Hio
云 *Hiuən Hiuən
互 Hò
五 *Ngǒ Ngǒ
井 *Tsiɛ̌Ng Tsiɛ̌Ng
亞 Qà
亡 *Miɑng Miɑng
亢 Kɑ̀Ng
交 *Gau Gau
亥 Həì
亦 *Iɛk Iɛk
京 Giæng
亭 *Dheng Dheng
亮 Liɑ̀Ng
人 *Njin Njin
亾 Miɑng
仁 Njin
仄 *Jriək Jriək
仆 Più
今 *Gyim Gyim
介 Gæì
仍 *Nə̌I Njiəng
他 *Tɑ Tɑ
仗 Djhiɑ̀Ng Djhiɑ̌Ng
付 Biò
仙 *Siɛn Siɛn
仝 Dhung
仞 Njìn
代 *Dhəì Dhəì
令 *Liɛ̀Ng Liɛng
以 *Iə̌ Iə̌
仭 Nhìn Njìn
仰 *Ngiɑ̌Ng Ngiɑ̌Ng
仲 *Djhiùng Djhiùng
任 *Njim Njim
伊 *Qi Qi
伏 *Bhiuk Bhiuk
伐 *Bhiæt Bhiæt
休 *Xiou Xiou
伯 Bæk
估 Gǒ
伴 *Bhɑ̌N Bhɑ̌N
伶 Leng
伸 *Shin Shin
伺 Siə̀
似 *Ziə̌ Ziə̌
伽 Ghia
但 Dhɑ̀N
佇 Djhiǔ
位 Hyuɛ̀
低 *Dei Dei
住 *Djhiò Djhiò
何 *Hɑ Hɑ
佗 *Tɑ Tɑ
余 *Iu Iu
佛 Bhiət
作 *Tzɑk Tzɑk
佩 *Bhə̀I
佳 *Gɛi Gɛi
佺 Tsiuɛn
使 *Shriə̌ Shriə̀ Shriə̌
侃 Kɑn
來 *Ləi Ləi
侍 *Zhiə̀ Zhiə̌
侔 Miou
供 *Giong Giong
依 *Qiəi Qiəi
侯 *Hou Hou
侵 *Tsim Tsim
侶 Liǔ
便 *Bhiɛ̀N Bhiɛn
係 *Gèi
促 *Tsiok Tsiok
俄 Ngɑ
俊 Tzuìn
俎 Jriǔ
俗 *Ziok Ziok
俙 Xiəi
俛 *Biǒ Biǒ Myɛ̌N
俜 Peng
保 Bɑǔ
俠 Hep
信 *Sìn
修 *Siou Siou
俯 *Biǒ
俶 Chiuk
俸 *Bhiòng
俾 Byɛ̌
倂 *Biɛ̌Ng Biɛ̌Ng
倉 *Tsɑng Tsɑng
倍 Bhəǐ
倏 Shiuk
倒 Dɑù Dɑ̀U
倕 Zhiuɛ
倖 *Hɛ̌Ng Hɛ̌Ng
倘 Tɑ̌Ng
候 *Hòu
倚 *Gyɛ̌ Gyɛ̌
借 *Tzià
倡 *Chiɑ̀Ng Chiɑ̀Ng
倦 Ghyuɛ̀N
倩 Tsiɛ̀Ng
倫 Luin
倶 *Gio Gio
值 *Djhiə̀ Djhiə
偃 Qiæ̌N
假 Gǎ
偏 Piɛn
偓 Qak
停 *Dheng Dheng
健 *Ghiæ̀N
側 *Jriək Jriək
偶 *Ngǒu
偷 Tou
傅 Biò
傍 *Bhɑn Bhɑn
傑 Ghyɛt
備 *Bhyì
催 *Tsuəi Tsuəi
傲 Ngɑù
傳 Djhiuɛ̀N
傴 Qiǒ
債 Jrɛi
傷 *Shiɑng Shiɑng
傾 *Kiuɛng Kiuɛng
僂 Liǒ
僅 Ghìn
僊 *Siɛn Siɛn
像 *Ziɑ̌Ng Ziɑ̌Ng
僕 *Bhuk Bhuk
僧 *Səng Səng
僮 *Dhung Dgung
僵 Giɑng
僶 Mǐn
價 Gà
僻 Pek Piɛk
儀 Ngyɛ
儂 Nong
儉 Ghyɛ̌M
儒 *Njio Njio
儔 Djhiou
儕 Jrhæi
優 Qiou
儲 Djhiu
兀 *Nguət Nguət
元 *Ngiuæn Ngiuæn
兄 *Xiuæng Xiuæng
充 Chiung
兆 Djhiɛ̌U
先 *Sen Sen
光 *Guɑng Guɑng
克 Kək
免 *Myɛ̌N Myɛ̌N
兒 *Njiɛ Njiɛ
兔 *Tò Tò
兕 Zǐ
兢 Giəng
入 *Njip Njip
內 *Nuə̀I Nuə̀I
全 *Dzhiuɛn Dzhiuɛn
兩 Liɑ̀Ng Liɑ̌Ng
八 *Bat Bat
公 *Gung Gung
六 *Liuk Liuk
兮 *Hei Hei
共 *Ghiòng Ghiòng
兵 *Biæng Biæng
其 *Ghiə Ghiə
具 *Ghiò Ghiò
典 *Děn Děn
兼 *Gem Gem
冀 Gyì
冉 *Njiɛ̌M Njiɛ̌M
再 *Tzə̀I Tzə̀I
冏 Guěng
冑 Djhiòu
冒 Mɑ̀U
冕 Myɛ̌N
冗 Njiǒng
冠 Guɑn Guɑ̀N
冢 *Djiǒng Djiǒng
冥 Meng Mèng
冬 *Dong Dong
冰 *Biəng Biəng
况 *Xiuɑ̀Ng
冶 Iǎ
冷 *Læ̌Ng Læ̌Ng
凄 *Tsei Tsei
凉 Liəng
凋 *Deu Deu
凌 *Liəng
凍 *Dùng Dùng
凜 *Lǐm Lǐm
凝 *Ngiəng Ngiəng
几 Gyǐ
凡 Bhiæm
凭 Bhiəng Bhiə̀Ng
凰 *Huɑng Huɑng
凶 Xiong
出 *Chuit
函 Hæm
刀 *Dɑu
刁 Deu
刃 Njìn
分 *Biən Bhiə̀N
切 Tset
刎 Miə̌N
刑 Heng
列 Liɛt
初 *Chriu
删 Shran
判 Pɑ̀N
別 *Bhyɛt
利 *Lì
刮 Guæt
到 *Dɑ̀U
刳 Ko
制 Jiɛ̀I
刺 Lɑt Tsiɛk Tsiɛ̀
刻 Kək
則 Tzək
削 Siɑk
剌 Lɑt
前 *Dzhen
剔 Tek
剖 Pǒu
剛 Gɑng
剜 Guɑn
剝 Pak
剡 Zhiɛ̌M
剪 *Tziɛ̌N
割 *Gɑt
創 Chriɑ̀Ng
剺 Liə
剽 Piɛ̀U
劃 Huɛk
劇 *Ghiæk
劈 Pek
劉 *Liou
劍 *Gi(U)Æ̀M
劒 *Gi(U)Æ̀M
力 *Liək
功 *Gung
加 Ga
劣 Liuɛt
助 Jrhiù
努 Nǒ
劫 Kiæp
劾 Hək
勁 Giɛ̀Ng
勃 Bhət
勅 Tjiək
勇 *Iǒng
勉 Myɛ̌N
勒 Lək
動 *Dhǔng
務 Miò
勝 *Shiə̀Ng
勞 *Lɑu Lɑ̀U
募 Mò
勢 *Shiɛ̀I
勤 *Ghiən
勳 *Xiuən
勸 *Kiuæ̀N
勿 *Miət
匀 Uin
包 Bau
匆 Tsung
匈 Xiong
化 *Xuɑ̀
北 *Bək
匙 Zhiɛ
匠 Dzhiɑ̀Ng
匡 *Kiuɑng
匣 Hap
匪 Piə̌I
匯 Huə̌I
匹 *Pit
