(⊃‿⊂) hide
|_・) hide
|･ω･｀) hide
｜−・;） hide
|ω・） hide
|ω･)و ̑̑༉ hide
( ͒•·̫| hide
┬┴┬┴┤(･_├┬┴┬┴ hide
ﾍ(･_| hide
|₋ॢọ̶̶̷̥᷅๑)‧˚⁺ hide
ヽ(;^o^ヽ) excited, happy, dance
ヽ(；▽；)ノ excited, happy, cry
ヾ(。◕ฺ∀◕ฺ)ノ excited
ヾ(＠† ▽ †＠）ノ excited, happy, cry
ヾ(＠^∇^＠)ノ excited, happy, dance
ヾ(＠^▽^＠)ﾉ excited, happy
ヾ（＠＾▽＾＠）ノ excited, happy
ヾ(＠゜▽゜＠）ノ excited, happy
ヾ(@°▽°@)ノ excited, happy, crazy
ヾ(＠°▽°＠)ﾉ excited, happy
ヽ(*≧ω≦)ﾉ excited, happy
ヽ(*⌒∇⌒*)ﾉ excited, happy
ヽ(^。^)丿 excited, happy
ヽ(＾Д＾)ﾉ excited, happy
ヽ(=^･ω･^=)丿 excited, cat
o(〃＾▽＾〃)o excited, happy
o(^▽^)o excited, happy
Ｏ(≧∇≦)Ｏ excited, happy
o(≧∇≦o) excited, happy
о(ж＞▽＜)ｙ ☆ excited, happy
٩(^ᴗ^)۶ excited
(๑>ᴗ<๑) excited
٩(•̤̀ᵕ•̤́๑)ᵒᵏᵎᵎᵎᵎ excited
୧(﹒︠ᴗ﹒︡)୨ excited
˚₊*(ˊॢo̶̶̷̤◡ुo̴̶̷̤ˋॢ)*₊˚⁎ excited
∗˚(* ˃̤൬˂̤ *)˚∗ excited, laugh
•ू(ᵒ̴̶̷ωᵒ̴̶̷*•ू) ​ )੭ु⁾ excited
(❛ัॢᵕ❛ั ॢ)✩*ೃ.⋆ excited, think
⁺✧.(˃̶ ॣ⌣ ॣ˂̶∗̀)ɞ⁾ excited
٩(●˙▿˙●)۶…⋆ฺ excited
*✲ﾟ*｡✧٩(･ิᴗ･ิ๑)۶*✲ﾟ*｡✧ excited
σ(≧ε≦ｏ) excited, kiss
٩(๑ơలơ)۶♡ excited, love
˚‧*♡ॢ˃̶̤̀◡˂̶̤́♡ॢ*‧˚ excited, love
( ˃̶ω˂̶ ૃ) excited
(٭°̧̧̧ω°̧̧̧٭) excited, cry
૮(ᶿ̴͈᷇ॢ௰ᶿ̴͈᷆ॢ)ა✧ excited
٩(ó｡ò۶ ♡)))♬ excited, love, music
␟␏(ɲ˃ ˈ̫̮ ˂ɳ)␟␏ෆ excited
(●´∀｀●) happy
(｀・ω・´)” happy
(*´・ｖ・) happy
(⌒▽⌒)☆ happy
⊂((・▽・))⊃ happy, hug
(≧∇≦)/ happy, wave
(´∇ﾉ｀*)ノ happy
（・◇・） happy
( ´ ▽ ` )ﾉ happy, wave
（＾_＾） happy
（￣ー￣） happy
(*^▽^*) happy
(＾▽＾) happy
（’-’*) happy
∩( ・ω・)∩ happy
＼（＾ ＾）／ happy
（　´∀｀） happy, laugh
(^～^) happy
(☆^O^☆) happy
(☆^ー^☆) happy
(´ω｀★) happy
*(*´∀｀*)☆ happy
d=(´▽｀)=b happy, hug
ヽ(‘ ∇‘ )ノ happy, crazy
（*＾ワ＾*） happy
(´∀`) happy
(°◇°;) happy
(゜▽゜;) happy, crazy
(ﾉ´ｰ`)ﾉ happy, surrender
ヽ(´ー`)ﾉ happy, dance
(　＾∇＾) happy
＼( ｀.∀´)／ happy, surrender
(●⌒∇⌒●) happy
ヽ(｀◇´)/ happy, surrender
ヽ(*・ω・)ﾉ happy
（＾ω＾） happy
｡◕‿◕｡ happy
⊙ω⊙ happy
⊙△⊙ happy
⊙▽⊙ happy
o (◡‿◡✿) happy
(◕‿◕✿) happy
(∩_∩) happy
(•ิ_•ิ) happy
(/•ิ_•ิ)/ happy
（ΦωΦ） happy
（*＾＾*) happy
（＾⊆＾） happy
(-^〇^-) happy
(ノ*゜▽゜*) happy
ヾ(´▽｀;)ゝ happy, dance, music
(゜▼゜＊） happy, crazy
(￣个￣) happy
(“⌒∇⌒”) happy
へ(゜∇、°)へ happy, crazy
（-＾〇＾-） happy, sleep
（＞ｙ＜） happy, laugh
(ヘ。ヘ) happy, dead
（＾ｖ＾） happy, laugh
ヾ(@゜∇゜@)ノ happy, crazy
（＠´＿｀＠） happy, embarassed
(ノ＞▽＜。)ノ happy, laugh
＼（＠；◇；＠）／ happy, cry
＼(☆o◎)／ happy, crazy
(o;TωT)o happy, cry
（⌒▽⌒ゞ happy
“ヽ(´▽｀)ノ” happy, music
ヾ(＠⌒ー⌒＠)ノ happy, wave, fun
Ψ(´▽｀)Ψ happy
（ｖ＾＿＾）ｖ happy
(ી(΄◞ิ౪◟ิ‵)ʃ)♥ happy, love
(❁´◡`❁)*✲ﾟ* happy
(ღ˘⌣˘ღ) ♫･*:.｡. .｡.:*･ happy, music
ლ(╹◡╹ლ) happy, fun
(✿◠‿◠) happy
(◑‿◐) happy
ლ(́◉◞౪◟◉‵ლ) happy, love, hug
✖‿✖ happy, dead
(*~▽~) happy
(─‿‿─) happy
∩(︶▽︶)∩ happy
(︶ω︶) happy
(∩▂∩) happy
(¬‿¬) happy, think
(n˘v˘•)¬ happy
ಥ‿ಥ happy
≖‿≖ happy, dead
ʘ‿ʘ happy, fun
☆ﾐ(o*･ω･)ﾉ happy, wave, run
(✌ﾟ∀ﾟ)☞ happy
(ᅌᴗᅌ* ) happy
(;ﾞ°´ω°´) happy
°˖✧◝(⁰▿⁰)◜✧˖° happy
( ͡° ͜ʖ ͡°) happy, think
(•‿•) happy
(⊙ヮ⊙) happy
(*¬*) happy
(^∇^) happy
(＝⌒▽⌒＝) happy
(≡^∇^≡) happy
≧(´▽｀)≦ happy, music
（‐＾▽＾‐） happy
(￣▽+￣*) happy
(°∀°)b happy
(*⌒∇⌒*) happy
(๑╹っ╹๑) happy
╮(─▽─)╭ whatever
¯\_(ツ)_/¯ whatever
٩(-̮̮̃-̃)۶ whatever
ヽ（´ー｀）┌ whatever
┗┐ヽ(′Д、`*)ﾉ┌┛ whatever
ヽ( ´¬`)ノ whatever
┗┃・ ■ ・┃┛ whatever
ヾ(´A｀)ノﾟ whatever
ヽ（・＿・；)ノ whatever
ヽ(　￣д￣;)ノ whatever
＼（〇_ｏ）／ whatever
ヽ(。_°)ノ whatever, crazy
＼(;´□｀)/ whatever
ヾ(*´ー`)ノ whatever
ヽ(‘ー`)ノ whatever
ヽ(ー_ー )ノ whatever
ヽ(´～｀；） whatever
┐(‘～`；)┌ whatever
ヽ（*ω。）ノ whatever
(;´・`)> whatever
（＾～＾） whatever
٩(-̮̮̃•̃)۶ whatever
┐(￣ー￣)┌ whatever
t(ツ)_/¯ whatever
┐(￣ヮ￣)┌ whatever
╰(　´◔　ω　◔ `)╯ whatever
ಠ_ಠ whatever, angry, sad, stare
ლ(ಠ_ಠლ) whatever
¯\(°_o)/¯ whatever, crazy
╮(╯▽╰)╭ whatever
( c//”-}{-*\x) love, kiss
(｡-_-｡ )人( ｡-_-｡) love
(‘∀’●)♡ love
(*´∀｀*人*´∀｀*) love
(/^-^(^ ^*)/ love
(´ ▽｀).。ｏ♡ love
(´∀｀)♡ love, happy
ヽ(愛´∀｀愛)ノ love
(●♡∀♡) love
( ˘ ³˘)♥ love, kiss
( ˘ ³˘)❤ love, kiss
( ⋆•ิ ᴈ-ิ(ᵕ❥ ᵕ⁎ ॢ) love, kiss
(・_・)❤(-_-) love
(｡・//ε//・｡) love, kiss
(｡･ω･｡)ﾉ♡ love, animal, pig
(｡’▽’｡)♡ love
（。ˇ ⊖ˇ）♡ love
(｡♥‿♥｡) love
(* ˘⌣˘)◞[_]♥[_]ヽ(•‿• ) love
