🚀 Rocket
🚁 Helicopter
🚂 Steam Locomotive
🚃 Railway Car
🚄 High-Speed Train
🚅 High-Speed Train With Bullet Nose
🚆 Train
🚇 Metro
🚈 Light Rail
🚉 Station
🚊 Tram
🚋 Tram Car
🚌 Bus
🚍 Oncoming Bus
🚎 Trolleybus
🚏 Bus Stop
🚐 Minibus
🚑 Ambulance
🚒 Fire Engine
🚓 Police Car
🚔 Oncoming Police Car
🚕 Taxi
🚖 Oncoming Taxi
🚗 Automobile
🚘 Oncoming Automobile
🚙 Recreational Vehicle
🚚 Delivery Truck
🚛 Articulated Lorry
🚜 Tractor
🚝 Monorail
🚞 Mountain Railway
🚟 Suspension Railway
🚠 Mountain Cableway
🚡 Aerial Tramway
🚢 Ship
🚣 Rowboat
🚤 Speedboat
🚥 Horizontal Traffic Light
🚦 Vertical Traffic Light
🚧 Construction Sign
🚨 Police Cars Revolving Light
🚩 Triangular Flag On Post
🚪 Door
🚫 No Entry Sign
🚬 Smoking Symbol
🚭 No Smoking Symbol
🚮 Put Litter In Its Place Symbol
🚯 Do Not Litter Symbol
🚰 Potable Water Symbol
🚱 Non-Potable Water Symbol
🚲 Bicycle
🚳 No Bicycles
🚴 Bicyclist
🚵 Mountain Bicyclist
🚶 Pedestrian
🚷 No Pedestrians
🚸 Children Crossing
🚹 Mens Symbol
🚺 Womens Symbol
🚻 Restroom
🚼 Baby Symbol
🚽 Toilet
🚾 Water Closet
🚿 Shower
🛀 Bath
🛁 Bathtub
🛂 Passport Control
🛃 Customs
🛄 Baggage Claim
🛅 Left Luggage
🛆 Triangle With Rounded Corners
🛇 Prohibited Sign
🛈 Circled Information Source
🛉 Boys Symbol
🛊 Girls Symbol
🛋 Couch And Lamp
🛌 Sleeping Accommodation
🛍 Shopping Bags
🛎 Bellhop Bell
🛏 Bed
🛐 Place Of Worship
🛑 Octagonal Sign
🛒 Shopping Trolley
🛓 Stupa
🛔 Pagoda
🛕 Hindu Temple
🛖 Hut
🛗 Elevator
🛜 Wireless
🛝 Playground Slide
🛞 Wheel
🛟 Ring Buoy
🛠 Hammer And Wrench
🛡 Shield
🛢 Oil Drum
🛣 Motorway
🛤 Railway Track
🛥 Motor Boat
🛦 Up-Pointing Military Airplane
🛧 Up-Pointing Airplane
🛨 Up-Pointing Small Airplane
🛩 Small Airplane
🛪 Northeast-Pointing Airplane
🛫 Airplane Departure
🛬 Airplane Arriving
🛰 Satellite
🛱 Oncoming Fire Engine
🛲 Diesel Locomotive
🛳 Passenger Ship
🛴 Scooter
🛵 Motor Scooter
🛶 Canoe
🛷 Sled
🛸 Flying Saucer
🛹 Skateboard
🛺 Auto Rickshaw
🛻 Pickup Truck
🛼 Roller Skate
