㞮 Shutsu Sui
㡡 Chu Jiu
一 Ichi Itsu
丁 Tei Chou Tou
丂 Kou
七 Shichi Shitsu
丄 Shou
丅 Ka
万 Man Ban
丈 Jou Chou
三 San
上 Jou Shou
下 Ka Ge
丌 Ki Gi
不 Fu Bu Futsu Hi
与 Yo
丏 Ben Men
丐 Kai Katsu
丑 Chuu Chu
丒 Chuu
专 Sen
且 Sha Sho
丕 Hi
世 Se Sei
丗 Sei Se
丘 Kyuu
丙 Hei Hyou
丞 Shou Jou
丟 Chuu Chu
丠 Kyuu
両 Ryou
丢 Chuu Chu
丣 Yuu
两 Ryou
並 Hei
丨 Kon Shi Jo Nyo
丩 Kyuu
个 Ka Ko
丫 A
中 Chuu
丮 Keki Kyaku
丯 Kai
丰 Hou Fu Fuu Bu
丱 Kan Kou Ken
串 Sen Kan
丳 San Sen
丵 Saku
丶 Chu
丸 Gan
丹 Tan
主 Shu Su
丼 Sei Tan Shou
丽 Rei
举 Kyo
丿 Hetsu Hechi You
乀 Futsu Buchi
乁 I
乂 Gai Ge
乃 Dai Ai Nai
久 Kyuu Ku
乆 Kyuu Ku
乇 Taku Chaku
么 Eu
之 Shi
乍 Saku Sa
乎 Ko
乏 Bou
乑 Gin Gon
乒 Hei
乓 Hau
乕 Ko
乖 Kai
乗 Jou Shou
乘 Jou Shou
乙 Otsu
乚 In On
乜 Ba Me
九 Kyuu Ku
乞 Kotsu Ki
也 Ya
乢 Gai
乣 Kyuu
乨 Shi
乩 Kei
乪 Dou Nou
乱 Ran
乳 Nyuu
乴 Setsu Zechi
乵 En
乹 Kan Ken
乾 Kan Ken Gen
乿 Chi Ji
亀 Ki Kyuu Kin
亁 Ken
亂 Ran Ron
亃 Rin
亄 I
亅 Ketsu
了 Ryou
予 Yo Sha
争 Sou
亊 Ji Zu Shi
事 Ji Shi
二 Ni Ji
亍 Choku
于 U Ku
亏 U
云 Un
互 Go Ko
亓 Ki
五 Go
井 Sei Shou
亖 Shi
亗 Sai Sei
亘 Sen Kan Kou
亙 Kou
些 Sa Sha
亜 A Atsu Ou
亝 Sei
亞 A Atsu Ou
亟 Kyoku Ki
亠 Tou Zu
亡 Bou Mou
亢 Kou
交 Kou Kyou
亥 Gai Kai
亦 Eki Yaku
亨 Kyou Kou Hou
享 Kyou
京 Kyou Kei Kin
亭 Tei Chou Chin
亮 Ryou
亯 Kyou Kou
亰 Kei Kyou Kin
亱 Ya
亳 Haku Baku
亶 Tan Sen Zen
亷 Ren
亸 Ta
亹 Bi Mi Bon Mon
人 Jin Nin
亼 Shuu Juu
亾 Bou Mou
什 Shuu Juu
仁 Jin Nin Ni
仂 Roku Ryoku
仃 Tei
仄 Soku Shoku Shiki
仅 Fu Do
仆 Fu Hoku
仇 Kyuu Gu
仈 Hatsu Hachi
仉 Shou
今 Kon Kin
介 Kai
仍 Jou Nyou
从 Juu Shou Ju
仏 Butsu
仐 San
仔 Shi Sai
仕 Shi Ji
他 Ta
仗 Jou
付 Fu
仙 Sen
仚 Ken
仛 Ta Taku
仜 Kou Da
仝 Dou
仞 Jin
仟 Sen
仠 Kan Gan
仡 Kitsu Kochi Gochi
仢 Haku Baku Shaku
代 Dai Tai
令 Rei Ryou
以 I
仨 Sa
仭 Jin
仮 Ka Ke
仯 Sou Shou Byou Myou
仰 Gyou Kou
仱 Ken Gen Kyou Kin Gon
仲 Chuu
仳 Hi Bi
仴 Gatsu Gachi
仵 Ko Go
件 Ken
价 Kai
任 Nin
仼 Kyou
份 Hin Fun
仾 Tei Hikui
仿 Hou Bou
伀 Shou Shu
企 Ki
伂 Hai
伃 Yo
伄 Chou
伅 Ton Don
伇 Eki Yaku
伈 Shin
伉 Kou
伊 I
伋 Kyuu
伌 Ai A
伍 Go
伎 Ki Gi
伏 Fuku Fuu Buku
伐 Batsu
休 Kyuu Ku
伒 Kin Kon
伓 Hai He Hi
伔 Shin Jin
伕 Fu
伖 Do Tou
众 Gin Gon
优 Yuu U
伙 Ka
会 Kai E
伜 Sai Sotsu
伝 Den Ten
伣 Ken
伩 Shin
伭 Ken Sen
伮 Do
伯 Haku Ha
估 Ko
伱 Ji
伲 Ji
伳 Setsu Sechi
伴 Han Ban
伵 Kyoku Keki Ki
伶 Rei Ryou
伷 Chuu
伸 Shin
伹 Sho
伺 Shi
伻 Hou Hyou
似 Ji
伽 Kya Ka Ga
伾 Hi Bi Hai He
伿 I
佀 Shi Ji
佁 Ai I Chi Shi Ji Tai
佂 Yai Shou
佃 Ten Den
但 Tan Dan
佇 Cho
佈 Ho Fu
佉 Kyo Ko Kya Ka
佋 Shou Jou
佌 Shi
位 I
低 Tei
住 Juu
佐 Sa
佑 Yuu U
佒 Au You
体 Tei Tai Hon
佔 Chin Sen
何 Ka Ga
佖 Hitsu Bichi
佗 Ta
佘 Sha Ja
余 Yo
佚 Itsu Tetsu
佛 Butsu Futsu Hotsu
作 Saku Sa
佝 Kou Ku
佞 Nei Dei
佟 Tou Zu
你 Ji Ni
佡 Ken
佢 Kyo
佣 You
佩 Hai
佪 Kuwai E
佫 Kaku Kyaku
佬 Ryou Ro Rou
佮 Kou
佯 You
佰 Haku Byaku
佱 Hou
佳 Ka
佴 Ji Ni Dai Nai
併 Hei
佶 Kitsu Gochi
佷 Kou Gou Gin Kon Gon
佸 Katsu Gachi
佹 Ki
佺 Sen
佻 Chou Jou You
佼 Kou Kyou
佽 Shi
佾 Itsu Ichi
使 Shi
侀 Kei Kyau
侁 Shin
侂 Taku
侃 Kan
侄 Shitsu Shichi Tetsu
侅 Kai
來 Rai
侇 I
侈 Shi I
侉 Ka Ke A
侊 Kou
例 Rei Retsu
侌 In
侍 Ji
侎 Bi Mi
侏 Shu Chu
侐 Kyoku Keki Ki
侑 Yuu U
侒 An
侓 Rotsu Rochi
侔 Bou Mu
侕 Ji Ni
侖 Ron Rin
侗 Tou Tsu Zu Dou
侘 Ta
侙 Choku Chiki
侚 Shun Jun
供 Kyou Ku
侜 Chuu Chu
依 I E
侞 Jo Nyo
侟 Sen
侠 Kyou
価 Ka
侢 Bu
侣 Ryo Ro
侫 Nei Dei
侭 Jin
侮 Bu
侯 Kou
侲 Shin
侳 Sa
侴 Chuu
侵 Shin
侶 Ryo Ro
侷 Kyoku Goku
侹 Tei Jou Chou
侺 Shin Jin
侻 Tatsu Tachi Tai Te
侼 Hotsu Bochi
侽 Dan Nan
侾 Kou Kyou
便 Ben Bin
俀 Tai Te
俁 Gu
係 Kei
促 Soku
俄 Ga
俅 Kyuu Gu
俆 Sho Jo
俇 Kyau Gau Kau
俈 Koku
俉 Go
俊 Shun
俋 Chuu Juu Yuu
俌 Fu
俍 Ryou Rou
俎 Sho So
俏 Seu
俐 Ri
俑 You Yuu Tou
俒 Kon Gon Kan
俓 Gau Kyau Gen Gei
俔 Ken
俖 Hai He
俗 Zoku
俘 Fu
俙 Ki Ke Kai
俚 Ri
俛 Ben Men Fu
俜 Hei Byou
保 Ho Hou
俞 Yu
俟 Shi
俠 Kyou
信 Shin
俢 Shuu
俫 Rai
修 Shuu Shu
俯 Fu
俰 Ka Wa
俱 Ku
俲 Kou
俳 Hai
俴 Sen Zen
俵 Hyou
俶 Shuku Teki
俷 Hi
俸 Hou
俺 En
俻 Bi
俼 Iku Kiku Shuku
俽 Kin Kon
俾 Hi Hei
俿 Chi Ji
倀 Chou Tou Jou
倁 Chi Ji
倂 Hei
倃 Kyuu Gu
倄 Kou Gyou Kai E
倅 Sai Sotsu
倆 Ryou
倇 En On
倈 Rai
倉 Sou
倊 Sou Su
個 Ko Ka
倌 Kuwan
倍 Bai
倎 Ten
倏 Shuku
倐 Shuku
們 Mon
倒 Tou
倓 Tan Dan
倔 Kutsu
倕 Sui Zui Tsui
倖 Kou
倗 Hou Bou
倘 Shou Tou
候 Kou
倚 I Ki
倛 Ki
倜 Teki Chaku Chuu Chyu
倝 Kan
倞 Kei Kyou Ryou Ou
借 Shaku Sha Seki
倠 Ki
倡 Shou
倢 Shou
倣 Hou
値 Chi Choku
倥 Kou
倦 Ken
倧 Sou Su
倨 Kyo Ko
倩 Sen Sei
倪 Gei Gai
倫 Rin
倬 Taku Choku
倭 I Wa
倮 Ra Ka Ge
倯 Shou Shu
倰 Ryou Rou
倱 Kon Gon
倲 Tou Tsu
倳 Shi
倴 Hon
倵 Bu Mu
倶 Ku
倷 Dai Nai
倹 Ken
倻 Ya
值 Chi Choku
偀 Ei
偁 Shou
偂 Sen
偃 En
偄 Dan Nan
偅 Shou Shu Tou
偆 Shun
假 Ka Ke
偈 Ketsu Kei Ge
偉 I
偊 U Ku
偋 Hei
偌 Ja Nya
偍 Tei Dai
偎 Wai E
偏 Hen
偐 Gan Gen
偑 Fuu Fu
偒 Tou
偓 Aku
偕 Kai
偖 Sha
偗 Sei Shau
偘 Kan
偙 Tei Tai
做 Saku Sa
偛 Sou Sahu
停 Tei Chou Jou
偝 Hai Bai
偞 You Kyou Chou
偟 Kuwau Wau
偠 Eu
偡 Tan Da
偢 Seu
偣 En An
偤 Yu
健 Ken
偦 Sho
偧 Ta
偨 Shi
偩 Fuu Bu
偪 Hiyoku Hiki Fuku
偫 Chi Ji
偬 Sou
偭 Ben Men
偮 Shuu
偯 I E
偰 Setsu Sechi
偱 Shun
偲 Shi Sai
偳 Tan
側 Soku Shoku
偵 Tei
偶 Guu Gou
偷 Chuu Tou
偸 Chuu Tou
偹 Bi
偺 San
偻 Rou
偽 Gi Ka
傀 Kai
傁 Sou Su
傂 Chi Ji Shi
傃 So
傄 Katsu Kechi
傅 Fu
傆 Gen Gan Kan
傇 Jou Nyu
傈 Ritsu Richi
傊 In
傋 Kau Kou Ku
傌 Ba Me
傍 Bou Hou
傎 Ten
傏 Tou Dou
傐 Kou Gou
傑 Ketsu
傒 Kei Gei
傓 Sen
傔 Ken
傕 Kaku
傖 Sau Shau
傘 San
備 Bi
傚 Kou
傛 You Yu
傜 Eu
傝 Tan Ton Tahu
傞 Sa
傟 Au
傠 Hatsu Bochi
傡 Hei
傢 Ka
傤 Sai
傪 San
催 Sai
傭 You Chou
傮 Sou Zou
傯 Sou
傰 Hou Bou
傱 Shou Shu Sou
傲 Gou
傳 Den Ten
傴 U
債 Sai
傶 Soku Seki Shaku
傷 Shou
傸 Sau Shau
傹 Kyou Gou Gyou Kou
傺 Tei Tai
傻 Sa
傽 Shou
傾 Kei
傿 En In On
僀 Tei
僁 Setsu Sechi
僂 Rou Ru
僃 Bi
僄 Heu
僅 Kin
僆 Ren
僇 Riku Roku Ru
僈 Ban Man
僉 Sen
僊 Sen
僋 Tan Ton
僌 You
働 Dou
僎 Sen Shun
像 Zou Shou
僐 Sen Zen
僑 Kyou
僓 Tai De Kai E Te
僔 Son
僕 Boku
僖 Ki
僗 Rau
僘 Shou
僙 Kou
僚 Ryou
僛 Ki
僜 Tou Dou Shou Chou
僝 San Zen
僞 Gi Ka
僟 Ki Ge
僠 Han
僢 Sen Shun
僣 Sen Shin
僤 Tan Dan Sen Zen Tatsu Tachi
僥 Kyou Gyou
僦 Shyuu Shu
僧 Sou
僨 Fun Hon
僩 Kan Gen
僪 Kitsu Gochi Itsu Ichi Ketsu Kechi
僬 Seu Zeu
僭 Sen Shin
僮 Dou Tou
僯 Rin
僰 Hoku Boku
僱 Ko
僵 Kyou
僶 Bin Min
僸 Kin Kon
價 Ka Ke
僺 Shou
僻 Heki Hi Hei
僼 Hou
僽 Shuu
僾 Ai
僿 Shi Sai
儀 Gi
儁 Shun
儂 Dou Nou
儃 Sen Zen Tan Dan
億 Oku Yoku
儅 Tou
儆 Kei Shou
儇 Ken
儈 Kai Ke
儉 Ken
儊 Sho
儋 Tan Sen Zen
儌 Keu
儍 Sa
儎 Sai
儐 Hin
儑 Gan Gon Gou
儒 Ju
儓 Tai
儔 Chuu Ju
儕 Sei Sai
儖 Ran
儗 Gi Kai
儘 Jin
儙 Ken
儚 Bou Mou
儛 Bu Mu
儜 Dau Nyau
儝 Kei
儞 Ji
償 Shou
儠 Ryou
儡 Rai
儢 Ryo Ro
儣 Kou
儤 Hou Hyou
儥 Iku Teki Chaku Toku Doku
儦 Hyou Heu
儧 San
儨 Shitsu Shichi
儩 Shi
優 Yuu U
儬 Shin
儭 Shin
儮 Reki Ryaku
儯 Tou Dou
儰 I
儱 Rou Ru Ryou Ryu
儲 Cho
儳 San Zan
儴 Shou Sou
儵 Shuu
儷 Rei
儸 Ra
儹 San
儺 Da Na
儻 Tou
儼 Gen
儽 Rai Re Rui Ra
儿 Jin Nin Kai
兀 Kotsu Gotsu
允 In
兂 Shin San
元 Gen Gan
兄 Kei Kyou
充 Juu Shuu
兆 Chou Jou
兇 Kyou
先 Sen
光 Kou
兊 Tai Da Dai E Tsu
克 Koku
兌 Da Tai Ei
免 Men Ben
兎 To
兏 Chou
児 Ji Ni Gei
兑 Da Tai Ei
兒 Ji Ni Gei
兓 Shin San
兔 To
兕 Shi Ji
兗 En
兘 Shi
党 Tou
兜 Tou
兟 Shin
兢 Kyou
兤 Kou
入 Nyuu Ju Juu
兦 Bou
內 Dai Nai
全 Zen Sen
兩 Ryou
兪 Yu
八 Hachi Hatsu
公 Kou
六 Roku Riku
兮 Kei
共 Kyou
兵 Hei Hyou
其 Ki Gi
具 Gu Ku
典 Ten
兹 Ji Shi
兼 Ken
兾 Ki
冀 Ki
冂 Kei Kyou
冃 Bou Mou
冄 Zen Nen
内 Dai Nai
円 En
冉 Nen Zen
冊 Satsu Saku
冋 Kei Kyou
册 Satsu Saku
再 Sai Sa
冎 Ka Ke
冏 Kei Kyou
冐 Bou Mou Boku
冑 Chuu
冒 Bou
冓 Kou
冔 Ku
冕 Ben Men
冖 Beki Myaku
冗 Jou
冘 In Iu Yu
写 Sha
冝 Gi
冞 Bi Mi
冠 Kan
冡 Bou Mo
冢 Chou Chu
冣 Shu Ju Sai
冤 En
冥 Mei
冦 Kou Ku
冨 Fu Fuu
冩 Sha
冪 Beki
冫 Hyou
冬 Tou
冭 Tai Tatsu Tachi
冰 Hyou
冱 Go
冲 Chuu
决 Ketsu Kechi
冴 Go
况 Kyou
冶 Ya
冷 Rei
冸 Han
冹 Futsu Buchi Hatsu Hochi
冺 Bin Ben Min Men
冼 Shou
冽 Retsu Rei
冾 Kyou
冿 Sen
凂 Bai
凄 Sei
凅 Ko
准 Jun Shun
凇 Shou Shu Sou Su
凈 Sou Shou
凉 Ryou
凊 Sei Shau
凋 Chou
凌 Ryou
凍 Tou
减 Gen
凐 In
凑 Sou
凒 Gi Ge Kai Gai
凓 Ritsu Richi
凔 Sau Shau
凕 Bei Myou
凖 Jun Setsu
凗 Sai Ze
凘 Shi Sei Sai
凙 Taku Daku Jaku
凛 Rin
凜 Rin
凝 Gyou
凞 Ki
几 Ki
凡 Bon Han
凢 Bon Han
凣 Han
凤 Hou
凥 Kyo Ko
処 Sho
凨 Fuu Fu
凭 Hyou
凮 Fuu Fu
凰 Kou Ou
凱 Gai Kai
凲 Kan Ken
凳 Tou
凴 Hyou
凵 Kan Kon
凶 Kyou
凷 Kai Ke
凸 Totsu
凹 Ou
出 Shutsu Sui
函 Kan
凾 Kan
刀 Tou
刁 Teu Chou
刂 Tau
刃 Jin
刄 Jin Nin
刅 Sou Shou
分 Bun Fun Bu
切 Setsu Sai
刈 Gai
刉 Ki Ke
刊 Kan
刋 Sen
刌 Son Sen
刎 Fun Bun
刏 Ki Ke Kai
刐 Tan
刑 Kei Gyou
划 Ka Ge
刓 Gun
刔 Ketsu Kechi
刕 Ri Rei Rai Saku
