🐵 monkey face <small>(face, monkey)</small>
🐒 monkey <small>(monkey)</small>
🦍 gorilla <small>(gorilla)</small>
🦧 orangutan <small>(ape, orangutan)</small>
🐶 dog face <small>(dog, face, pet)</small>
🐕 dog <small>(dog, pet)</small>
🦮 guide dog <small>(accessibility, blind, guide, guide dog)</small>
🐕‍🦺 service dog <small>(accessibility, assistance, dog, service)</small>
🐩 poodle <small>(dog, poodle)</small>
🐺 wolf <small>(face, wolf)</small>
🦊 fox <small>(face, fox)</small>
🦝 raccoon <small>(curious, raccoon, sly)</small>
🐱 cat face <small>(cat, face, pet)</small>
🐈 cat <small>(cat, pet)</small>
🐈‍⬛ black cat <small>(black, cat, unlucky)</small>
🦁 lion <small>(face, Leo, lion, zodiac)</small>
🐯 tiger face <small>(face, tiger)</small>
🐅 tiger <small>(tiger)</small>
🐆 leopard <small>(leopard)</small>
🐴 horse face <small>(face, horse)</small>
🫎 moose
🫏 donkey
🐎 horse <small>(equestrian, horse, racehorse, racing)</small>
🦄 unicorn <small>(face, unicorn)</small>
🦓 zebra <small>(stripe, zebra)</small>
🦌 deer <small>(deer)</small>
🦬 bison <small>(bison, buffalo, herd, wisent)</small>
🐮 cow face <small>(cow, face)</small>
🐂 ox <small>(bull, ox, Taurus, zodiac)</small>
🐃 water buffalo <small>(buffalo, water)</small>
🐄 cow <small>(cow)</small>
🐷 pig face <small>(face, pig)</small>
🐖 pig <small>(pig, sow)</small>
🐗 boar <small>(boar, pig)</small>
🐽 pig nose <small>(face, nose, pig)</small>
🐏 ram <small>(Aries, male, ram, sheep, zodiac)</small>
🐑 ewe <small>(ewe, female, sheep)</small>
🐐 goat <small>(Capricorn, goat, zodiac)</small>
🐪 camel <small>(camel, dromedary, hump)</small>
🐫 two-hump camel <small>(bactrian, camel, hump, two-hump camel)</small>
🦙 llama <small>(alpaca, guanaco, llama, vicuña, wool)</small>
🦒 giraffe <small>(giraffe, spots)</small>
🐘 elephant <small>(elephant)</small>
🦣 mammoth <small>(extinction, large, mammoth, tusk, woolly)</small>
🦏 rhinoceros <small>(rhinoceros)</small>
🦛 hippopotamus <small>(hippo, hippopotamus)</small>
🐭 mouse face <small>(face, mouse)</small>
🐁 mouse <small>(mouse)</small>
🐀 rat <small>(rat)</small>
🐹 hamster <small>(face, hamster, pet)</small>
🐰 rabbit face <small>(bunny, face, pet, rabbit)</small>
🐇 rabbit <small>(bunny, pet, rabbit)</small>
🐿️ chipmunk <small>(chipmunk, squirrel)</small>
🦫 beaver <small>(beaver, dam)</small>
🦔 hedgehog <small>(hedgehog, spiny)</small>
🦇 bat <small>(bat, vampire)</small>
🐻 bear <small>(bear, face)</small>
🐻‍❄️ polar bear
🐨 koala <small>(bear, koala)</small>
🐼 panda <small>(face, panda)</small>
🦥 sloth <small>(lazy, sloth, slow)</small>
🦦 otter <small>(fishing, otter, playful)</small>
🦨 skunk <small>(skunk, stink)</small>
🦘 kangaroo <small>(Australia, joey, jump, kangaroo, marsupial)</small>
🦡 badger <small>(badger, honey badger, pester)</small>
🐾 paw prints <small>(feet, paw, paw prints, print)</small>
🦃 turkey <small>(bird, turkey)</small>
🐔 chicken <small>(bird, chicken)</small>
🐓 rooster <small>(bird, rooster)</small>
🐣 hatching chick <small>(baby, bird, chick, hatching)</small>
🐤 baby chick <small>(baby, bird, chick)</small>
🐥 front-facing baby chick <small>(baby, bird, chick, front-facing baby chick)</small>
🐦 bird <small>(bird)</small>
🐧 penguin <small>(bird, penguin)</small>
🕊️ dove <small>(bird, dove, fly, peace)</small>
🦅 eagle <small>(bird, eagle)</small>
🦆 duck <small>(bird, duck)</small>
🦢 swan <small>(bird, cygnet, swan, ugly duckling)</small>
🦉 owl <small>(bird, owl, wise)</small>
🦤 dodo <small>(dodo, extinction, large, Mauritius)</small>
🪶 feather <small>(bird, feather, flight, light, plumage)</small>
🦩 flamingo <small>(flamboyant, flamingo, tropical)</small>
🦚 peacock <small>(bird, ostentatious, peacock, peahen, proud)</small>
🦜 parrot <small>(bird, parrot, pirate, talk)</small>
🪽 wing
🐦‍⬛ black bird
🪿 goose
🐦‍🔥 phoenix
🐸 frog <small>(face, frog)</small>
🐊 crocodile <small>(crocodile)</small>
🐢 turtle <small>(terrapin, tortoise, turtle)</small>
🦎 lizard <small>(lizard, reptile)</small>
🐍 snake <small>(bearer, Ophiuchus, serpent, snake, zodiac)</small>
🐲 dragon face <small>(dragon, face, fairy tale)</small>
🐉 dragon <small>(dragon, fairy tale)</small>
🦕 sauropod <small>(brachiosaurus, brontosaurus, diplodocus, sauropod)</small>
🦖 T-Rex <small>(T-Rex, Tyrannosaurus Rex)</small>
🐳 spouting whale <small>(face, spouting, whale)</small>
🐋 whale <small>(whale)</small>
🐬 dolphin <small>(dolphin, flipper)</small>
🦭 seal <small>(sea Lion, seal)</small>
🐟 fish <small>(fish, Pisces, zodiac)</small>
🐠 tropical fish <small>(fish, tropical)</small>
🐡 blowfish <small>(blowfish, fish)</small>
🦈 shark <small>(fish, shark)</small>
🐙 octopus <small>(octopus)</small>
🐚 spiral shell <small>(shell, spiral)</small>
🪸 coral
🪼 jellyfish
🐌 snail <small>(snail)</small>
🦋 butterfly <small>(butterfly, insect, pretty)</small>
🐛 bug <small>(bug, insect)</small>
🐜 ant <small>(ant, insect)</small>
🐝 honeybee <small>(bee, honeybee, insect)</small>
🪲 beetle <small>(beetle, bug, insect)</small>
🐞 lady beetle <small>(beetle, insect, lady beetle, ladybird, ladybug)</small>
🦗 cricket <small>(cricket, grasshopper)</small>
🪳 cockroach <small>(cockroach, insect, pest, roach)</small>
🕷️ spider <small>(insect, spider)</small>
🕸️ spider web <small>(spider, web)</small>
🦂 scorpion <small>(scorpio, Scorpio, scorpion, zodiac)</small>
🦟 mosquito <small>(disease, fever, malaria, mosquito, pest, virus)</small>
🪰 fly <small>(disease, fly, maggot, pest, rotting)</small>
🪱 worm <small>(annelid, earthworm, parasite, worm)</small>
🦠 microbe <small>(amoeba, bacteria, microbe, virus)</small>
💐 bouquet <small>(bouquet, flower)</small>
🌸 cherry blossom <small>(blossom, cherry, flower)</small>
💮 white flower <small>(flower, white flower)</small>
🪷 lotus
🏵️ rosette <small>(plant, rosette)</small>
🌹 rose <small>(flower, rose)</small>
🥀 wilted flower <small>(flower, wilted)</small>
🌺 hibiscus <small>(flower, hibiscus)</small>
🌻 sunflower <small>(flower, sun, sunflower)</small>
🌼 blossom <small>(blossom, flower)</small>
🌷 tulip <small>(flower, tulip)</small>
🪻 hyacinth
🌱 seedling <small>(seedling, young)</small>
🪴 potted plant <small>(boring, grow, house, nurturing, plant, potted plant, useless)</small>
🌲 evergreen tree <small>(evergreen tree, tree)</small>
🌳 deciduous tree <small>(deciduous, shedding, tree)</small>
🌴 palm tree <small>(palm, tree)</small>
🌵 cactus <small>(cactus, plant)</small>
🌾 sheaf of rice <small>(ear, grain, rice, sheaf of rice)</small>
🌿 herb <small>(herb, leaf)</small>
☘️ shamrock <small>(plant, shamrock)</small>
🍀 four leaf clover <small>(4, clover, four, four-leaf clover, leaf)</small>
🍁 maple leaf <small>(falling, leaf, maple)</small>
🍂 fallen leaf <small>(fallen leaf, falling, leaf)</small>
🍃 leaf fluttering in wind <small>(blow, flutter, leaf, leaf fluttering in wind, wind)</small>
🪹 empty nest
🪺 nest with eggs
🍄 mushroom <small>(mushroom, toadstool)</small>
