㗫 Qiè
㗬 Zhā
㗭 Xī
㗰 Cóng
㗱 Jí
㗲 Huò
㗳 Tǎ
㗴 Yán
㗵 Xù
㗶 Pō
㗷 Sǎi
㗻 Guō
㗼 Yè
㗽 Xiǎng
㗾 Xuē
㗿 Hé
㘀 Zuò
㘁 Yì
㘂 Cí
㘄 Lēng
㘅 Xián
㘆 Tǎi
㘇 Róng
㘈 Yì
㘉 Zhì
㘊 Xī
㘋 Xián
㘌 Jù
㘍 Jí
㘎 Hǎn
㘐 Pào
㘑 Lì
㘓 Lán
㘔 Sǎi
㘕 Hǎn
㘖 Yán
㘗 Qū
㘙 Yán
㘚 Hǎn
㘛 Kān
㘜 Chǐ
㘝 Niè
㘞 Huò
㘠 Bì
㘡 Xiá
㘢 Wěng
㘣 Xuán
㘤 Wān
㘥 Yóu
㘦 Qín
㘧 Xù
㘨 Niè
㘩 Bì
㘪 Hào
㘫 Jǐng
㘬 Ào
㘭 Ào
㘰 Zhēn
㘱 Tān
㘲 Jú
㘴 Zuò
㘵 Bù
㘶 Jié
㘷 Ài
㘸 Zàng
㘹 Cí
㘺 Fá
㘿 Niè
㙀 Liù
㙁 Méi
㙂 Duì
㙃 Bāng
㙄 Bì
㙅 Bǎo
㙇 Chù
㙈 Xià
㙉 Tiǎn
㙊 Cháng
㙍 Duō
㙎 Wēi
㙏 Fù
㙐 Duǒ
㙑 Yǔ
㙒 Yě
㙓 Kuí
㙔 Wěi
㙕 Kuài
㙗 Wēi
㙘 Yāo
㙙 Lǒng
㙚 Xīng
㙛 Bǔ
㙜 Chí
㙝 Xié
㙞 Niè
㙟 Lǎng
㙠 Yī
㙡 Zōng
㙢 Mán
㙣 Zhàng
㙤 Xià
㙥 Gùn
㙦 Xié
㙨 Jì
㙩 Liáo
㙪 Yì
㙫 Jí
㙬 Yín
㙮 Dā
㙯 Yì
㙰 Xiè
㙱 Hào
㙲 Yǒng
㙳 Kǎn
㙴 Chàn
㙵 Tái
㙶 Táng
㙷 Zhí
㙸 Bào
㙹 Méng
㙺 Kuí
㙻 Chán
㙼 Lěi
㙾 Xì
㚀 Xī
㚁 Qiào
㚂 Nàng
㚃 Yūn
㚅 Lóng
㚆 Fù
㚇 Zōng
㚉 Gǔ
㚊 Kāi
㚋 Diāo
㚌 Huà
㚍 Kuǐ
㚏 Gǎo
㚐 Tào
㚒 Shǎn
㚓 Lǎi
㚔 Niè
㚕 Fú
㚖 Gǎo
㚗 Qié
㚘 Bàn
㚙 Jiā
㚚 Kōng
㚛 Xì
㚜 Yù
㚝 Zhuī
㚞 Shěn
㚟 Chuò
㚠 Xiāo
㚡 Jǐ
㚢 Nú
㚣 Xiáo
㚤 Yì
㚥 Yú
㚦 Yí
㚧 Yǎn
㚨 Shěn
㚩 Rǎn
㚪 Hào
㚫 Sà
㚬 Jūn
㚭 Yóu
㚯 Xín
㚰 Pēi
㚱 Qiū
㚲 Chān
㚴 Bù
㚵 Dōng
㚶 Sì
㚷 Ěr
㚹 Mǎo
㚺 Yùn
㚻 Jī
㚽 Qiǎo
㚾 Xiōng
㚿 Páo
㛀 Chú
㛁 Pēng
㛂 Nuǒ
㛃 Jié
㛄 Yī
㛅 Èr
㛆 Duò
㛊 Duǒ
㛍 Qiè
㛎 Lǚ
㛏 Qiú
㛐 Sǒu
㛑 Càn
㛒 Dòu
㛓 Xī
㛔 Fēng
㛕 Yì
㛖 Suō
㛗 Qiē
㛘 Pò
㛙 Xīn
㛚 Tǒng
㛛 Xìn
㛜 Yóu
㛝 Bèi
㛞 Lòng
㛣 Yún
㛤 Lí
㛥 Tà
㛦 Lǎn
㛧 Mǎn
㛨 Qiǎng
㛩 Zhóu
㛪 Yàn
㛫 Xī
㛬 Lù
㛭 Xī
㛮 Sǎo
㛯 Fàn
㛱 Wěi
㛲 Fà
㛳 Yì
㛴 Nǎo
㛵 Chēng
㛶 Tàn
㛷 Jī
㛸 Shù
㛹 Pián
㛺 Ān
㛻 Kuā
㛼 Chā
㛾 Xián
㛿 Zhì
