𖼀 Miao Letter Pa
𖼁 Miao Letter Ba
𖼂 Miao Letter Yi Pa
𖼃 Miao Letter Pla
𖼄 Miao Letter Ma
𖼅 Miao Letter Mha
𖼆 Miao Letter Archaic Ma
𖼇 Miao Letter Fa
𖼈 Miao Letter Va
𖼉 Miao Letter Vfa
𖼊 Miao Letter Ta
𖼋 Miao Letter Da
𖼌 Miao Letter Yi Tta
𖼍 Miao Letter Yi Ta
𖼎 Miao Letter Tta
𖼏 Miao Letter Dda
𖼐 Miao Letter Na
𖼑 Miao Letter Nha
𖼒 Miao Letter Yi Nna
𖼓 Miao Letter Archaic Na
𖼔 Miao Letter Nna
𖼕 Miao Letter Nnha
𖼖 Miao Letter La
𖼗 Miao Letter Lya
𖼘 Miao Letter Lha
𖼙 Miao Letter Lhya
𖼚 Miao Letter Tlha
𖼛 Miao Letter Dlha
𖼜 Miao Letter Tlhya
𖼝 Miao Letter Dlhya
𖼞 Miao Letter Ka
𖼟 Miao Letter Ga
𖼠 Miao Letter Yi Ka
𖼡 Miao Letter Qa
𖼢 Miao Letter Qga
𖼣 Miao Letter Nga
𖼤 Miao Letter Ngha
𖼥 Miao Letter Archaic Nga
𖼦 Miao Letter Ha
𖼧 Miao Letter Xa
𖼨 Miao Letter Gha
𖼩 Miao Letter Ghha
𖼪 Miao Letter Tssa
𖼫 Miao Letter Dzza
𖼬 Miao Letter Nya
𖼭 Miao Letter Nyha
𖼮 Miao Letter Tsha
𖼯 Miao Letter Dzha
𖼰 Miao Letter Yi Tsha
𖼱 Miao Letter Yi Dzha
𖼲 Miao Letter Reformed Tsha
𖼳 Miao Letter Sha
𖼴 Miao Letter Ssa
𖼵 Miao Letter Zha
𖼶 Miao Letter Zsha
𖼷 Miao Letter Tsa
𖼸 Miao Letter Dza
𖼹 Miao Letter Yi Tsa
𖼺 Miao Letter Sa
𖼻 Miao Letter Za
𖼼 Miao Letter Zsa
𖼽 Miao Letter Zza
𖼾 Miao Letter Zzsa
𖼿 Miao Letter Archaic Zza
𖽀 Miao Letter Zzya
𖽁 Miao Letter Zzsya
𖽂 Miao Letter Wa
𖽃 Miao Letter Ah
𖽄 Miao Letter Hha
𖽅 Miao Letter Bri
𖽆 Miao Letter Syi
𖽇 Miao Letter Dzyi
𖽈 Miao Letter Te
𖽉 Miao Letter Tse
𖽊 Miao Letter Rte
𖽏 Miao Sign Consonant Modifier Bar
𖽐 Miao Letter Nasalization
𖽑 Miao Sign Aspiration
𖽒 Miao Sign Reformed Voicing
𖽓 Miao Sign Reformed Aspiration
𖽔 Miao Vowel Sign A
𖽕 Miao Vowel Sign Aa
𖽖 Miao Vowel Sign Ahh
𖽗 Miao Vowel Sign An
𖽘 Miao Vowel Sign Ang
𖽙 Miao Vowel Sign O
𖽚 Miao Vowel Sign Oo
𖽛 Miao Vowel Sign Wo
𖽜 Miao Vowel Sign W
𖽝 Miao Vowel Sign E
𖽞 Miao Vowel Sign En
𖽟 Miao Vowel Sign Eng
𖽠 Miao Vowel Sign Oey
𖽡 Miao Vowel Sign I
𖽢 Miao Vowel Sign Ia
𖽣 Miao Vowel Sign Ian
𖽤 Miao Vowel Sign Iang
𖽥 Miao Vowel Sign Io
𖽦 Miao Vowel Sign Ie
𖽧 Miao Vowel Sign Ii
𖽨 Miao Vowel Sign Iu
𖽩 Miao Vowel Sign Ing
𖽪 Miao Vowel Sign U
𖽫 Miao Vowel Sign Ua
𖽬 Miao Vowel Sign Uan
𖽭 Miao Vowel Sign Uang
𖽮 Miao Vowel Sign Uu
𖽯 Miao Vowel Sign Uei
𖽰 Miao Vowel Sign Ung
𖽱 Miao Vowel Sign Y
𖽲 Miao Vowel Sign Yi
𖽳 Miao Vowel Sign Ae
𖽴 Miao Vowel Sign Aee
𖽵 Miao Vowel Sign Err
𖽶 Miao Vowel Sign Rounded Err
𖽷 Miao Vowel Sign Er
𖽸 Miao Vowel Sign Rounded Er
𖽹 Miao Vowel Sign Ai
𖽺 Miao Vowel Sign Ei
𖽻 Miao Vowel Sign Au
𖽼 Miao Vowel Sign Ou
𖽽 Miao Vowel Sign N
𖽾 Miao Vowel Sign Ng
𖽿 Miao Vowel Sign Uog
𖾀 Miao Vowel Sign Yui
𖾁 Miao Vowel Sign Og
𖾂 Miao Vowel Sign Oer
𖾃 Miao Vowel Sign Vw
𖾄 Miao Vowel Sign Ig
𖾅 Miao Vowel Sign Ea
𖾆 Miao Vowel Sign Iong
𖾇 Miao Vowel Sign Ui
𖾏 Miao Tone Right
𖾐 Miao Tone Top Right
𖾑 Miao Tone Above
𖾒 Miao Tone Below
𖾓 Miao Letter Tone-2
𖾔 Miao Letter Tone-3
𖾕 Miao Letter Tone-4
𖾖 Miao Letter Tone-5
𖾗 Miao Letter Tone-6
𖾘 Miao Letter Tone-7
𖾙 Miao Letter Tone-8
𖾚 Miao Letter Reformed Tone-1
𖾛 Miao Letter Reformed Tone-2
𖾜 Miao Letter Reformed Tone-4
𖾝 Miao Letter Reformed Tone-5
𖾞 Miao Letter Reformed Tone-6
𖾟 Miao Letter Reformed Tone-8
