　 Ideographic Space
、 Ideographic Comma
。 Ideographic Full Stop
〃 Ditto Mark
〄 Japanese Industrial Standard Symbol
々 Ideographic Iteration Mark
〆 Ideographic Closing Mark
〇 Ideographic Number Zero
〈 Left Angle Bracket
〉 Right Angle Bracket
《 Left Double Angle Bracket
》 Right Double Angle Bracket
「 Left Corner Bracket
」 Right Corner Bracket
『 Left White Corner Bracket
』 Right White Corner Bracket
【 Left Black Lenticular Bracket
】 Right Black Lenticular Bracket
〒 Postal Mark
〓 Geta Mark
〔 Left Tortoise Shell Bracket
〕 Right Tortoise Shell Bracket
〖 Left White Lenticular Bracket
〗 Right White Lenticular Bracket
〘 Left White Tortoise Shell Bracket
〙 Right White Tortoise Shell Bracket
〚 Left White Square Bracket
〛 Right White Square Bracket
〜 Wave Dash
〝 Reversed Double Prime Quotation Mark
〞 Double Prime Quotation Mark
〟 Low Double Prime Quotation Mark
〠 Postal Mark Face
〡 Hangzhou Numeral One
〢 Hangzhou Numeral Two
〣 Hangzhou Numeral Three
〤 Hangzhou Numeral Four
〥 Hangzhou Numeral Five
〦 Hangzhou Numeral Six
〧 Hangzhou Numeral Seven
〨 Hangzhou Numeral Eight
〩 Hangzhou Numeral Nine
〪 Ideographic Level Tone Mark
〫 Ideographic Rising Tone Mark
〬 Ideographic Departing Tone Mark
〭 Ideographic Entering Tone Mark
〮 Hangul Single Dot Tone Mark
〯 Hangul Double Dot Tone Mark
〰 Wavy Dash
〱 Vertical Kana Repeat Mark
〲 Vertical Kana Repeat With Voiced Sound Mark
〳 Vertical Kana Repeat Mark Upper Half
〴 Vertical Kana Repeat With Voiced Sound Mark Upper Half
〵 Vertical Kana Repeat Mark Lower Half
〶 Circled Postal Mark
〷 Ideographic Telegraph Line Feed Separator Symbol
〸 Hangzhou Numeral Ten
〹 Hangzhou Numeral Twenty
〺 Hangzhou Numeral Thirty
〻 Vertical Ideographic Iteration Mark
〼 Masu Mark
〽 Part Alternation Mark
〾 Ideographic Variation Indicator
〿 Ideographic Half Fill Space
